mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-36116,-9994.7,600,0.979788,0.99009,9.2711e-06,1,0,0,0,0,0.048662,0.90088,0.0504582
244150372,-35990.8,-5941.13,600,0.980153,0.98993,0,0,1,0,0,0,0.0494254,0.899743,0.0508318
219022165,-36269.5,-9754.03,660,0.979944,0.99035,9.25578e-06,1,0,0,0,0,0.0477148,0.903169,0.0491161
244150372,-36100.1,-6083.01,660,0.980487,0.98996,8.31058e-06,0,1,0,0,0,0.0503106,0.897276,0.0524137
219022165,-36434.4,-9510.28,720,0.980372,0.99009,9.25339e-06,1,0,0,0,0,0.0475137,0.902584,0.049902
244150372,-36213.6,-6234.63,720,0.979543,0.98987,0,0,1,0,0,0,0.0499884,0.896289,0.0537226
219022165,-36602.2,-9265.43,780,0.979918,0.99038,9.30683e-06,1,0,0,0,0,0.0449018,0.904565,0.0505331
244150372,-36326.6,-6386.09,780,0.979711,0.98999,0,0,1,0,0,0,0.0503196,0.893392,0.0562884
219022165,-36765.7,-9025.02,840,0.979883,0.9894,0,1,0,0,0,0,0.0447835,0.905917,0.0492998
244150372,-36445.8,-6535.2,840,0.979713,0.99039,0,0,1,0,0,0,0.0512891,0.893283,0.0554278
219022165,-36920,-8789.9,900,0.979132,0.98981,9.23723e-06,1,0,0,0,0,0.044242,0.905154,0.050604
244150372,-36557.5,-6680.86,900,0.979938,0.99007,0,0,1,0,0,0,0.0507066,0.892549,0.0567447
219022165,-37084.6,-8550.98,960,0.979377,0.98965,0,1,0,0,0,0,0.0432572,0.906641,0.050102
244150372,-36653.2,-6840.23,960,0.979884,0.98992,8.81831e-06,0,1,0,0,0,0.0508265,0.889684,0.0594899
219022165,-37081.8,-8285.14,1020,0.153619,0.98948,0.000192607,1,0,0,0,0,0.0480951,0.908109,0.0437963
244150372,-36756.9,-6997.21,1020,0.823849,0.98966,0,0,1,0,0,0,0.018941,0.318497,0.662562
219022165,-36958.3,-8022.75,1080,0.151104,0.99027,0.000872121,1,0,0,0,0,0.0468064,0.907741,0.045453
244150372,-36862.8,-7155.04,1080,0.790789,0.99031,0.000126204,0,1,0,0,0,0.0142318,0.260788,0.72498
219022165,-36826.7,-7768.89,1140,0.152455,0.99032,0.000880214,1,0,0,0,0,0.054122,0.898413,0.0474646
244150372,-36964.5,-7312.63,1140,0.78687,0.99015,0.000152926,0,1,0,0,0,0.0123787,0.222296,0.765325
219022165,-36743.7,-7499.54,1200,0.980315,0.9899,0,1,0,0,0,0,0.0508857,0.898962,0.0501521
244150372,-37062.5,-7470.77,1200,0.980121,0.9899,4.43102e-05,0,1,0,0,0,0.0481622,0.880068,0.0717703
219022165,-36721.9,-7213.36,1260,0.980057,0.99027,6.94361e-06,1,0,0,0,0,0.0497808,0.900862,0.049357
244150372,-37145.7,-7575.23,1260,0.980224,0.99014,3.48674e-05,0,1,0,0,0,0.0489651,0.879836,0.0711991
219022165,-36739.1,-6925.13,1320,0.979774,0.9905,6.88091e-06,1,0,0,0,0,0.0501848,0.899837,0.0499786
244150372,-37225.5,-7669.94,1320,0.979943,0.99003,1.15632e-05,0,1,0,0,0,0.0500949,0.878732,0.0711726
219022165,-36778.6,-6638.45,1380,0.980088,0.98999,5.37872e-06,1,0,0,0,0,0.0489018,0.900203,0.0508953
244150372,-37305.3,-7764.65,1380,0.980268,0.98998,3.78845e-05,0,1,0,0,0,0.0497615,0.878439,0.0717998
219022165,-36821.3,-6356.3,1440,0.980168,0.98986,2.1758e-05,1,0,0,0,0,0.0524895,0.897441,0.0500695
244150372,-37385.1,-7859.37,1440,0.979894,0.99039,2.02163e-05,0,1,0,0,0,0.0500442,0.897471,0.052485
219022165,-36866.5,-6071.68,1500,0.980056,0.98981,9.82731e-06,1,0,0,0,0,0.0499775,0.899257,0.050766
244150372,-37464.9,-7954.09,1500,0.980153,0.99046,5.11172e-05,0,1,0,0,0,0.0510665,0.897037,0.0518966
