mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.950123,0.97947,0.00220443,0,0,0,0,0,1,0,0,0,0.0497143,0.8996,0.050686,0.277613,0.277613,0
219829000,16460.7,10913,240,0.950498,0.97984,0.00214355,0,0,0,0,1,0,0,0,0,0.0492909,0.900458,0.0502509,0.27956,0.27956,0
210445000,10730.9,9837.07,300,0.949924,0.97916,0.00195108,0,0,0,0,0,1,0,0,0,0.0486227,0.901413,0.0499638,0.407279,0.277541,0
219829000,16413.1,10775.4,300,0.950798,0.97997,0.00213921,0,0,0,0,1,0,0,0,0,0.0493011,0.901796,0.0489027,0.407454,0.27639,0
210445000,10779.6,9630.41,360,0.950678,0.98058,0.00202493,0,0,0,0,0,1,0,0,0,0.0502158,0.901144,0.0486398,0.470346,0.276824,0
219829000,16368,10637.3,360,0.948383,0.98019,0.00196727,0,0,0,0,1,0,0,0,0,0.0499419,0.900077,0.0499808,0.472531,0.278925,0
210445000,10873.2,9462.52,420,0.945806,0.454106,0.0594803,0,1,0,1,0,1,0,0,0,0.048148,0.929842,0.0220095,0.594556,0.594556,0
219829000,16322.9,10499.2,420,0.949842,0.9795,0.00203278,0,0,0,0,1,0,0,0,0,0.0509462,0.899746,0.049308,0.982411,0.976038,0
210445000,11047.7,9456.74,480,0.948196,0.461349,0.0569494,1,1,0,1,0,1,0,0,0,0.0538719,0.914351,0.0317772,0.584694,0.212368,0
219829000,16277.8,10361.1,480,0.95111,0.97934,0.00191341,0,0,0,0,1,0,0,0,0,0.0518112,0.898575,0.0496139,0.982156,0.361862,0
210445000,11262.6,9476.74,540,0.947932,0.451202,0.0565038,1,1,0,1,0,1,0,0,0,0.0479924,0.929908,0.0220996,0.595248,0.434082,0
219829000,16238,10223.9,540,0.949833,0.98009,0.0019288,0,0,0,0,1,0,0,0,0,0.050386,0.899446,0.0501679,0.98251,0.722279,0
210445000,11504.3,9421.59,600,0.948067,0.198967,0.0843612,1,1,1,1,0,1,0,0,0,0.0525275,0.937843,0.00962954,0.881443,0.880352,0
219829000,16194.9,10080.7,600,0.950961,0.97991,0.00206827,0,0,0,0,1,0,0,0,0,0.0504012,0.899504,0.0500951,0.996966,0.995639,0
210445000,11777.1,9326.92,660,0.947115,0.160811,0.15305,1,1,1,0,0,1,0,0,0,0.0514778,0.939415,0.00910746,0.989176,0.98914,0
219829000,16146.4,9946.41,660,0.951001,0.98038,0.00205715,0,0,0,1,1,0,0,0,0,0.0502173,0.901094,0.0486888,1,1,0
210445000,12038.2,9211.61,720,0.944072,0.973693,0.993791,1,1,1,0,0,1,0,0,0,0.050033,0.899542,0.0504254,1,1,0
219829000,16079.9,9813.88,720,0.949256,0.98108,0.00210369,0,0,0,0,1,0,0,0,0,0.0454285,0.903984,0.0505877,1,0.9999,0
210445000,12299.3,9096.31,780,0.94418,0.973997,0.993882,1,1,1,0,0,1,0,0,0,0.0492151,0.901056,0.0497294,1,1,0
219829000,16011.7,9678.49,780,0.949479,0.98002,0.00189564,0,0,0,0,1,0,0,0,0,0.0454122,0.903411,0.0511765,1,0.999718,0
210445000,12560.4,8981.09,840,0.945003,0.975058,0.994947,1,1,0,0,0,1,0,0,0,0.0506281,0.899336,0.0500358,1,1,0
219829000,15944.4,9545.71,840,0.950301,0.98053,0.00202025,0,0,0,0,1,0,0,0,0,0.0439159,0.905222,0.0508622,1,0.998883,0
