mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.949993,0.9799,0.00209149,0,0,0,0,0,1,0,0,0,0.0486204,0.901764,0.0496155,0.280492,0.280492,0
219829000,16460.7,10913,240,0.950496,0.98023,0.00197474,0,0,0,0,1,0,0,0,0,0.0501708,0.900367,0.0494626,0.277867,0.277867,0
210445000,10730.9,9837.07,300,0.949747,0.98047,0.00204401,0,0,0,0,0,1,0,0,0,0.0499067,0.900975,0.0491186,0.277259,0.277259,0
219829000,16413.1,10775.4,300,0.949393,0.97982,0.00216084,0,0,0,0,1,0,0,0,0,0.0490075,0.900736,0.0502567,0.280044,0.280044,0
210445000,10779.6,9630.41,360,0.949432,0.98062,0.00202448,0,0,0,0,0,1,0,0,0,0.0500247,0.899241,0.0507348,0.27496,0.27496,0
219829000,16368,10637.3,360,0.949823,0.97935,0.00204807,0,0,0,0,1,0,0,0,0,0.0489794,0.901123,0.0498977,0.278745,0.278745,0
210445000,10873.2,9462.52,420,0.946568,0.440247,0.0531083,0,1,0,1,0,1,0,0,0,0.0535383,0.922838,0.0236238,0.599633,0.599633,0
219829000,16322.9,10499.2,420,0.951002,0.97978,0.00204846,0,0,0,0,1,0,0,0,0,0.0499086,0.900283,0.0498079,0.975321,0.975321,0
210445000,11047.7,9456.74,480,0.95131,0.968765,0.00322619,1,0,0,1,0,1,0,0,0,0.0488632,0.901871,0.049266,0.0118327,0.0118327,0
219829000,16277.8,10361.1,480,0.948957,0.9799,0.00191615,0,0,0,0,1,0,0,0,0,0.0503894,0.898642,0.0509686,0.361787,0.361787,0
210445000,11262.6,9476.74,540,0.950257,0.934025,0.00703153,1,0,0,1,0,1,0,0,0,0.0514361,0.902129,0.0464347,0.0520076,0.0520076,0
219829000,16238,10223.9,540,0.949417,0.98065,0.00181281,0,0,0,0,1,0,0,0,0,0.0501335,0.899135,0.0507314,0.723039,0.723039,0
210445000,11504.3,9421.59,600,0.948146,0.97946,0.00195798,0,1,1,1,0,1,0,0,0,0.0520473,0.945562,0.00239087,0.995089,0.995089,1
219829000,16194.9,10080.7,600,0.949771,0.98001,0.00194492,0,0,0,0,1,0,0,0,0,0.0499931,0.900357,0.0496502,0.995368,0.995368,0
210445000,11777.1,9326.92,660,0.948225,0.97951,0.00385603,0,1,1,0,0,1,0,0,0,0.0517231,0.945855,0.0024224,0.999318,0.999281,0
219829000,16146.4,9946.41,660,0.94933,0.9803,0.00195416,0,0,0,1,1,0,0,0,0,0.0500674,0.899544,0.0503885,1,1,0
210445000,12038.2,9211.61,720,0.944617,0.97318,0.993644,0,1,1,0,0,1,0,0,0,0.0522276,0.896411,0.0513612,1,1,0
219829000,16079.9,9813.88,720,0.950115,0.97974,0.00180585,0,0,0,0,1,0,0,0,0,0.0459714,0.905723,0.0483052,1,0.999869,0
210445000,12299.3,9096.31,780,0.943339,0.973324,0.994764,0,1,1,0,0,1,0,0,0,0.0487774,0.904057,0.0471653,1,1,0
219829000,16011.7,9678.49,780,0.950207,0.97956,0.00187934,0,0,0,0,1,0,0,0,0,0.0440119,0.906701,0.0492867,0.99999,0.999748,0
210445000,12560.4,8981.09,840,0.944633,0.974747,0.994817,0,1,0,0,0,1,0,0,0,0.0501381,0.896485,0.0533765,1,1,0
219829000,15944.4,9545.71,840,0.950697,0.97962,0.00196563,0,0,0,0,1,0,0,0,0,0.0432006,0.905545,0.0512548,0.99999,0.999021,0
210445000,12821.4,8865.82,900,0.945985,0.975202,0.995274,0,1,0,0,0,1,0,0,0,0.051147,0.899391,0.0494624,1,1,0
219829000,15877.8,9413.05,900,0.950039,0.97964,0.00217291,0,0,0,0,1,0,0,0,0,0.0424834,0.905636,0.0518807,1,0.998201,0
210445000,13082.6,8750.56,960,0.944346,0.97327,0.993116,0,1,0,0,0,1,0,0,0,0.053007,0.898467,0.0485255,1,0.999648,0
219829000,15809.7,9278.71,960,0.950624,0.98036,0.00211484,0,0,0,0,1,0,0,0,0,0.0402204,0.910424,0.0493555,1,0.997314,0
210445000,13343.7,8635.38,1020,0.946534,0.976469,0.995919,0,1,0,0,0,1,0,0,0,0.0510216,0.899188,0.04979,1,0.999208,0
219829000,15745.7,9146.99,1020,0.95034,0.98013,0.0020342,0,0,0,0,1,0,0,0,0,0.0392709,0.909773,0.0509566,1,0.995591,0
210445000,13603.8,8518.96,1080,0.946718,0.976266,0.996129,0,1,0,0,0,1,0,0,0,0.048143,0.90162,0.0502371,1,0.998888,0
219829000,15684.1,9014.24,1080,0.948844,0.98071,0.00184827,0,0,0,0,1,0,0,0,0,0.0391129,0.909068,0.0518192,1,0.992972,0
210445000,13844.8,8352.53,1140,0.946999,0.975807,0.996019,0,1,0,0,0,1,0,0,0,0.0488725,0.901624,0.0495032,1,0.997572,0
219829000,15620.6,8879.58,1140,0.949487,0.9808,0.0020863,0,0,0,0,1,0,0,0,0,0.0396328,0.910467,0.0499005,1,0.989178,0
