mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211200040,4880.37,13777.1,120,0.99988,0.98972,0.00015,0,0,0,1,0,0,1,0,0,0.06084,0.84812,0.09104,0.99812,0.99812,0
259351000,6442.35,6197.6,120,0.999795,0.9898,0.000649758,0,0,0,0,0,0,1,0,0,0.0514834,0.717289,0.231227,0.99551,0.99551,0
211200040,4895.66,13557.9,180,0.999889,0.98978,0.000301669,0,0,0,1,0,0,1,0,0,0.066568,0.933336,9.59947e-05,0.999649,0.999586,0
259351000,6427.84,6390.15,180,0.999797,0.98972,0.000390523,0,0,0,0,0,0,1,0,0,0.0523987,0.720306,0.227296,0.999571,0.999571,0
211200040,4924.11,13342.1,240,0.999883,0.98994,0.000195586,0,0,0,1,0,0,1,0,0,0.0656931,0.934238,6.89102e-05,0.999715,0.974636,0
259351000,6420.68,6576.95,240,0.999811,0.98975,0.000537261,0,0,0,0,0,0,1,0,0,0.0506733,0.720542,0.228785,0.999541,0.976397,0
211200040,4967.58,13149.5,300,0.835797,0.99025,0.378796,0,0,0,0,0,0,1,0,0,0.107251,0.863315,0.0294347,0.542999,0.54055,0
259351000,6409.86,6767.36,300,0.999845,0.98969,0.000434825,0,0,0,0,0,0,1,0,0,0.0511758,0.719774,0.22905,0.999483,0.992094,0
211200040,5021.79,12968.8,360,0.854463,0.99054,0.340809,0,0,0,1,0,0,1,0,0,0.0621477,0.794815,0.143038,0.486289,0.486289,0
259351000,6399.03,6947.59,360,0.861659,0.99016,0.461107,0,0,0,0,0,0,1,0,0,0.0629937,0.874012,0.0629939,0.599328,0.599271,0
211200040,5065.74,12780.9,420,0.857011,0.99024,0.348974,0,0,0,0,0,0,1,0,0,0.0521504,0.922453,0.025397,0.912074,0.912074,0
259351000,6377.07,7125.18,420,0.851866,0.99005,0.608329,0,0,0,0,0,0,1,0,0,0.0741404,0.8304,0.0954594,0.868408,0.868408,0
211200040,5087.43,12598.7,480,0.827402,0.99016,0.439041,1,0,0,1,0,0,1,0,0,0.0857904,0.880451,0.0337585,0.766591,0.589898,0
259351000,6355.12,7307.33,480,0.858698,0.98991,0.438339,0,0,0,0,0,0,1,0,0,0.114936,0.805823,0.079241,0.604034,0.569441,0
211200040,5109.45,12408.5,540,0.835353,0.99035,0.420858,1,0,0,1,0,0,1,0,0,0.0525365,0.908032,0.0394317,0.900931,0.590803,0
259351000,6330.72,7482.15,540,0,0.98981,0.000487248,0,0,0,0,0,0,1,0,0,0.0591909,0.834337,0.106472,0.999913,0.973237,0
211200040,5120.38,12197.3,600,0.759758,0.98983,0.553348,1,0,0,0,0,0,1,0,0,0.0525491,0.934055,0.0133964,0.793502,0.775718,0
259351000,6307.89,7662.41,600,0.214603,0.99014,0.215004,0,0,0,0,0,0,1,0,0,0.0467818,0.653539,0.299679,0.999926,0.98101,0
