mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211200040,4880.37,13777.1,120,0.970222,0.98923,0.000210594,0,0,0,0,0,1,0,0,0.0489369,0.850862,0.100201,0.998427,0.998427,1,0
259351000,6442.35,6197.6,120,0.970122,0.98999,0.000280799,0,0,0,0,0,1,0,0,0.0501584,0.851534,0.0983073,0.998542,0.998542,0,0
211200040,4895.66,13557.9,180,0.964406,0.99022,0.00034958,0,0,0,0,0,1,0,0,0.0567635,0.941217,0.00201923,0.999744,0.999647,1,0
259351000,6427.84,6390.15,180,0.969967,0.98952,0.000210571,0,0,0,0,0,1,0,0,0.0499019,0.849938,0.10016,0.99979,0.99979,0,0
211200040,4924.11,13342.1,240,0.0200826,0.98954,0.00844385,0,0,0,0,0,1,0,0,0.0509144,0.888924,0.0601619,0.987863,0.962636,1,0
259351000,6420.68,6576.95,240,0.969504,0.99034,0.000222852,0,0,0,0,0,1,0,0,0.0497352,0.851396,0.0988692,0.99984,0.97536,0,0
211200040,4967.58,13149.5,300,0.0368149,0.98981,0.00395633,0,0,0,0,0,1,0,0,0.0522427,0.884866,0.0628911,0.966535,0.960004,0,0
259351000,6409.86,6767.36,300,0.969295,0.98977,0.000237205,0,0,0,0,0,1,0,0,0.0507746,0.848382,0.100844,0.99987,0.992291,0,0
211200040,5021.79,12968.8,360,0.00868402,0.99057,0.00892854,0,0,0,0,0,1,0,0,0.0545511,0.879263,0.0661857,0.999737,0.999346,1,0
259351000,6399.03,6947.59,360,0.0232417,0.98982,0.0116721,0,0,0,0,0,1,0,0,0.0474815,0.855506,0.0970122,0.987613,0.987362,0,0
211200040,5065.74,12780.9,420,0,0.99061,0.000272737,0,0,0,0,0,1,0,0,0.0529961,0.883945,0.0630593,0.999856,0.999817,0,0
259351000,6377.07,7125.18,420,0.0129262,0.99021,0.00845731,0,0,0,0,0,1,0,0,0.0502414,0.850485,0.0992735,0.99752,0.997499,0,0
