mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
257029700,6350.85,2140.6,3720,0,0,0,1,0
257060530,3410.52,93.7738,3720,0,0,0,0,1
257029700,6568.86,2480.12,3780,0,0,0,1,0
257060530,4123.57,568.159,3780,0,0,0,0,1
257029700,6830.33,2779.72,3840,0,0,0,1,0
257060530,4827.55,1043.04,3840,0,0,0,0,1
257029700,7099.87,2988.92,3900,0,0,0,1,0
257060530,5564.68,1531.9,3900,0,0,0,0,1
257029700,7393.28,3205.02,3960,0,0,0,1,0
257060530,6296.49,1953.84,3960,0,0,0,0,1
257029700,7678.78,3416.33,4020,0,0,0,1,0
257060530,6987.63,2450.45,4020,0,0,0,0,1
257029700,7960.74,3636.65,4080,0,0,0,1,0
257060530,7666.01,2941.88,4080,0,0,0,0,1
257029700,8248.6,3835.3,4140,0,0,0,1,0
257060530,8334.89,3436.85,4140,0,0,0,0,1
257029700,8554.63,4034.69,4200,0,0,0,0,1
257060530,9003.83,3935.07,4200,0,0,0,1,0
257029700,8839.49,4229.02,4260,0,0,0,0,1
257060530,9699.35,4425.72,4260,0,0,0,1,0
257029700,9131.37,4412.01,4320,0,0,0,0,1
257060530,10375.3,4923.4,4320,0,0,0,1,0
257029700,9422.37,4599.42,4380,0,0,0,0,1
257060530,11044.5,5423.26,4380,0,0,0,1,0
257029700,9708.7,4785.68,4440,0,0,0,0,1
257060530,11694.3,5924.66,4440,0,0,0,1,0
257029700,9995.61,4976.4,4500,0,0,0,0,1
257060530,12308.9,6449.41,4500,0,0,0,1,0
257029700,10277.4,5161.54,4560,0,0,0,0,1
257060530,12958.2,7007.46,4560,0,0,0,1,0
257029700,10583.6,5347.74,4620,0,0,0,0,1
257060530,13574,7571.74,4620,0,0,0,1,0
257029700,10870.1,5530.97,4680,0,0,0,0,1
257060530,14080.3,8245.05,4680,0,0,0,1,0
257029700,11161.9,5724.49,4740,0,0,0,0,1
257060530,14418.6,9018.58,4740,0,0,0,1,0
