mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
235068085,-1594.65,-1102.4,4260,0,0,0,0,1
311816000,1823.7,3720.93,4260,0,0,0,1,0
235068085,-1114.51,-732.609,4320,0,0,0,0,1
311816000,1971.85,3991.36,4320,0,0,0,1,0
235068085,-649.598,-364.584,4380,0,0,0,0,1
311816000,2127.14,4254.81,4380,0,0,0,1,0
235068085,-170.283,14.7495,4440,0,0,0,0,1
311816000,2281.9,4521.78,4440,0,0,0,1,0
235068085,246.592,418.999,4500,0,0,0,0,1
311816000,2435.89,4782.25,4500,0,0,0,1,0
235068085,553.94,914.307,4560,0,0,0,0,1
311816000,2579.41,5033.2,4560,0,0,0,1,0
235068085,810.8,1446.78,4620,0,0,0,0,1
311816000,2734.76,5290.46,4620,0,0,0,1,0
235068085,1061.73,2007.78,4680,0,0,0,0,1
311816000,2891.57,5541.53,4680,0,0,0,1,0
235068085,1307.96,2594.13,4740,0,0,0,0,1
311816000,3042.27,5792.23,4740,0,0,0,1,0
235068085,1534.41,3115.28,4800,0,0,0,0,1
311816000,3192.98,6042.91,4800,0,0,0,1,0
235068085,1753.82,3670.83,4860,0,0,0,0,1
311816000,3345.94,6292.9,4860,0,0,0,1,0
235068085,1980.05,4277.5,4920,0,0,0,0,1
311816000,3505.03,6540.84,4920,0,0,0,1,0
235068085,2206.51,4911.78,4980,0,0,0,0,1
311816000,3670.81,6785.75,4980,0,0,0,1,0
235068085,2401.32,5455.31,5040,0,0,0,0,1
311816000,3841.62,7029.85,5040,0,0,0,1,0
235068085,2581.42,5947.11,5100,0,0,0,0,1
311816000,4001.2,7274.91,5100,0,0,0,1,0
235068085,2811.85,6597.25,5160,0,0,0,0,1
311816000,4168.02,7513.94,5160,0,0,0,1,0
235068085,3013.25,7155.11,5220,0,0,0,0,1
311816000,4324.4,7757.65,5220,0,0,0,1,0
235068085,3205.39,7659.92,5280,0,0,0,0,1
311816000,4482.57,8004.03,5280,0,0,0,1,0
235068085,3430.44,8267.53,5340,0,0,0,0,1
311816000,4645.67,8251.4,5340,0,0,0,1,0
235068085,3617.8,8766.61,5400,0,0,0,0,1
311816000,4818.8,8497.17,5400,0,0,0,1,0
235068085,3821.72,9320.23,5460,0,0,1,0,0
311816000,4990.05,8744.07,5460,0,0,1,0,0
235068085,4071.96,9927.71,5520,0,0,0,1,0
311816000,5156.65,8993.64,5520,0,0,0,0,1
235068085,4262.74,10375.1,5580,0,0,0,1,0
311816000,5323.26,9243.14,5580,0,0,0,0,1
235068085,4507.22,10894,5640,0,0,0,1,0
311816000,5489.34,9496.99,5640,0,0,0,0,1
235068085,4814.77,11520.9,5700,0,0,0,1,0
311816000,5653.19,9745.08,5700,0,0,0,0,1
235068085,5022.52,11961.2,5760,0,0,0,1,0
311816000,5823.32,10001.1,5760,0,0,0,0,1
235068085,5282.2,12505.3,5820,0,0,0,1,0
311816000,5987.89,10256.6,5820,0,0,0,0,1
235068085,5571.71,13090.9,5880,0,0,0,1,0
311816000,6156.25,10503.3,5880,0,0,0,0,1
235068085,5806.42,13584.4,5940,0,0,0,1,0
311816000,6323.97,10758.2,5940,0,0,0,0,1
235068085,6086.91,14186.7,6000,0,0,0,1,0
311816000,6489.14,11011,6000,0,0,0,0,1
