mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
248375000,17093.4,7210.34,120,0,1,0,0,0
257787000,19641,1040.62,120,0.182957,0,0,0,0.817043
248375000,16873.1,7070.44,180,0,1,0,0,0
257787000,19278.8,1120.87,180,1,0,0,0,0
248375000,16649.9,6927.25,240,0,1,0,0,0
257787000,18919.3,1207.29,240,4.76647e-05,0,0,0,0.999952
248375000,16423.6,6782.51,300,0,1,0,0,0
257787000,18567.3,1281.11,300,1,0,0,0,0
248375000,16203.4,6639.82,360,0,1,0,0,0
257787000,18193.3,1364.6,360,1,0,0,0,0
248375000,15969,6496.09,420,0,1,0,0,0
257787000,17839.1,1441.44,420,0.0577888,0,0,0,0.942211
248375000,15749.8,6353.91,480,0,1,0,0,0
257787000,17468.8,1527.45,480,1,0,0,0,0
248375000,15525.9,6209.97,540,0,1,0,0,0
257787000,17101.1,1604.88,540,1,0,0,0,0
248375000,15288.2,6060.77,600,0,1,0,0,0
257787000,16731.4,1686.65,600,1,0,0,0,0
248375000,15057.8,5915.71,660,0,1,0,0,0
257787000,16354.2,1765.51,660,1,0,0,0,0
248375000,14830.6,5769.62,720,0,1,0,0,0
257787000,15989.2,1847.17,720,1,0,0,0,0
248375000,14613,5627.23,780,0,1,0,0,0
257787000,15618.6,1926.81,780,1,0,0,0,0
248375000,14395.3,5479.35,840,0,1,0,0,0
257787000,15260.7,2006.81,840,1,0,0,0,0
248375000,14175.2,5336.68,900,0,1,0,0,0
257787000,14899.2,2083,900,1,0,0,0,0
248375000,13949,5187.03,960,0,1,0,0,0
257787000,14537.3,2159.75,960,1,0,0,0,0
248375000,13728.8,5043.77,1020,0,1,0,0,0
257787000,14174.7,2231.9,1020,1,0,0,0,0
248375000,13506,4899.55,1080,0,1,0,0,0
257787000,13817.4,2301.91,1080,1,0,0,0,0
248375000,13279.5,4751.13,1140,0,1,0,0,0
257787000,13455.2,2374.44,1140,1,0,0,0,0
248375000,13059.3,4610.8,1200,0,1,0,0,0
257787000,13081.8,2451.12,1200,1,0,0,0,0
248375000,12833.2,4462.59,1260,0,0.211373,0,0,0.788627
257787000,12726.3,2528.1,1260,1,0,0,0,0
248375000,12630.1,4302.53,1320,0,0.656523,0,0,0.343477
257787000,12368.5,2605.9,1320,1,0,0,0,0
248375000,12495.5,4085.8,1380,0,0.380723,0,0,0.619277
257787000,12015.2,2682.82,1380,0,0,0,1,0
248375000,12364.2,3870.3,1440,0,0,0,0,1
257787000,11653.4,2762.1,1440,0,0,0,1,0
248375000,12257.3,3620.65,1500,0,0,0,0,1
257787000,11311.7,2841.83,1500,0,0,0,1,0
248375000,12091.4,3416.06,1560,0,0,0,0,0
257787000,10945.3,2920.6,1560,0,0,0,0,0
248375000,11869.5,3239.13,1620,0,0,0,0,0
257787000,10585.4,3006.56,1620,0,0,0,0,0
248375000,11629.3,3078.68,1680,0,0,0,0,0
257787000,10221,3101.61,1680,0,0,0,0,0
248375000,11387.9,2914.07,1740,0,0,0,0,0
257787000,9849.85,3194.35,1740,0,0,0,0,0
248375000,11136.9,2749.2,1800,0,0,0,0,0
257787000,9482.77,3291.93,1800,0,0,0,0,0
248375000,10895.1,2593.21,1860,0,0,0,0,0
257787000,9121.16,3396.71,1860,0,0,0,0,0
248375000,10635,2440.8,1920,0,0,0,0,0
257787000,8752.2,3502.97,1920,0,0,0,0,0
248375000,10382.6,2295.98,1980,0,0,0,0,0
257787000,8391.38,3607.75,1980,0,0,0,0,0
248375000,10122.1,2143.27,2040,0,0,0,0,0
257787000,8030.12,3714.04,2040,0,0,0,0,0
248375000,9869.28,1993.76,2100,0,0,0,0,0
257787000,7657.39,3828.75,2100,0,0,0,0,0
248375000,9602,1847.09,2160,0,0,0,0,0
257787000,7283.55,3939.9,2160,0,0,0,0,0
248375000,9330.37,1695.3,2220,0,0,0,0,0
257787000,6917.61,4043.43,2220,0,0,0,0,0
248375000,9066.79,1550.37,2280,0,0,0,0,0
257787000,6544.89,4152.48,2280,0,0,0,0,0
248375000,8784.03,1408.01,2340,0,0,0,0,0
257787000,6182.21,4264.44,2340,0,0,0,0,0
248375000,8520.46,1268.96,2400,0,0,0,0,0
257787000,5809.49,4373.64,2400,0,0,0,0,0
248375000,8237.72,1125.6,2460,0,0,0,0,0
257787000,5438.78,4477.28,2460,0,0,0,0,0
248375000,7974.39,987.104,2520,0,0,0,0,0
257787000,5066.18,4584.74,2520,0,0,0,0,0
248375000,7702.58,841.104,2580,0,0,0,0,0
257787000,4700.27,4689.11,2580,0,0,0,0,0
248375000,7428.56,706.997,2640,0,0,0,0,0
257787000,4319.42,4791.69,2640,0,0,0,0,0
248375000,7160.78,570.173,2700,0,0,0,0,0
257787000,3934.56,4896.35,2700,0,0,0,0,0
248375000,6877.63,438.365,2760,0,0,0,0,0
257787000,3568.87,4993.75,2760,0,0,0,0,0
248375000,6613.1,307.579,2820,0,0,0,0,0
257787000,3189.82,5095.45,2820,0,0,0,0,0
248375000,6342.56,168.592,2880,0,0,0,0,0
257787000,2813.21,5192.03,2880,0,0,0,0,0
248375000,6088.96,30.0297,2940,0,0,0,0,0
257787000,2440.5,5284.82,2940,0,0,0,0,0
