mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,10683.2,10040,240,0.979427,0.985794,2.1269e-05,0,1,0,0,0,0.0480942,0.882137,0.0697691,0.897295,0.118652
219829000,16460.7,10913,240,0.979936,0.989741,1.74524e-05,1,0,0,0,0,0.0361345,0.913557,0.0503082,0.926432,0.125598
210445000,10730.9,9837.07,300,0.979712,0.986558,7.89389e-06,0,1,0,0,0,0.0486187,0.879945,0.0714361,0.897755,0.121628
219829000,16413.1,10775.4,300,0.980425,0.990053,7.50029e-06,1,0,0,0,0,0.0344739,0.913595,0.0519313,0.924781,0.123555
210445000,10779.6,9630.41,360,0.979336,0.985347,0,0,1,0,0,0,0.0489449,0.881188,0.069867,0.898782,0.125194
219829000,16368,10637.3,360,0.979743,0.990161,1.93176e-05,1,0,0,0,0,0.0350012,0.914291,0.0507075,0.927594,0.124367
210445000,10873.2,9462.52,420,0.93692,0.954341,0.00174068,0,1,0,0,0,0.0371543,0.910775,0.0520712,0.0434505,0.0415897
219829000,16322.9,10499.2,420,0.98044,0.989893,5.60667e-06,1,0,0,0,0,0.0176005,0.930915,0.0514849,0.994207,0.970749
210445000,11047.7,9456.74,480,0.941162,0.954216,0.00267583,0,1,0,0,0,0.0449609,0.908365,0.0466738,0.0441834,0.00875804
219829000,16277.8,10361.1,480,0.980103,0.98946,1.43852e-05,1,0,0,0,0,0.0192143,0.929095,0.0516908,0.993703,0.225881
210445000,11262.6,9476.74,540,0.934689,0.946567,0.00207009,0,1,0,0,0,0.0541681,0.892384,0.0534474,0.0453436,0.0291965
219829000,16238,10223.9,540,0.979638,0.990001,4.16087e-06,1,0,0,0,0,0.0164466,0.932039,0.0515148,0.993708,0.661774
210445000,11504.3,9421.59,600,0.817884,0.803171,0.00908035,0,1,0,0,0,0.0220753,0.938371,0.0395533,0.197002,0.196924
219829000,16194.9,10080.7,600,0.97993,0.990304,1.43805e-05,1,0,0,0,0,0.0155011,0.933395,0.0511037,0.998617,0.994468
210445000,11777.1,9326.92,660,0.369402,0.227697,0.0505614,0,1,0,0,0,0.0490333,0.891321,0.0596461,0.822303,0.82229
219829000,16146.4,9946.41,660,0.979723,0.989334,1.24861e-05,1,0,0,0,0,0.0100079,0.937564,0.0524277,1,1
210445000,12038.2,9211.61,720,0.68386,0.690732,0.697809,0,1,0,0,0,0.0582891,0.894891,0.0468199,1,1
219829000,16079.9,9813.88,720,0.979981,0.989962,2.72824e-06,1,0,0,0,0,0.000664537,0.947019,0.0523162,1,0.99989
210445000,12299.3,9096.31,780,0.777085,0.784415,0.792661,0,1,0,0,0,0.0520813,0.896624,0.0512944,1,1
219829000,16011.7,9678.49,780,0.979491,0.990432,9.34007e-06,1,0,0,0,0,0.00102101,0.945244,0.0537348,1,0.99954
210445000,12560.4,8981.09,840,0.848773,0.857175,0.865763,0,1,0,0,0,0.0411969,0.898924,0.0598796,1,1
219829000,15944.4,9545.71,840,0.980139,0.990664,1.00023e-05,1,0,0,0,0,0.000783091,0.947116,0.0521011,1,0.998509
210445000,12821.4,8865.82,900,0.732177,0.740747,0.746582,0,1,0,0,0,0.0440754,0.894661,0.0612634,1,0.999999
219829000,15877.8,9413.05,900,0.979811,0.989957,1.05217e-05,1,0,0,0,0,0,0.946628,0.053372,1,0.997857
210445000,13082.6,8750.56,960,0.564127,0.56831,0.574701,0,1,0,0,0,0.0264122,0.945541,0.0280467,1,0.999998
219829000,15809.7,9278.71,960,0.979622,0.990173,1.36843e-05,1,0,0,0,0,0.00184343,0.945174,0.0529831,1,0.996528
210445000,13343.7,8635.38,1020,0.449021,0.453315,0.458231,0,1,0,0,0,0.565861,0.411558,0.0225807,1,0.998171
219829000,15745.7,9146.99,1020,0.9798,0.990023,7.83856e-06,1,0,0,0,0,0.00281776,0.945867,0.0513153,1,0.994279
210445000,13603.8,8518.96,1080,0.982015,0.993719,1,0,1,0,0,0,0.053439,0.888495,0.0580657,1,0.999978
219829000,15684.1,9014.24,1080,0.980462,0.990126,1.58487e-05,1,0,0,0,0,0,0.947418,0.0525822,1,0.991205
210445000,13844.8,8352.53,1140,0.97954,0.988878,1,0,1,0,0,0,0.0492356,0.900162,0.0506022,1,0.999939
219829000,15620.6,8879.58,1140,0.980505,0.989677,1.06803e-05,1,0,0,0,0,0.00663387,0.940576,0.0527906,1,0.985605
210445000,14068.2,8172.64,1200,0.97957,0.981532,1,0,1,0,0,0,0.0286892,0.927595,0.0437161,1,0.999845
219829000,15557.2,8751.25,1200,0.980997,0.990159,9.09976e-06,1,0,0,0,0,0.0101321,0.938463,0.0514047,0.99999,0.979524
210445000,14291.6,7992.84,1260,0.980694,0.994198,1,0,1,0,0,0,0.0863855,0.84641,0.0672048,1,0.999781
219829000,15497.7,8616.88,1260,0.979768,0.989677,1.2423e-05,1,0,0,0,0,0,0.946054,0.0539457,1,0.970169
210445000,14515,7813,1320,0.969186,0.985357,1,0,1,0,0,0,0.113996,0.826722,0.0592827,1,0.99957
219829000,15438.3,8482.56,1320,0.979689,0.989976,1.32556e-05,1,0,0,0,0,0,0.947338,0.0526622,0.99999,0.969124
210445000,14732.5,7615.03,1380,0.979504,0.984584,1,0,1,0,0,0,0.00102412,0.997949,0.00102684,1,0.999727
