mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
210445000,10683.2,10040,240,0,1,0,0,0
219829000,16460.7,10913,240,1,0,0,0,0
210445000,10730.9,9837.07,300,0,1,0,0,0
219829000,16413.1,10775.4,300,1,0,0,0,0
210445000,10779.6,9630.41,360,0,1,0,0,0
219829000,16368,10637.3,360,1,0,0,0,0
210445000,10873.2,9462.52,420,0,1,0,0,0
219829000,16322.9,10499.2,420,1,0,0,0,0
210445000,11047.7,9456.74,480,0,1,0,0,0
219829000,16277.8,10361.1,480,1,0,0,0,0
210445000,11262.6,9476.74,540,0,1,0,0,0
219829000,16238,10223.9,540,1,0,0,0,0
210445000,11504.3,9421.59,600,0,1,0,0,0
219829000,16194.9,10080.7,600,1,0,0,0,0
210445000,11777.1,9326.92,660,0,1,0,0,0
219829000,16146.4,9946.41,660,1,0,0,0,0
210445000,12038.2,9211.61,720,0,1,0,0,0
219829000,16079.9,9813.88,720,1,0,0,0,0
210445000,12299.3,9096.31,780,0,1,0,0,0
219829000,16011.7,9678.49,780,1,0,0,0,0
210445000,12560.4,8981.09,840,0,1,0,0,0
219829000,15944.4,9545.71,840,1,0,0,0,0
210445000,12821.4,8865.82,900,0,1,0,0,0
219829000,15877.8,9413.05,900,1,0,0,0,0
210445000,13082.6,8750.56,960,0,1,0,0,0
219829000,15809.7,9278.71,960,1,0,0,0,0
210445000,13343.7,8635.38,1020,0,1,0,0,0
219829000,15745.7,9146.99,1020,1,0,0,0,0
210445000,13603.8,8518.96,1080,0,1,0,0,0
219829000,15684.1,9014.24,1080,1,0,0,0,0
210445000,13844.8,8352.53,1140,0,1,0,0,0
219829000,15620.6,8879.58,1140,1,0,0,0,0
210445000,14068.2,8172.64,1200,0,1,0,0,0
219829000,15557.2,8751.25,1200,1,0,0,0,0
210445000,14291.6,7992.84,1260,0,1,0,0,0
219829000,15497.7,8616.88,1260,1,0,0,0,0
210445000,14515,7813,1320,0,1,0,0,0
219829000,15438.3,8482.56,1320,1,0,0,0,0
210445000,14732.5,7615.03,1380,0,1,0,0,0
219829000,15377.6,8349.31,1380,1,0,0,0,0
210445000,14937.3,7408.91,1440,0,1,0,0,0
219829000,15318.2,8211.99,1440,1,0,0,0,0
210445000,15148.3,7206.22,1500,0,0,0,0,0
219829000,15252.9,8078.75,1500,0,0,0,0,0
210445000,15345,7007.86,1560,0,0,0,0,0
219829000,15195.6,7943.39,1560,0,0,0,0,0
210445000,15580.8,6859.04,1620,0,0,0,0,0
219829000,15130.8,7802.91,1620,0,0,0,0,0
210445000,15835.3,6733.13,1680,0,0,0,0,0
219829000,15072.2,7667.67,1680,0,0,0,0,0
210445000,16122.3,6654.13,1740,0,0,0,0,0
219829000,15006.3,7531.36,1740,0,0,0,0,0
210445000,16399.1,6700.25,1800,0,0,0,0,0
219829000,14946.4,7386.79,1800,0,0,0,0,0
210445000,16691.5,6758.58,1860,0,0,0,0,0
219829000,14882.3,7244.5,1860,0,0,0,0,0
210445000,16985.7,6828.3,1920,0,0,0,0,0
219829000,14826.8,7105.95,1920,0,0,0,0,0
210445000,17291.5,6901.22,1980,0,0,0,0,0
219829000,14759.1,6967.54,1980,0,0,0,0,0
210445000,17579.2,6940.66,2040,0,0,0,0,0
219829000,14691.3,6828.17,2040,0,0,0,0,0
210445000,17885.3,6953.57,2100,0,0,0,0,0
219829000,14641,6691.45,2100,0,0,0,0,0
210445000,18191.4,6966.41,2160,0,0,0,0,0
219829000,14580.6,6551.58,2160,0,0,0,0,0
210445000,18500.2,6976.92,2220,0,0,0,0,0
219829000,14520.2,6411.7,2220,0,0,0,0,0
210445000,18815.4,6989.15,2280,0,0,0,0,0
219829000,14459.8,6270.21,2280,0,0,0,0,0
210445000,19112.3,7002.84,2340,0,0,0,0,0
219829000,14404.2,6128.41,2340,0,0,0,0,0
210445000,19415.1,7015.98,2400,0,0,0,0,0
219829000,14348.6,5986.6,2400,0,0,0,0,0
210445000,19712.4,7026.14,2460,0,0,0,0,0
219829000,14289.5,5847,2460,0,0,0,0,0
210445000,20017.1,7036.53,2520,0,0,0,0,0
219829000,14237.5,5710.26,2520,0,0,0,0,0
210445000,20310,7046.46,2580,0,0,0,0,0
219829000,14185.6,5573.52,2580,0,0,0,0,0
210445000,20609,7057.16,2640,0,0,0,0,0
219829000,14136.5,5444.71,2640,0,0,0,0,0
210445000,20909.4,7064.98,2700,0,0,0,0,0
219829000,14136.5,5444.71,2700,0,0,0,0,0
