mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211237730,24416.9,-560.67,5460,0.950443,0.98026,0.00180472,0,0,0,0,0,1,0,0,0,0.0514963,0.897663,0.0508412,0.280585,0.280585,0
261146000,31764.8,5705.41,5460,0.95024,0.98025,0.00212,0,0,0,1,1,0,0,0,0,0.0509,0.89905,0.05005,0.27886,0.27886,0
211237730,24570.4,-651.766,5520,0.950026,0.97919,0.00200191,1,0,0,1,0,1,0,0,0,0.0515269,0.911127,0.0373457,0.268039,0.268039,0
261146000,31633.2,5629.99,5520,0.931761,0.98001,0.00273309,1,0,0,1,1,0,0,0,0,0.0667465,0.885582,0.0476716,0.0377477,0.0377477,0
211237730,24724.3,-763.354,5580,0.949523,0.9799,0.00202465,0,0,0,0,0,1,0,0,0,0.0502905,0.899706,0.0500033,0.277795,0.277795,0
261146000,31490.3,5556.6,5580,0.95001,0.97989,0.00184,0,0,0,1,1,0,0,0,0,0.05081,0.89913,0.05006,0.27695,0.27695,0
211237730,24915.7,-843.403,5640,0.94957,0.972459,0.00277793,0,1,0,1,0,1,0,0,0,0.0500915,0.901007,0.0489019,0.00821888,0.00821888,0
261146000,31357.5,5465.7,5640,0.94956,0.98058,0.00183,0,0,0,1,1,0,0,0,0,0.04934,0.90081,0.04985,0.27989,0.27989,0
211237730,25080.7,-875.902,5700,0.950136,0.97318,0.0025474,0,1,0,1,0,1,0,0,0,0.0503194,0.900446,0.0492347,0.00798738,0.00798738,0
261146000,31211.9,5375.29,5700,0.9502,0.97993,0.00203,0,0,0,1,1,0,0,0,0,0.04831,0.90074,0.05095,0.2788,0.2788,0
211237730,25228.5,-907.151,5760,0.949779,0.97984,0.00190929,1,0,0,1,0,1,0,0,0,0.0507624,0.910987,0.0382509,0.266955,0.266955,0
261146000,31075.2,5275.04,5760,0.94807,0.98105,0.00231,0,0,0,1,1,0,0,0,0,0.04893,0.90079,0.05028,0.27879,0.27879,0
211237730,25403.7,-957.457,5820,0.9495,0.9796,0.00196,0,0,0,1,0,1,0,0,0,0.0503,0.89963,0.05007,0.27909,0.27909,0
261146000,30942.1,5181.74,5820,0.95049,0.97911,0.00207,0,0,0,1,1,0,0,0,0,0.05026,0.90037,0.04937,0.27619,0.27619,0
211237730,25593.1,-1001.5,5880,0.950471,0.98002,0.00230688,0,0,0,0,0,1,0,0,0,0.0494782,0.900171,0.050351,0.278917,0.278917,0
