mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219005496,28949.9,141798,1500,0.981044,0.99051,0,0,1,0,0,0,0.0511577,0.899816,0.0490258
230965000,33512.4,150087,1500,0.97931,0.99016,9.26868e-06,1,0,0,0,0,0.051295,0.899125,0.0495798
219005496,29164.4,141954,1560,0.981144,0.98984,0,0,1,0,0,0,0.0510164,0.898183,0.0508004
230965000,33773.2,149786,1560,0.98044,0.9901,0,1,0,0,0,0,0.0495048,0.900265,0.0502297
219005496,29395.9,142122,1620,0.979821,0.98993,4.88424e-08,0,1,0,0,0,0.0473004,0.903584,0.0491155
230965000,34025,149484,1620,0.9801,0.9899,0,1,0,0,0,0,0.0509159,0.898594,0.0504897
219005496,29608.3,142282,1680,0.980097,0.99006,1.64823e-06,0,1,0,0,0,0.0510373,0.899169,0.0497936
230965000,34283.7,149181,1680,0.979637,0.99045,0,1,0,0,0,0,0.0493693,0.900133,0.050498
219005496,29839.3,142451,1740,0.978279,0.99008,0,0,1,0,0,0,0.0519787,0.897389,0.0506324
230965000,34536.4,148878,1740,0.980004,0.99009,0,1,0,0,0,0,0.0494363,0.900518,0.0500457
219005496,30067.8,142607,1800,0.972755,0.623497,0.000411836,0,1,0,0,0,0.0487883,0.917232,0.0339799
230965000,34791.4,148577,1800,0.980168,0.98997,0,1,0,0,0,0,0.0507646,0.899502,0.0497338
219005496,30340.9,142640,1860,0.970689,0.208028,0.000608188,0,1,0,0,0,0.046632,0.941838,0.0115296
230965000,35049.3,148280,1860,0.980075,0.99013,0,1,0,0,0,0,0.0495424,0.898998,0.05146
219005496,30615.4,142653,1920,0.982041,0.05869,0.000974112,0,1,0,0,0,0.0466261,0.951785,0.00158931
230965000,35300.6,147987,1920,0.980355,0.99002,0,1,0,0,0,0,0.0505909,0.898412,0.0509969
219005496,30898.8,142661,1980,0.972049,0.0183642,0.00134586,0,1,0,0,0,0.0520693,0.945421,0.00251009
230965000,35548.5,147692,1980,0.980355,0.99038,7.45968e-06,1,0,0,0,0,0.049827,0.900882,0.0492907
219005496,31177.7,142676,2040,0.969436,0.0319809,0.00108713,0,1,0,0,0,0.0487862,0.947307,0.00390702
230965000,35808.2,147395,2040,0.980067,0.98976,2.95309e-05,1,0,0,0,0,0.0504777,0.900002,0.0495201
219005496,31452.3,142683,2100,0.979107,0.0416505,0.000922875,0,1,0,0,0,0.0613584,0.938332,0.000309839
230965000,36052.3,147096,2100,0.980478,0.9899,7.48529e-06,1,0,0,0,0,0.0500994,0.899518,0.0503821
219005496,31733,142697,2160,0.978595,0.0154721,0.000787382,0,1,0,0,0,0.0481662,0.95132,0.000514127
230965000,36228.4,146760,2160,0.309448,0.309448,0.0187402,1,0,0,0,0,0.0712716,0.872156,0.0565729
219005496,31988.2,142712,2220,0.979308,0.00134507,0.00116966,0,1,0,0,0,0.0567003,0.941941,0.00135918
230965000,36360.2,146417,2220,0.346179,0.334309,0.0281164,1,0,0,0,0,0.060576,0.859959,0.0794649
219005496,32265.4,142729,2280,0.980208,0.00242599,0.00095516,0,1,0,0,0,0.0409297,0.958237,0.000833544
230965000,36440.6,146052,2280,0.130433,0.13125,0.0424775,1,0,0,0,0,0.0187422,0.895793,0.0854643
219005496,32512.8,142735,2340,0.980138,0.0034173,0.00107995,0,1,0,0,0,0.0507713,0.948696,0.000532709
230965000,36471.3,145700,2340,0.129246,0.13146,0.0409548,1,0,0,0,0,0.0373413,0.928524,0.0341343
219005496,32784.3,142745,2400,0.979057,0.0033135,0.00111904,0,1,0,0,0,0.0415669,0.957299,0.00113394
230965000,36483.5,145326,2400,0.0892279,0.0893345,0.0462475,1,0,0,0,0,0.0695499,0.829529,0.100922
219005496,33037,142746,2460,0.978458,0.00110341,0.00110741,0,1,0,0,0,0.0506524,0.947896,0.00145146
230965000,36503.8,144961,2460,0.0464665,0.047285,0.0476433,1,0,0,0,0,0.0530444,0.907672,0.0392836
219005496,33299,142749,2520,0.981065,0.0010602,0.00107179,0,1,0,0,0,0.0527616,0.946278,0.000960255
