mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219164000,50826.1,-37735.9,-3480,0.989845,0.98981,9.61445e-06,0,0,0,1,0,1,0,0,0,0.0491446,0.901123,0.0497327,0.00110861,0.00110861,0
230091950,49652.9,-46675,-3480,0.990005,0.99017,1.06651e-05,0,0,0,0,0.152257,0,0.847743,0,0,0.0505993,0.899735,0.0496657,0.00115958,0.00115958,0
219164000,50631.2,-38034.7,-3420,0.989871,0.99063,9.67195e-06,0,0,0,0,0,1,0,0,0,0.0486925,0.900642,0.0506654,0.000332514,0.000332514,0
230091950,49662.2,-46517.9,-3420,0.989915,0.99034,9.52054e-06,0,0,0,0,0.243419,0,0.756581,0,0,0.0501515,0.899854,0.0499947,0.000340197,0.000340197,0
219164000,50463.2,-38360.8,-3360,0.990234,0.99038,1.00168e-05,0,0,0,1,0,0,1,0,0,0.0502941,0.899215,0.0504912,0.0688608,0.0688608,0
230091950,49660.3,-46353.8,-3360,0.990036,0.98998,9.80935e-06,0,0,0,0,0,0,1,0,0,0.0500016,0.899716,0.0502828,0.0693452,0.0693452,0
219164000,50299,-38686.7,-3300,0.989769,0.9896,9.6593e-06,0,0,0,0,0,1,0,0,0,0.0510726,0.899239,0.0496881,0.0159437,0.0159437,0
230091950,49669.6,-46189.4,-3300,0.990109,0.98948,9.96998e-06,0,0,0,0,0.0874039,0,0.912596,0,0,0.0508535,0.898936,0.050211,0.0166053,0.0166053,0
219164000,50124.2,-39015.4,-3240,0.990678,0.98983,1.01066e-05,0,0,0,0,0,1,0,0,0,0.0497907,0.900115,0.0500942,0.0345413,0.0345413,0
230091950,49667.7,-46027.1,-3240,0.989825,0.98966,9.83466e-06,0,0,0,0,0.135455,0,0.864545,0,0,0.0501694,0.90063,0.0492003,0.0351596,0.0351596,0
219164000,49964.3,-39334.5,-3180,0.990231,0.98992,9.47549e-06,0,0,0,0,0,1,0,0,0,0.0507316,0.899488,0.0497808,0.193933,0.193933,0
230091950,49665.9,-45866.7,-3180,0.990072,0.99005,1.00908e-05,0,0,0,0,0.00741367,0,0.992586,0,0,0.0507263,0.899041,0.0502326,0.198188,0.198188,0
219164000,49878.7,-39689.5,-3120,0.995921,0.000982459,0.000986227,0,1,0,1,0,0,1,0,0,0.0462219,0.953729,4.88721e-05,0.999996,0.999996,0
230091950,49667.7,-45705.5,-3120,0.990108,0.98994,1.16186e-05,0,0,0,0,0,0,1,0,0,0.0488162,0.89295,0.058234,1,1,0
219164000,49886.3,-40051.3,-3060,0.989025,0.98973,9.88264e-06,0,0,0,1,0,0,1,0,0,0.0510013,0.898112,0.0508868,0.999997,0.999997,0
230091950,49673.4,-45544.4,-3060,0.988775,0.99002,1.17289e-05,0,0,0,0,0,0,1,0,0,0.0501676,0.888377,0.0614559,0.999993,0.999993,0
219164000,49924.4,-40427.3,-3000,0.989656,0.98974,1.07238e-05,0,0,0,0,0,0,1,0,0,0.0478804,0.895707,0.056413,0.999908,0.999908,1
230091950,49671.6,-45383.3,-3000,0.986963,0.99026,1.3301e-05,0,0,0,0,0,0,1,0,0,0.0486444,0.881151,0.0702046,0.999865,0.999865,1
219164000,49949.5,-40798.2,-2940,0.988093,0.98965,1.16463e-05,0,0,0,0,0,0,1,0,0,0.048627,0.891193,0.0601804,0.99989,0.99989,0
230091950,49669.7,-45222.7,-2940,0.985622,0.9899,1.5975e-05,0,0,0,0,0,0,1,0,0,0.048542,0.874384,0.0770737,0.999836,0.999836,0
219164000,49982.8,-41181.3,-2880,0.987217,0.99042,1.2369e-05,0,0,0,0,0,0,1,0,0,0.0490167,0.885845,0.0651388,0.999961,0.999961,0
230091950,49679.1,-45063.5,-2880,0.982489,0.99,2.19351e-05,0,0,0,0,0,0,1,0,0,0.0474356,0.849205,0.10336,0.999959,0.999959,0
219164000,50009,-41563.9,-2820,0.986593,0.98978,1.53218e-05,0,0,0,0,0,0,1,0,0,0.0501019,0.875727,0.0741709,0.999973,0.999973,0
230091950,49677.3,-44903.4,-2820,0.978984,0.98982,2.53529e-05,0,0,0,0,0,0,1,0,0,0.0468301,0.821139,0.132031,0.999957,0.999957,0
219164000,50040.8,-41944.5,-2760,0.985735,0.99011,1.60705e-05,0,0,0,0,0,0,1,0,0,0.0494618,0.870439,0.0800991,0.999949,0.999949,0
230091950,49686.7,-44746.3,-2760,0.976683,0.98996,2.84161e-05,0,0,0,0,0,0,1,0,0,0.045024,0.817345,0.137631,0.99993,0.99993,0
219164000,50078.2,-42325.5,-2700,0.984044,0.99005,1.86986e-05,0,0,0,0,0,0,1,0,0,0.047102,0.863497,0.0894008,0.999986,0.999986,0
230091950,49696.1,-44587.7,-2700,0.970721,0.98985,3.54179e-05,0,0,0,0,0,0,1,0,0,0.0440314,0.772341,0.183628,0.999916,0.999902,0
219164000,50110.1,-42710.4,-2640,0.98364,0.98952,1.90363e-05,0,0,0,0,0,0,1,0,0,0.0463201,0.85996,0.09372,0.999979,0.99997,0
230091950,49705.5,-44432.2,-2640,0.968002,0.9903,4.17887e-05,0,0,0,0,0,0,1,0,0,0.042741,0.748197,0.209062,0.999951,0.999951,0
