mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211237730,24416.9,-560.67,1860,0.990458,0.98994,1.02128e-05,0,0,0,0,0,1,0,0,0,0.0512379,0.899759,0.0490026,0.000150571,0.000150571,0
261146000,31764.8,5705.41,1860,0.990067,0.98997,1.00335e-05,0,0,0,1,1,0,0,0,0,0.0505632,0.900704,0.0487329,9.90225e-05,9.90225e-05,0
211237730,24570.4,-651.766,1920,0.990071,0.98973,1e-05,0,0,0,1,0,1,0,0,0,0.0501245,0.90001,0.0498659,0.000187052,0.000187052,0
261146000,31633.2,5629.99,1920,0.990225,0.99009,9.96647e-06,0,0,0,1,1,0,0,0,0,0.0497953,0.898856,0.051349,7.70175e-05,7.70175e-05,0
211237730,24724.3,-763.354,1980,0.98999,0.98971,1.02263e-05,0,0,0,0,0,1,0,0,0,0.0499509,0.90052,0.0495296,5.78668e-05,5.78668e-05,0
261146000,31490.3,5556.6,1980,0.990105,0.98981,1.00671e-05,0,0,0,1,1,0,0,0,0,0.0494421,0.899647,0.0509112,9.903e-05,9.903e-05,0
211237730,24915.7,-843.403,2040,0.989818,0.990032,1.04229e-05,0,1,0,1,0,1,0,0,0,0.0502141,0.899409,0.0503772,0,0,0
261146000,31357.5,5465.7,2040,0.990557,0.98964,1.00335e-05,0,0,0,1,1,0,0,0,0,0.0503584,0.899793,0.0498482,0.000143034,0.000143034,0
211237730,25080.7,-875.902,2100,0.989918,0.99006,9.71501e-06,0,0,0,1,0,1,0,0,0,0.0492442,0.900781,0.0499752,0.000154037,0.000154037,0
261146000,31211.9,5375.29,2100,0.989785,0.98949,9.5139e-06,0,0,0,1,1,0,0,0,0,0.0521451,0.899241,0.0486142,7.70129e-05,7.70129e-05,0
211237730,25228.5,-907.151,2160,0.990185,0.98991,1.05199e-05,0,0,0,1,0,1,0,0,0,0.0498682,0.899125,0.0510071,0.000121048,0.000121048,0
261146000,31075.2,5275.04,2160,0.989977,0.99018,1.01509e-05,0,0,0,1,1,0,0,0,0,0.0500788,0.900299,0.0496225,0.00011004,0.00011004,0
211237730,25403.7,-957.457,2220,0.990277,0.98993,1.0218e-05,0,0,0,1,0,1,0,0,0,0.0502654,0.899776,0.0499583,0.000121464,0.000121464,0
261146000,30942.1,5181.74,2220,0.989506,0.99,1e-05,0,0,0,1,1,0,0,0,0,0.0512192,0.898542,0.0502387,0.00017604,0.00017604,0
211237730,25593.1,-1001.5,2280,0.989861,0.99055,9.75716e-06,0,0,0,0,0,1,0,0,0,0.0509489,0.898846,0.0502053,0.00016223,0.00016223,0
261146000,30813.9,5095.21,2280,0.989835,0.99026,9.96647e-06,0,0,0,1,1,0,0,0,0,0.050982,0.899048,0.04997,0.000110023,0.000110023,0
211237730,25767.6,-1052.51,2340,0.989956,0.98957,9.48038e-06,0,0,0,1,0,1,0,0,0,0.0490808,0.901706,0.0492131,7.7027e-05,7.7027e-05,0
261146000,30696.9,5000.75,2340,0.990566,0.98989,9.9497e-06,0,0,0,1,1,0,0,0,0,0.0491531,0.900429,0.0504182,7.70101e-05,7.70101e-05,0
211237730,25956.2,-1098.51,2400,0.989986,0.99028,1.02012e-05,0,0,0,1,0,1,0,0,0,0.0499013,0.900928,0.0491708,0.000143034,0.000143034,0
261146000,30560.9,4909.34,2400,0.989885,0.98973,1.04361e-05,0,0,0,1,1,0,0,0,0,0.0494285,0.900899,0.0496726,0.000121022,0.000121022,0
211237730,26124.7,-1125.81,2460,0.990336,0.99047,1.04528e-05,0,0,0,1,0,1,0,0,0,0.0501358,0.900294,0.0495702,0.000121043,0.000121043,0
261146000,30439.8,4808.39,2460,0.989925,0.98985,9.3966e-06,0,0,0,1,0,0,1,0,0,0.0495302,0.899893,0.0505764,5.50315e-05,5.50315e-05,0
211237730,26283.6,-1195.52,2520,0.990156,0.99033,9.61445e-06,0,0,0,1,0,1,0,0,0,0.0493509,0.899545,0.051104,0.000209061,0.000209061,0
261146000,30302.5,4737.32,2520,0.989562,0.9901,1.04136e-05,0,0,0,0,0,0,1,0,0,0.0500915,0.900889,0.0490193,0.000219773,0.000219773,0
211237730,26464.9,-1248.3,2580,0.990228,0.989494,9.81956e-06,0,1,0,1,0,1,0,0,0,0.0502105,0.900213,0.0495761,8.86473e-06,8.86473e-06,0
261146000,30182.5,4640.82,2580,0.989986,0.99006,1.0218e-05,0,0,0,1,1,0,0,0,0,0.0507903,0.89924,0.0499692,6.6013e-05,6.6013e-05,0
211237730,26620,-1283.21,2640,0.989936,0.99001,1.0369e-05,0,0,0,1,0,1,0,0,0,0.0499655,0.897853,0.052181,9.90214e-05,9.90214e-05,0
261146000,30063,4569.07,2640,0.989716,0.99037,9.64797e-06,0,0,0,1,0,0,1,0,0,0.049467,0.900835,0.0496979,0.000143043,0.000143043,0
211237730,26779.3,-1349.51,2700,0.989857,0.98993,9.54741e-06,0,0,0,1,0,1,0,0,0,0.0495982,0.899246,0.0511562,7.70218e-05,7.70218e-05,0
261146000,29947,4488.44,2700,0.989135,0.9898,9.41336e-06,0,0,0,1,1,0,0,0,0,0.0489116,0.900937,0.0501518,7.70221e-05,7.70221e-05,0
211237730,26953.9,-1413.84,2760,0.989816,0.99014,9.29608e-06,0,0,0,1,0,1,0,0,0,0.0482188,0.902282,0.0494991,0.000132022,0.000132022,0
