mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.989918,0.99014,9.53618e-05,0,0,0,0,0,1,0,0,0,0.0492804,0.900326,0.050394,0.43481,0.43481,0
244150372,-35664.5,-4943.49,180,0.989934,0.98956,0.000103447,0,0,0,0,1,0,0,0,0,0.0507319,0.897875,0.0513932,0.433978,0.433978,0
219022165,-35607,-11648.5,240,0.989938,0.98964,0.000101322,0,0,0,0,0,1,0,0,0,0.0504946,0.90012,0.0493851,0.476211,0.476211,0
244150372,-35571.2,-5106.66,240,0.989726,0.99004,0.000102286,0,0,0,0,1,0,0,0,0,0.0487119,0.901623,0.0496656,0.475766,0.475766,0
219022165,-35652.6,-11360.2,300,0.98971,0.9901,8.94226e-05,0,0,0,0,0,1,0,0,0,0.0509304,0.898626,0.0504432,0.571101,0.571101,0
244150372,-35474.8,-5270.98,300,0.990438,0.98974,9.90626e-05,0,0,0,0,1,0,0,0,0,0.0505927,0.899678,0.0497291,0.573702,0.573702,0
219022165,-35708.1,-11077.9,360,0.989751,0.99011,0.000102096,0,0,0,0,0,0,1,0,0,0.0501991,0.900448,0.0493533,0.992549,0.992549,0
244150372,-35442.1,-5456.05,360,0.992896,0.44349,0.00605974,1,0,0,1,0,1,0,0,0,0.050618,0.92085,0.0285319,0.554412,0.554412,0
219022165,-35756.4,-10790.5,420,0.990369,0.9894,9.51926e-05,0,0,0,0,1,0,0,0,0,0.0499321,0.900408,0.0496594,0.809437,0.809437,0
244150372,-35561.6,-5609.04,420,0.990085,0.99046,0.000108467,1,0,0,1,0,1,0,0,0,0.0517858,0.937344,0.0108699,0.80254,0.80254,0
219022165,-35833.8,-10507.1,480,0.969945,0.695544,0.0612148,0,1,0,1,1,0,0,0,0,0.289141,0.66747,0.0433894,0.354085,0.354085,0
244150372,-35728.4,-5680.69,480,0.991041,0.0181855,0.010759,0,1,1,1,0,1,0,0,0,0.0500733,0.948418,0.00150859,0.992482,0.992482,0
219022165,-35958.2,-10242.8,540,0.903231,0.99001,0.0018222,0,1,0,1,1,0,0,0,0,0.908698,0.0870329,0.00426876,0.999017,0.999017,0
244150372,-35855.5,-5810.48,540,0.990123,0.98991,0.000110068,0,1,0,1,0,1,0,0,0,0.0516757,0.948156,0.000168719,0.998989,0.998989,0
219022165,-36116,-9994.7,600,0.990363,0.99032,9.85649e-05,0,0,0,0,1,0,0,0,0,0.0476232,0.901934,0.0504432,0.999858,0.999858,0
244150372,-35990.8,-5941.13,600,0.990229,0.98988,0.000104218,0,0,0,0,0,1,0,0,0,0.0496876,0.897926,0.0523869,0.997127,0.997127,0
219022165,-36269.5,-9754.03,660,0.990605,0.98957,9.75325e-05,0,0,0,0,1,0,0,0,0,0.0478737,0.901065,0.0510609,0.995306,0.995306,0
244150372,-36100.1,-6083.01,660,0.989541,0.98988,0.000106157,0,1,0,1,0,1,0,0,0,0.0527532,0.946307,0.000939393,0.992128,0.992128,0
219022165,-36434.4,-9510.28,720,0.989794,0.99027,9.91944e-05,0,0,0,0,1,0,0,0,0,0.0466622,0.903141,0.0501968,0.996016,0.996016,1
244150372,-36213.6,-6234.63,720,0.990158,0.99071,9.88741e-05,0,0,0,0,0,1,0,0,0,0.0495515,0.897035,0.0534138,0.992391,0.992391,0
219022165,-36602.2,-9265.43,780,0.990056,0.99013,9.78502e-05,0,0,0,0,1,0,0,0,0,0.0452105,0.90346,0.0513293,0.998248,0.998248,0
244150372,-36326.6,-6386.09,780,0.99006,0.98977,0.000106637,0,0,0,0,0,1,0,0,0,0.0494973,0.893156,0.0573466,0.994992,0.994224,0
219022165,-36765.7,-9025.02,840,0.990407,0.99009,0.000104214,0,0,0,0,1,0,0,0,0,0.0432748,0.907287,0.049438,0.99822,0.996248,0
244150372,-36445.8,-6535.2,840,0.990023,0.99011,0.000114692,0,0,0,0,0,1,0,0,0,0.0491943,0.893361,0.0574445,0.996,0.99239,0
219022165,-36920,-8789.9,900,0.989953,0.98998,0.000104076,0,0,0,0,1,0,0,0,0,0.0430109,0.907106,0.0498834,0.998161,0.996107,0
244150372,-36557.5,-6680.86,900,0.989572,0.99044,0.000118,0,0,0,0,0,1,0,0,0,0.0489843,0.892554,0.0584622,0.996116,0.992521,0
219022165,-37084.6,-8550.98,960,0.99065,0.9896,0.000104075,0,0,0,0,1,0,0,0,0,0.0428444,0.907137,0.050019,0.997837,0.987693,0
244150372,-36653.2,-6840.23,960,0.990041,0.98981,0.000110649,0,0,0,1,0,1,0,0,0,0.0500859,0.891019,0.0588947,0.996135,0.988094,0
219022165,-37081.8,-8285.14,1020,0.914318,0.99021,0.00200881,1,0,0,1,1,0,0,0,0,0.917942,0.0781084,0.00394936,0.99608,0.995142,0
244150372,-36756.9,-6997.21,1020,0.938844,0.99005,0.00152528,0,0,0,0,0,1,0,0,0,0.0126348,0.216604,0.770761,0.994281,0.994161,0
219022165,-36958.3,-8022.75,1080,0.915245,0.98998,0.00214449,1,0,0,1,1,0,0,0,0,0.917917,0.0777969,0.00428647,0.995355,0.994054,0
244150372,-36862.8,-7155.04,1080,0.92831,0.9903,0.00186153,0,0,0,0,0,1,0,0,0,0.00614736,0.12092,0.872933,0.996264,0.995528,0
219022165,-36826.7,-7768.89,1140,0.0364911,0.99018,0.0367458,1,0,0,0,1,0,0,0,0,0.0737025,0.877713,0.0485848,0.999489,0.99832,0
244150372,-36964.5,-7312.63,1140,0.924261,0.98985,0.00232516,0,0,0,0,0,1,0,0,0,0.00373312,0.0694145,0.926852,0.995359,0.994866,0
219022165,-36743.7,-7499.54,1200,0.0154185,0.9904,0.0156883,1,0,0,1,1,0,0,0,0,0.0777745,0.873496,0.0487296,0.999429,0.998724,0
244150372,-37062.5,-7470.77,1200,0.926377,0.98991,0.00339854,0,0,0,0,0,1,0,0,0,0.003796,0.0718365,0.924367,0.991387,0.990176,0
219022165,-36721.9,-7213.36,1260,0.0203855,0.98997,0.0206354,1,0,0,1,1,0,0,0,0,0.0769883,0.874744,0.0482677,0.999681,0.998483,0
244150372,-37145.7,-7575.23,1260,0.927511,0.99043,0.00214018,0,0,0,0,0,1,0,0,0,0.0036058,0.0772561,0.919138,0.984601,0.979516,0
219022165,-36739.1,-6925.13,1320,0.0263094,0.9906,0.026558,1,0,0,1,1,0,0,0,0,0.0755575,0.875288,0.0491542,0.999461,0.997771,0
244150372,-37225.5,-7669.94,1320,0.880581,0.99028,0.00452669,0,0,1,0,0,1,0,0,0,0.00580338,0.108293,0.885903,0.99986,0.999746,0
219022165,-36778.6,-6638.45,1380,0.0345165,0.99036,0.034768,1,0,0,0,1,0,0,0,0,0.0739065,0.879534,0.0465596,0.999644,0.998354,0
244150372,-37305.3,-7764.65,1380,0.893572,0.99026,0.0021986,0,0,1,0,0,1,0,0,0,0.00520232,0.16044,0.834358,0.934193,0.934028,0
219022165,-36821.3,-6356.3,1440,0.0311896,0.98999,0.0314481,1,0,0,0,1,0,0,0,0,0.0759075,0.876375,0.0477176,0.999349,0.998025,0
244150372,-37385.1,-7859.37,1440,0.884084,0.99006,0.001592,0,0,1,0,0,1,0,0,0,0.00557648,0.102883,0.891541,0.999881,0.994626,0
219022165,-36866.5,-6071.68,1500,0.0332307,0.99049,0.0334888,1,0,0,0,1,0,0,0,0,0.0747143,0.875824,0.0494614,0.999563,0.996239,0
244150372,-37464.9,-7954.09,1500,0.879947,0.99018,0.00494466,0,0,1,0,0,1,0,0,0,0.00613269,0.109533,0.884334,0.999867,0.999521,0
