mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
231103000,49686.4089600115,-40515.2171760976,1080.0000000000,0.9898031369,0.9899000000,0.0000089557,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0498331703,0.8993265622,0.0508402675,0.9994757293,0.9994757293,1
257687800,53775.2127445611,-48654.8526455055,1080.0000000000,0.9901806004,0.9904800000,0.0000104137,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0493656416,0.9009572441,0.0496771143,0.9991181026,0.9991181026,1
231103000,49669.2458610336,-41019.7661675562,1140.0000000000,0.9899452920,0.9893200000,0.0000101820,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0497776389,0.9000553033,0.0501670578,1.0000000000,1.0000000000,0
257687800,53533.9990032318,-48667.2557762596,1140.0000000000,0.9906159617,0.9898200000,0.0000104193,0.0000000000,0.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0492092970,0.9008701757,0.0499205272,0.9999967568,0.9999967568,0
231103000,49661.0517599527,-41523.8721310962,1200.0000000000,0.9893048900,0.9904600000,0.0000101808,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0501265992,0.8993080981,0.0505653027,1.0000000000,1.0000000000,0
257687800,53297.1022143392,-48723.3970763763,1200.0000000000,0.9899744227,0.9899100000,0.0000097318,0.0000000000,0.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0505810599,0.8999569261,0.0494620140,0.9999998110,0.9999998110,0
231103000,49646.2944737105,-42033.3805741283,1260.0000000000,0.9901096208,0.9901600000,0.0000098811,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0495949175,0.9008670356,0.0495380470,1.0000000000,1.0000000000,0
257687800,53070.9906816758,-48777.9336026381,1260.0000000000,0.9902465639,0.9895800000,0.0000098994,0.0000000000,0.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0484741712,0.9020375509,0.0494882779,0.9999992417,0.9999992417,0
231103000,49640.5148360843,-42543.1538218761,1320.0000000000,0.9903137499,0.9902800000,0.0000101313,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0508608477,0.8978326858,0.0513064666,1.0000000000,1.0000000000,0
257687800,52853.0060129439,-48841.2539713826,1320.0000000000,0.8685058492,0.0168117399,0.0149838625,0.0000000000,1.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8524054669,0.1317150587,0.0158794744,0.9980974101,0.9980974101,0
231103000,49623.7315497480,-43059.4445966618,1380.0000000000,0.9893224575,0.9896300000,0.0000098487,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0502173354,0.8985546269,0.0512280377,1.0000000000,1.0000000000,0
257687800,52627.1185305081,-48914.0879933047,1380.0000000000,0.9271679484,0.0161811257,0.0149752025,0.0000000000,1.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9237977766,0.0754810758,0.0007211477,0.9987013580,0.9987013580,0
231103000,49618.0626849033,-43567.4463692951,1440.0000000000,0.9899851313,0.9903500000,0.0000119203,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0493380261,0.8947334249,0.0559285490,1.0000000000,1.0000000000,0
257687800,52416.7279798066,-48988.0422336278,1440.0000000000,0.8499124220,0.0378226375,0.0352011568,0.0000000000,1.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8143551189,0.1526106214,0.0330342597,0.9971414549,0.9971414549,0
231103000,49627.8765146915,-44079.8408205474,1500.0000000000,0.9891780190,0.9901300000,0.0000108470,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0492582460,0.8977499252,0.0529918288,1.0000000000,0.9999999952,0
257687800,52198.4594733383,-49055.2343605363,1500.0000000000,0.8706428987,0.1289103905,0.1298585358,0.0000000000,1.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7504741765,0.2429197012,0.0066061223,1.0000000000,1.0000000000,0
231103000,49647.7947812164,-44583.5332953234,1560.0000000000,0.9888472476,0.9900300000,0.0000133947,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0484782607,0.8873488746,0.0641728647,1.0000000000,1.0000000000,0
257687800,51984.6539260091,-49122.9706339510,1560.0000000000,0.8972986420,0.0574557488,0.0580496432,0.0000000000,1.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8437863932,0.1536277797,0.0025858271,0.9997477778,0.9997477778,0
231103000,49649.8213490271,-45005.6292977738,1620.0000000000,0.9887685446,0.9897600000,0.0000112985,0.0000000000,0.0000000000,1,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0529727429,0.9466055471,0.0004217100,1.0000000000,0.9837497797,0
257687800,51777.0297963438,-49204.2533291880,1620.0000000000,0.8628353484,0.0338964070,0.0339286257,0.0000000000,1.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8398912037,0.1577719713,0.0023368250,0.9994888634,0.9759630585,0
231103000,49682.1193141737,-45332.7954418525,1680.0000000000,0.9890716068,0.9893300000,0.0000119526,0.0000000000,0.0000000000,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0514814123,0.9480534281,0.0004651595,1.0000000000,0.4364813989,0
257687800,51596.6770762346,-49329.4310264164,1680.0000000000,0.8371641332,0.0393066108,0.0377918781,0.0000000000,1.0000000000,0,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8065631141,0.1824977902,0.0109390956,0.9983075007,0.3516660221,0
231103000,49685.6857007787,-45648.2020051906,1740.0000000000,0.9888347953,0.9898500000,0.0000116330,0.0000000000,0.0000000000,1,1.0000000000,0.0000000000,0.5046513660,0.0000000000,0.0000000000,0.4953486340,0.0530111510,0.9464927984,0.0004960506,1.0000000000,0.3117313419,0
257687800,51464.3306140472,-49508.6704187102,1740.0000000000,0.8025111580,0.0476580068,0.0456142172,0.0000000000,1.0000000000,0,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.7705838300,0.2174175269,0.0119986431,0.9976609007,0.3747717155,0
231103000,49678.3032956149,-45978.0081035925,1800.0000000000,0.9888857320,0.9906500000,0.0000119057,0.0000000000,0.0000000000,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0531070508,0.9463695275,0.0005234218,1.0000000000,0.9296899631,0
