mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
236555000,50273.8,89641.2,120,0.989926,0.98996,1.00335e-05,0,0,0,1,0,1,0,0,0,0.0506347,0.899153,0.0502123,1,1,0
246878000,42469.8,84771.8,120,0.99008,0.98975,1.01624e-05,0,0,0,0,1,0,0,0,0,0.0503691,0.900108,0.049523,1,1,0
236555000,50036.5,89727.6,180,0.990411,0.98966,1.0413e-05,0,0,0,0,0,1,0,0,0,0.0497002,0.89966,0.0506399,1,1,1
246878000,42678.7,85129.5,180,0.989567,0.99033,1.00588e-05,0,0,0,0,1,0,0,0,0,0.0503229,0.89969,0.0499866,1,1,1
236555000,49799.9,89813.1,240,0.990006,0.99028,1.07716e-05,0,0,0,1,0,1,0,0,0,0.048954,0.902114,0.0489325,1,1,0
246878000,42898,85492,240,0.990395,0.98948,9.59799e-06,0,0,0,0,1,0,0,0,0,0.0503222,0.899964,0.0497134,1,1,0
236555000,49559.1,89904.9,300,0.989517,0.99054,9.07832e-06,0,0,0,1,0,1,0,0,0,0.0486346,0.901864,0.0495016,1,1,0
246878000,43103.7,85844.5,300,0.98979,0.98988,9.54027e-06,0,0,0,0,1,0,0,0,0,0.0502366,0.900787,0.0489766,0.999999,0.999999,0
236555000,49322.2,89992.8,360,0.989869,0.99029,1.03366e-05,0,0,0,0,0,1,0,0,0,0.0489414,0.898398,0.0526608,1,1,0
246878000,43312.4,86205.8,360,0.989989,0.99061,1.03308e-05,0,0,0,0,1,0,0,0,0,0.0494445,0.900097,0.0504584,1,1,0
236555000,49080.5,90088.4,420,0.989234,0.99018,1.05237e-05,0,0,0,0,0,1,0,0,0,0.0496135,0.897108,0.0532784,1,1,0
246878000,43526.4,86567.3,420,0.990641,0.98955,1.06032e-05,0,0,0,0,1,0,0,0,0,0.0459303,0.903166,0.0509034,1,1,0
236555000,48852.5,90174.8,480,0.989526,0.98965,9.76529e-06,0,0,0,1,0,1,0,0,0,0.0495076,0.900278,0.0502147,1,1,0
246878000,43741.3,86931.4,480,0.990155,0.98981,9.96666e-06,0,0,0,0,1,0,0,0,0,0.0440358,0.906573,0.0493911,1,1,0
236555000,48616.5,90268,540,0.989366,0.98979,1.00168e-05,0,0,0,1,0,1,0,0,0,0.0495869,0.899943,0.0504706,1,1,0
246878000,43941.3,87292.5,540,0.990249,0.98979,1.03723e-05,0,0,0,0,1,0,0,0,0,0.0396938,0.909786,0.0505203,1,1,0
236555000,48379.7,90363.3,600,0.98827,0.99,1.31824e-05,0,0,0,0,0,1,0,0,0,0.0483291,0.886018,0.0656532,1,1,0
246878000,44158.4,87649.9,600,0.990051,0.99003,9.79629e-06,0,0,0,0,1,0,0,0,0,0.0403531,0.909865,0.0497818,1,1,0
236555000,48148.7,90448.8,660,0.990149,0.99027,1.49284e-05,0,0,0,0,0,1,0,0,0,0.0487055,0.878112,0.0731822,1,1,0
246878000,44358.8,88013.1,660,0.989917,0.99011,1.00541e-05,0,0,0,0,1,0,0,0,0,0.0339675,0.913977,0.0520558,1,1,0
236555000,47908.2,90553.8,720,0.990336,0.9904,9.9497e-06,0,0,0,1,0,1,0,0,0,0.0483526,0.901718,0.0499293,1,1,0
246878000,44563.2,88364.7,720,0.990052,0.99007,1.03687e-05,0,0,0,0,1,0,0,0,0,0.0347195,0.913438,0.0518426,1,1,0
236555000,47709.2,90701.2,780,0.98965,0.99051,1.07741e-05,1,0,0,1,0,1,0,0,0,0.0511309,0.948607,0.000262581,1,0.999984,0
246878000,44779.7,88738.2,780,0.990387,0.99001,1.03275e-05,0,0,0,0,1,0,0,0,0,0.0393595,0.909708,0.0509325,1,0.999977,0
236555000,47589.2,90909.2,840,0.990032,0.99056,1.00632e-05,1,0,0,1,0,1,0,0,0,0.053337,0.946334,0.000328847,1,0.566438,0
246878000,45029.7,89048.8,840,0.793235,0.98971,0.00021295,1,0,0,1,1,0,0,0,0,0.801768,0.187681,0.010551,1,0.566941,0
236555000,47506.9,91133.1,900,0.00101284,0.99038,0.00102351,1,0,0,0,0,1,0,0,0,0.0505972,0.913435,0.0359682,1,0.0352552,0
246878000,45337.6,89280,900,0.796893,0.99005,0.000195766,1,0,0,1,1,0,0,0,0,0.80467,0.184916,0.0104144,1,0.0363052,0
236555000,47440.4,91371,960,0.000955147,0.99005,0.000965233,1,0,0,1,0,1,0,0,0,0.0517388,0.909566,0.0386949,1,0.0164778,0
246878000,45677.6,89471.9,960,0.800534,0.99028,0.000225337,1,0,0,1,1,0,0,0,0,0.808212,0.181863,0.00992513,1,0.014491,0
236555000,47367.6,91625.4,1020,0.00116403,0.98996,0.00117426,1,0,0,0,0,1,0,0,0,0.0514803,0.914387,0.0341331,1,0.0169567,0
246878000,46005.2,89678,1020,0.799902,0.99005,0.00018595,1,0,0,1,1,0,0,0,0,0.807806,0.181981,0.0102132,1,0.00937738,0
236555000,47294.3,91879,1080,0.000891818,0.99042,0.000902511,1,0,0,0,0,1,0,0,0,0.0509077,0.915724,0.0333688,1,0.0170941,0
246878000,46332.7,89889,1080,0.792753,0.99044,0.000242373,1,0,0,1,1,0,0,0,0,0.800772,0.188133,0.0110958,1,0.0179275,0
236555000,47220.4,92133.2,1140,0.00125248,0.98974,0.00126207,1,0,0,0,0,1,0,0,0,0.0514284,0.914991,0.033581,1,0.0159059,0
246878000,46666.7,90098.8,1140,0.799008,0.98958,0.000293943,1,0,0,1,1,0,0,0,0,0.806692,0.183028,0.0102799,1,0.0158109,0
236555000,47125.2,92394.5,1200,0.000992492,0.99029,0.00100111,1,0,0,0,0,1,0,0,0,0.0511435,0.916116,0.0327403,1,0.0180757,0
246878000,47009.4,90314.4,1200,0.795192,0.98949,0.00021489,1,0,0,0,1,0,0,0,0,0.803049,0.186704,0.010247,1,0.0175279,0
236555000,47010.2,92642,1260,0.00106279,0.98945,0.00107418,1,0,0,1,0,1,0,0,0,0.0514487,0.916892,0.0316597,1,0.00726677,0
246878000,47307.1,90554.1,1260,0.798106,0.99005,0.000201293,1,0,0,1,1,0,0,0,0,0.805999,0.183568,0.0104322,1,0.00530212,0
236555000,46872.3,92890.2,1320,0.000911495,0.98962,0.000921675,1,0,0,1,0,1,0,0,0,0.0504455,0.918294,0.0312609,1,0.00743728,0
246878000,47581,90838,1320,0.795456,0.99003,0.000214472,1,0,0,1,1,0,0,0,0,0.803202,0.186512,0.010286,1,0.00575296,0
236555000,46716.6,93117.3,1380,0.000999037,0.98992,0.00100855,1,0,0,1,0,1,0,0,0,0.0497285,0.917806,0.0324657,1,0.00287684,0
246878000,47801.4,91171.2,1380,0.794958,0.98987,0.000211405,1,0,0,1,1,0,0,0,0,0.802934,0.18643,0.0106352,1,0.00210355,0
236555000,46561,93344.4,1440,0.00108706,0.98983,0.00109749,1,0,0,1,0,1,0,0,0,0.0526236,0.907005,0.0403717,1,0.00284099,0
246878000,47989.3,91528.2,1440,0.797875,0.98988,0.00019286,1,0,0,1,1,0,0,0,0,0.805885,0.183985,0.0101294,1,0.00268959,0
236555000,46405.5,93571.5,1500,0.000951719,0.99007,0.000962342,1,0,0,1,0,1,0,0,0,0.0485639,0.911296,0.0401397,1,0.000873849,0
246878000,48185.6,91892.3,1500,0.792431,0.99049,0.000186919,1,0,0,1,1,0,0,0,0,0.800444,0.189025,0.0105305,1,0.000818141,0
236555000,46250,93798.6,1560,0.00109035,0.98985,0.00110007,1,0,0,1,0,1,0,0,0,0.0512598,0.918144,0.0305961,1,0.000395829,0
246878000,48371.2,92251.6,1560,0.793017,0.98996,0.000207967,1,0,0,0,1,0,0,0,0,0.800925,0.188919,0.0101558,1,0.000221536,0
236555000,46094.4,94025.7,1620,0.00095331,0.98998,0.00096306,1,0,0,1,0,1,0,0,0,0.0507641,0.922641,0.0265946,1,0.000500278,0
246878000,48568.8,92611,1620,0.799028,0.98999,0.000200766,1,0,0,0,1,0,0,0,0,0.806725,0.183079,0.0101955,1,0.000472882,0
236555000,45901.7,94205.1,1680,0.00105286,0.98979,0.00106358,1,0,0,1,0,1,0,0,0,0.0500987,0.917986,0.0319151,1,5.7685e-05,0
246878000,48768.2,92979.6,1680,0.791286,0.9896,0.000221913,1,0,0,0,1,0,0,0,0,0.799238,0.190008,0.0107534,1,0.000231901,0
236555000,45703.1,94368.4,1740,0.000971643,0.99005,0.000982871,1,0,0,1,0,1,0,0,0,0.0508564,0.916242,0.0329016,1,0.000115069,0
246878000,48971.1,93343.2,1740,0.795054,0.99042,0.000200356,1,0,0,0,1,0,0,0,0,0.803101,0.186758,0.010141,1,0.000233128,0
236555000,45498.7,94519.8,1800,0.00100066,0.9901,0.00101158,1,0,0,1,0,1,0,0,0,0.0509725,0.917793,0.0312341,1,0.000172693,0
246878000,49176.8,93703.5,1800,0.79451,0.99042,0.000217864,1,0,0,0,1,0,0,0,0,0.80214,0.187679,0.0101812,1,3.11234e-05,0
236555000,45296.3,94645.4,1860,0.000860822,0.99012,0.000869745,1,0,0,1,0,1,0,0,0,0.0507206,0.91964,0.0296395,1,0.000172769,0
246878000,49382.7,94064.9,1860,0.793299,0.98966,0.000213736,1,0,0,0,1,0,0,0,0,0.801349,0.188571,0.0100795,1,1.79565e-05,0
236555000,45072.7,94753.3,1920,0.00109862,0.98991,0.00110885,1,0,0,1,0,1,0,0,0,0.0502293,0.920711,0.0290596,1,0.00028665,0
246878000,49577.2,94421.7,1920,0.797419,0.99062,0.000196872,1,0,0,0,1,0,0,0,0,0.805276,0.18416,0.0105633,1,2.80937e-05,0
236555000,44852.4,94859.4,1980,0.00100318,0.98979,0.00101333,1,0,0,1,0,1,0,0,0,0.0528931,0.918611,0.0284963,1,0.000116543,0
246878000,49781.4,94787.6,1980,0.792252,0.98917,0.000192917,1,0,0,0,1,0,0,0,0,0.799833,0.189716,0.0104508,1,3.72245e-05,0
236555000,44629.8,94946.5,2040,0.00105548,0.99028,0.00106703,1,0,0,1,0,1,0,0,0,0.0507749,0.915484,0.033741,1,0.000231715,0
246878000,49983.3,95144.2,2040,0.801461,0.98959,0.00022523,1,0,0,0,1,0,0,0,0,0.808965,0.18083,0.0102048,1,0.000241589,0
236555000,44408.8,95017,2100,0.00105776,0.98988,0.00106899,1,0,0,0,0,1,0,0,0,0.0526893,0.911458,0.0358529,1,5.55593e-05,0
246878000,50174.1,95499.6,2100,0.793476,0.99025,0.000224047,1,0,0,0,1,0,0,0,0,0.801208,0.188216,0.0105758,1,1.76442e-05,0
236555000,44187.5,95093.6,2160,0.00100246,0.98967,0.00101207,1,0,0,0,0,1,0,0,0,0.052673,0.915297,0.0320299,1,5.45363e-05,0
246878000,50382.3,95869.1,2160,0.792438,0.98969,0.00019048,1,0,0,0,1,0,0,0,0,0.800396,0.18925,0.010354,1,0.000282216,0
236555000,43952.4,95170.6,2220,0.00100159,0.9903,0.00101156,1,0,0,0,0,1,0,0,0,0.0494524,0.914215,0.0363324,1,0.000222189,0
246878000,50578.9,96226.9,2220,0.789806,0.98919,0.000192484,1,0,0,0,1,0,0,0,0,0.797712,0.191763,0.0105251,1,1.76722e-05,0
236555000,43738.7,95251.2,2280,0.00101427,0.98964,0.00102463,1,0,0,0,0,1,0,0,0,0.0505181,0.915364,0.0341178,1,5.48096e-05,0
246878000,50777.4,96581.1,2280,0.796059,0.99017,0.000191025,1,0,0,0,1,0,0,0,0,0.80373,0.185943,0.0103261,1,3.02507e-05,0
236555000,43514,95334.9,2340,0.00104314,0.99027,0.00105366,1,0,0,1,0,1,0,0,0,0.0526079,0.916534,0.0308577,1,0.00016598,0
246878000,50977.5,96951.4,2340,0.79503,0.98955,0.000210386,1,0,0,0,1,0,0,0,0,0.802652,0.186897,0.0104509,1,2.16431e-05,0
236555000,43293.3,95416.6,2400,0.00110985,0.98991,0.00112024,1,0,0,0,0,1,0,0,0,0.0514824,0.91417,0.0343471,1,0.000326423,0
246878000,51171.7,97304,2400,0.793977,0.99015,0.000202436,1,0,0,0,1,0,0,0,0,0.801751,0.187784,0.0104647,1,3.4536e-05,0
