mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219042000,11081.1,1612.84,3720,0.969875,0.99047,0.000968524,0,0,0,0,0,0,0,1,0,0.0500069,0.900477,0.0495157,1,1,0
257188000,12216.7,2110.66,3720,0.9698,0.99038,0.000970654,0,0,0,0,0,0,0,0,1,0.0506564,0.899172,0.0501718,0.999883,0.999883,0
219042000,10894.5,1551.24,3780,0.96982,0.9895,0.000985336,0,0,0,0,0,0,0,1,0,0.050556,0.898574,0.0508699,1,1,0
257188000,11964.1,2023.95,3780,0.969868,0.99013,0.00105231,0,0,0,0,0,0,0,0,1,0.0493845,0.901128,0.0494874,0.999872,0.999872,0
219042000,10705.1,1492.05,3840,0.969913,0.98986,0.00102551,0,0,0,0,0,0,0,1,0,0.0495142,0.901017,0.0494687,0.99888,0.99888,0
257188000,11726.4,1931.17,3840,0.970105,0.98999,0.00102551,0,0,0,0,0,0,0,0,1,0.0500046,0.899792,0.0502034,0.999101,0.999101,0
219042000,10526.9,1436.09,3900,0.968985,0.99002,0.00104068,0,0,0,0,0,0,0,1,0,0.0519313,0.898504,0.0495649,0.988813,0.988813,1
257188000,11507.3,1842.06,3900,0.970166,0.98934,0.00102211,0,0,0,0,0,0,0,0,1,0.0489341,0.900963,0.0501029,0.988954,0.988954,0
219042000,10334.7,1376.89,3960,0.969612,0.99002,0.00102104,0,0,0,0,0,0,0,1,0,0.0498972,0.901125,0.0489782,0.993934,0.992808,0
257188000,11292.6,1736.39,3960,0.970989,0.98993,0.00103186,0,0,0,0,0,0,0,0,1,0.0501384,0.89974,0.0501219,0.993936,0.992759,0
219042000,10148.1,1328.41,4020,0.969149,0.98974,0.00107827,0,0,0,1,0,0,0,1,0,0.0490487,0.900364,0.0505871,0.996102,0.995032,0
257188000,11039.3,1602.49,4020,0.968161,0.98979,0.0013483,0,0,1,0,0,0,0,0,1,0.0520681,0.945775,0.00215684,0.994967,0.993953,0
219042000,9955.91,1280.62,4080,0.969668,0.98964,0.00101323,0,0,0,0,0,0,0,1,0,0.0334359,0.915177,0.0513874,0.998043,0.997373,0
257188000,10744.6,1445.52,4080,0.96781,0.99,0.00155437,0,0,1,0,0,0,0,0,1,0.052428,0.945831,0.00174065,0.996427,0.995794,0
219042000,9769.31,1236.28,4140,0.969559,0.99002,0.000947248,0,0,0,0,0,0,0,1,0,0.0266623,0.921051,0.0522869,0.999173,0.998869,0
257188000,10437.7,1305.83,4140,0.968597,0.99033,0.00161946,0,0,1,1,0,0,0,0,1,0.0519551,0.946659,0.00138629,0.998549,0.998321,0
219042000,9579.93,1190.21,4200,0.970367,0.99046,0.00100105,0,0,0,0,0,0,0,1,0,0.0193892,0.929139,0.0514714,0.999707,0.999525,0
257188000,10108.5,1176.38,4200,0.968651,0.98992,0.00159676,0,0,1,1,0,0,0,0,1,0.051901,0.946735,0.00136378,0.999104,0.998843,0
219042000,9390.54,1141.83,4260,0.969878,0.99045,0.0010878,0,0,0,0,0,0,0,1,0,0.0159154,0.932547,0.0515373,0.999716,0.999535,0
