mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219012521,16588.7,6614.63,3780,0.969024,0.98981,0.000983754,0,0,0,0,0,0,1,0,0,0.0500979,0.900414,0.0494878,0.999701,0.999701,0
219017895,17156.1,11371.7,3780,0.968663,0.99062,0.000958444,0,0,0,0,0,0,1,0,0,0.049201,0.900864,0.0499348,0.999691,0.999691,0
219012521,16588.8,6706.39,3840,0.969499,0.99032,0.000976903,0,0,0,0,0,0,1,0,0,0.0509579,0.899614,0.0494282,0.99959,0.99959,1
219017895,17144.7,11272.2,3840,0.970748,0.99015,0.0010071,0,0,0,0,0,0,1,0,0,0.0509482,0.898573,0.0504787,0.999599,0.999599,0
219012521,16596.4,6800.16,3900,0.969519,0.99022,0.00101218,0,0,0,0,0,0,1,0,0,0.0501305,0.899496,0.0503735,1,1,0
219017895,17129.4,11166.9,3900,0.969843,0.99017,0.000963553,0,0,0,0,0,0,1,0,0,0.0493666,0.901198,0.0494354,0.99988,0.99988,0
219012521,16600.3,6891.2,3960,0.970943,0.9898,0.00104075,0,0,0,0,0,0,1,0,0,0.0498021,0.901757,0.0484414,1,0.999658,0
219017895,17111.1,11064,3960,0.970252,0.99036,0.00100199,0,0,0,0,0,0,1,0,0,0.0500135,0.900569,0.0494174,0.99993,0.999741,0
219012521,16611.6,6978.77,4020,0.969202,0.9908,0.00101546,0,0,0,0,0,0,1,0,0,0.0491931,0.90056,0.0502464,1,0.999538,0
219017895,17088.2,10961.1,4020,0.96942,0.99046,0.000990428,0,0,0,0,0,0,1,0,0,0.0504704,0.898774,0.050756,0.9999,0.999389,0
219012521,16622.5,7076.71,4080,0.970355,0.98999,0.00100839,0,0,0,0,0,0,1,0,0,0.0505283,0.899444,0.0500277,1,0.999367,0
219017895,17069.5,10859.6,4080,0.970499,0.98991,0.000972087,0,0,0,0,0,0,1,0,0,0.0488136,0.900554,0.0506327,0.99997,0.999667,0
219012521,16631.4,7167.8,4140,0.970648,0.99011,0.000957033,0,0,0,0,0,0,1,0,0,0.0506078,0.900007,0.0493848,0.99999,0.999747,0
219017895,17048.6,10758.8,4140,0.96983,0.9897,0.00104568,0,0,0,0,0,0,1,0,0,0.0512558,0.898462,0.0502824,0.99993,0.999568,0
219012521,16634.3,7261.28,4200,0.969142,0.98931,0.000963887,0,0,0,0,0,0,1,0,0,0.0504077,0.899903,0.049689,0.99999,0.999879,0
219017895,17031.7,10651.7,4200,0.9709,0.98972,0.0009939,0,0,0,0,0,0,1,0,0,0.0498433,0.900734,0.0494229,1,1,0
219012521,16634.5,7355.78,4260,0.969007,0.98978,0.00105436,0,0,0,0,0,0,1,0,0,0.0486967,0.901838,0.0494654,1,0.999759,0
219017895,17012.8,10549.5,4260,0.969194,0.99041,0.000935455,0,0,0,0,0,0,1,0,0,0.0503165,0.900028,0.0496554,1,0.999669,0
219012521,16645.8,7451.69,4320,0.970236,0.99001,0.000942306,0,0,0,0,0,0,1,0,0,0.0505629,0.8999,0.0495368,1,0.99971,0
219017895,16981.2,10450.2,4320,0.96952,0.99036,0.00101594,0,0,0,0,0,0,1,0,0,0.0508585,0.898994,0.0501478,1,0.999698,0
219012521,16646,7542.02,4380,0.969768,0.9904,0.000950547,0,0,0,0,0,0,1,0,0,0.0489227,0.901487,0.04959,1,0.999679,0
219017895,16955.8,10347.1,4380,0.969999,0.99025,0.000934239,0,0,0,0,0,0,1,0,0,0.0485166,0.90206,0.0494238,1,1,0
219012521,16654.3,7634.77,4440,0.969381,0.9898,0.00101107,0,0,0,1,0,0,1,0,0,0.0497192,0.900199,0.0500816,1,0.999378,0
219017895,16926.7,10249.7,4440,0.969498,0.98978,0.000977923,0,0,0,0,0,0,1,0,0,0.050707,0.89974,0.0495534,1,0.999442,0
219012521,16668.6,7725.79,4500,0.969767,0.98923,0.000968896,0,0,0,1,0,0,1,0,0,0.05034,0.898876,0.0507844,1,0.998801,0
219017895,16901.6,10148.3,4500,0.968644,0.98943,0.00104165,0,0,0,0,0,0,1,0,0,0.049915,0.895357,0.0547279,1,0.99902,0
219012521,16688.1,7819.3,4560,0.0582984,0.99049,0.0601761,1,0,0,0,0,0,1,0,0,0.0484487,0.901445,0.0501067,1,0.999156,0
219017895,16874.2,10041.2,4560,0.965136,0.99,0.00125632,0,0,0,0,0,0,1,0,0,0.0486683,0.885204,0.0661279,1,0.998964,0
