mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219002051,2210.77,19788.6,5160,0.9487,0.99001,0.000244252,0,0,0,0,1,0,0,0,0,0.0501296,0.89992,0.0499508,0.995457,0.995457,1
246900000,4180.28,10781.7,5160,0.949592,0.99025,0.000149417,0,0,0,0,0,1,0,0,0,0.0500612,0.898931,0.0510074,0.999141,0.999141,0
219002051,2374.32,19663.2,5220,0.949811,0.99075,0.000192086,0,0,0,0,1,0,0,0,0,0.0503718,0.899519,0.0501088,0.996499,0.995415,0
246900000,4304.09,11056.8,5220,0.95072,0.9906,0.000158503,0,0,0,0,0,1,0,0,0,0.0505827,0.900687,0.04873,0.999341,0.99904,0
219002051,2537.77,19537.8,5280,0.949489,0.98988,0.00017755,0,0,0,0,1,0,0,0,0,0.0508818,0.899896,0.049222,0.996924,0.995271,0
246900000,4427.03,11334.9,5280,0.947905,0.99012,0.000160136,0,0,0,0,0,1,0,0,0,0.0494271,0.901172,0.0494006,0.99941,0.99926,0
219002051,2701.22,19412.5,5340,0.950122,0.98964,0.000171577,0,0,0,0,1,0,0,0,0,0.0505435,0.898179,0.0512777,0.997331,0.995541,0
246900000,4549.99,11613,5340,0.949861,0.99015,0.000190272,0,0,0,0,0,1,0,0,0,0.0498732,0.900229,0.049898,0.99945,0.99884,0
219002051,2864.78,19287.1,5400,0.950863,0.9898,0.0001517,0,0,0,0,1,0,0,0,0,0.0500803,0.900086,0.0498341,0.997332,0.99271,0
246900000,4672.97,11891.1,5400,0.950323,0.99038,0.000216852,0,0,0,0,0,1,0,0,0,0.0496818,0.899986,0.0503327,0.99934,0.9977,0
219002051,3028.24,19161.8,5460,0.95001,0.98969,0.000223085,0,0,0,0,1,0,0,0,0,0.0497745,0.900032,0.050193,0.997651,0.992801,0
246900000,4795.97,12169.1,5460,0.949862,0.98985,0.00013704,0,0,0,0,0,1,0,0,0,0.0494564,0.900655,0.0498885,0.99955,0.997489,0
219002051,3191.81,19036.5,5520,0.950232,0.99043,0.000164959,0,0,0,0,1,0,0,0,0,0.0507351,0.898021,0.0512435,0.997701,0.992532,0
246900000,4918.99,12447.2,5520,0.949875,0.99018,0.000179477,0,0,0,0,0,1,0,0,0,0.0505759,0.899724,0.0497004,0.99954,0.997128,0
219002051,3355.27,18911.2,5580,0.950352,0.99068,0.000190601,0,0,0,0,1,0,0,0,0,0.0485936,0.901669,0.0497375,0.997515,0.988971,0
246900000,5042.03,12725.3,5580,0.950327,0.98998,0.000174895,0,0,0,0,0,1,0,0,0,0.0496315,0.898717,0.0516519,0.99937,0.994894,0
219002051,3518.74,18785.9,5640,0.950506,0.98937,0.000191281,0,0,0,0,1,0,0,0,0,0.049341,0.8999,0.050759,0.997452,0.988571,0
246900000,5165.09,13003.3,5640,0.949083,0.98969,0.000203566,0,0,0,0,0,1,0,0,0,0.0497967,0.900133,0.0500704,0.999449,0.993171,0
219002051,3682.33,18660.6,5700,0.95072,0.99029,0.000195429,0,0,0,0,1,0,0,0,0,0.0498459,0.899213,0.0509406,0.997611,0.988993,0
246900000,5288.28,13281.3,5700,0.950382,0.99015,0.000164656,0,0,0,0,0,1,0,0,0,0.0495505,0.901432,0.0490176,0.999449,0.992163,0
219002051,3845.8,18535.3,5760,0.949926,0.9904,0.000249484,0,0,0,0,1,0,0,0,0,0.0486794,0.900238,0.051083,0.997612,0.983069,0
246900000,5411.37,13559.2,5760,0.949144,0.98928,0.000185021,0,0,0,0,0,1,0,0,0,0.0508929,0.897366,0.0517413,0.999387,0.982322,0
219002051,4009.4,18410,5820,0.950076,0.98986,0.000202823,0,0,0,0,1,0,0,0,0,0.0504468,0.899505,0.0500486,0.997367,0.982951,0
246900000,5534.49,13837.2,5820,0.947434,0.99003,0.000244093,0,0,0,0,0,1,0,0,0,0.0504967,0.895474,0.0540293,0.999383,0.983025,0
219002051,4172.88,18284.8,5880,0.948788,0.99018,0.000151195,0,0,0,0,1,0,0,0,0,0.0505961,0.900173,0.0492309,0.99758,0.983801,0
246900000,5657.96,14117.7,5880,0.943283,0.98963,0.000192775,0,0,0,0,0,1,0,0,0,0.051107,0.892425,0.0564677,0.999244,0.982801,0
219002051,4336.37,18159.5,5940,0.949163,0.99052,0.00020665,0,0,0,0,1,0,0,0,0,0.0495544,0.902023,0.0484226,0.99737,0.982798,0
246900000,5781.46,14398.2,5940,0.936046,0.99067,0.000250844,0,0,0,0,0,1,0,0,0,0.0482892,0.88891,0.0628009,0.99938,0.982375,0
219002051,4499.97,18034.3,6000,0.949629,0.9906,0.000250912,0,0,0,0,1,0,0,0,0,0.0455272,0.904887,0.0495857,0.99859,0.998129,0
246900000,5873.35,14679.5,6000,0.932219,0.99035,0.000307025,0,0,0,0,0,1,0,0,0,0.0498982,0.87573,0.0743722,0.99983,0.99983,0
219002051,4663.47,17909.1,6060,0.950429,0.99041,0.000170689,0,0,0,0,1,0,0,0,0,0.0251181,0.922988,0.0518944,0.999919,0.999879,0
246900000,5964.81,14960.9,6060,0.650128,0.678188,0.683783,0,1,0,0,0,1,0,0,0,0.0417629,0.923011,0.0352259,1,1,0
219002051,4826.97,17783.8,6120,0.95,0.98974,0.00021226,0,0,0,0,1,0,0,0,0,0.0237491,0.925378,0.0508725,1,1,0
246900000,6029.89,15239.1,6120,0.671442,0.699492,0.706649,0,1,0,0,0,1,0,0,0,0.0484802,0.901489,0.0500306,1,0.999201,0
219002051,4990.58,17658.6,6180,0.9497,0.99036,0.000219783,0,0,0,0,1,0,0,0,0,0.0222276,0.926835,0.0509374,1,0.99994,0
