mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
257029700,6350.85,2140.6,3720,0.970258,0.98978,0.00094521,0,0,0,0,0,0,0,1,0,0.0503127,0.900109,0.0495778,0.964683,0.964683,0
257060530,3410.52,93.7738,3720,0.970358,0.99017,0.00100582,0,0,0,0,0,0,0,0,1,0.0492807,0.899953,0.0507663,0.96466,0.96466,0
257029700,6568.86,2480.12,3780,0.969728,0.99038,0.00104595,0,0,0,0,0,0,0,1,0,0.0492263,0.900331,0.0504427,0.931642,0.931642,1
257060530,4123.57,568.159,3780,0.970711,0.98983,0.00101452,0,0,0,0,0,0,0,0,1,0.0491855,0.899518,0.0512961,0.930653,0.930653,0
257029700,6830.33,2779.72,3840,0.921815,0.81475,0.236334,1,0,0,1,0,0,0,1,0,0.169103,0.777496,0.0534008,0.41047,0.41047,0
257060530,4827.55,1043.04,3840,0.969709,0.98974,0.00119357,0,0,0,0,0,0,0,0,1,0.0474451,0.888852,0.0637034,0.996915,0.996395,0
257029700,7099.87,2988.92,3900,0.911169,0.77968,0.255237,1,0,0,1,0,0,0,1,0,0.184616,0.789231,0.0261531,0.46656,0.46103,0
257060530,5564.68,1531.9,3900,0.970402,0.99035,0.00136377,0,0,0,1,0,0,0,0,1,0.047292,0.888153,0.0645547,0.997127,0.991728,0
257029700,7393.28,3205.02,3960,0.910622,0.838454,0.276314,1,0,0,0,0,0,0,1,0,0.123726,0.835089,0.0411853,0.42966,0.42894,0
257060530,6296.49,1953.84,3960,0.969417,0.98955,0.00126361,0,0,0,0,0,0,0,0,1,0.0492629,0.885296,0.0654408,0.997451,0.995019,0
257029700,7678.78,3416.33,4020,0.93558,0.802836,0.30968,1,0,0,0,0,0,0,1,0,0.180506,0.778741,0.0407532,0.4961,0.495703,0
257060530,6987.63,2450.45,4020,0.970516,0.9902,0.00140793,0,0,0,0,0,0,0,0,1,0.0488877,0.88038,0.0707321,0.997549,0.996549,0
257029700,7960.74,3636.65,4080,0.900092,0.80974,0.417067,1,0,0,0,0,0,0,1,0,0.15222,0.810912,0.0368673,0.602717,0.602561,0
257060530,7666.01,2941.88,4080,0.970299,0.98988,0.00166934,0,0,0,0,0,0,0,0,1,0.0504029,0.867903,0.081694,0.998031,0.997454,0
257029700,8248.6,3835.3,4140,0.899168,0.826721,0.392882,1,0,0,1,0,0,0,1,0,0.124143,0.8537,0.0221567,0.561731,0.56138,0
257060530,8334.89,3436.85,4140,0.970286,0.98989,0.00166648,0,0,0,0,0,0,0,0,1,0.0500105,0.867593,0.0823966,0.998286,0.997492,0
257029700,8554.63,4034.69,4200,0.909533,0.873505,0.369274,1,0,0,0,0,0,0,1,0,0.143364,0.838205,0.0184305,0.52063,0.52036,0
257060530,9003.83,3935.07,4200,0.969804,0.98991,0.00167806,0,0,0,0,0,0,0,0,1,0.0481598,0.864994,0.0868458,0.998585,0.997832,0
257029700,8839.49,4229.02,4260,0.946836,0.850919,0.323266,1,0,0,0,0,0,0,1,0,0.174365,0.768265,0.0573695,0.468677,0.468401,0
257060530,9699.35,4425.72,4260,0.970374,0.99062,0.00176229,0,0,0,0,0,0,0,0,1,0.0475569,0.865938,0.0865054,0.998334,0.997609,0
257029700,9131.37,4412.01,4320,0.848526,0.880046,0.518605,1,0,0,0,0,0,0,1,0,0.136899,0.837051,0.0260496,0.632933,0.631935,0
257060530,10375.3,4923.4,4320,0.970027,0.99,0.00173576,0,0,0,0,0,0,0,0,1,0.0474368,0.867312,0.0852513,0.998396,0.99692,0
257029700,9422.37,4599.42,4380,0.896254,0.84542,0.392577,1,0,0,0,0,0,0,1,0,0.111527,0.86911,0.0193623,0.54295,0.542152,0
257060530,11044.5,5423.26,4380,0.970367,0.9905,0.0017163,0,0,0,0,0,0,0,0,1,0.0493693,0.863626,0.0870052,0.998327,0.996414,0
257029700,9708.7,4785.68,4440,0.94647,0.676521,0.27568,1,0,0,0,0,0,0,1,0,0.298139,0.688029,0.0138327,0.596321,0.595266,0
257060530,11694.3,5924.66,4440,0.970017,0.99007,0.00167126,0,0,0,0,0,0,0,0,1,0.0499538,0.862711,0.0873355,0.998498,0.994656,0
257029700,9995.61,4976.4,4500,0.862935,0.602651,0.405575,1,0,0,0,0,0,0,1,0,0.306827,0.672999,0.0201744,0.79843,0.795806,0
257060530,12308.9,6449.41,4500,0.969659,0.98984,0.00192494,0,0,0,0,0,0,0,0,1,0.0460364,0.867153,0.0868106,0.99823,0.992382,0
257029700,10277.4,5161.54,4560,0.828544,0.879335,0.512785,1,0,0,0,0,0,0,1,0,0.0564707,0.918155,0.0253743,0.627905,0.624574,0
257060530,12958.2,7007.46,4560,0.970305,0.99,0.00197225,0,0,0,0,0,0,0,0,1,0.047883,0.865202,0.0869147,0.998545,0.991384,0
257029700,10583.6,5347.74,4620,0.900594,0.919549,0.928381,1,0,0,0,0,0,0,1,0,0.0478546,0.906015,0.0461308,0.999215,0.823603,0
257060530,13574,7571.74,4620,0.970484,0.990262,0.00168052,0,1,0,1,0,0,0,0,1,0.0479199,0.866596,0.0854845,0.998171,0.810879,0
