mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
235068085,-1594.65,-1102.4,660,0.989926,0.99034,0.000102433,0,0,0,0,0,0,0,0,1,0.0495697,0.900378,0.050052,0.277715,0.277715,0
311816000,1823.7,3720.93,660,0.990052,0.99025,0.000101246,0,0,0,0,0,0,0,1,0,0.0503526,0.89989,0.0497571,0.278882,0.278882,0
235068085,-1114.51,-732.609,720,0.989685,0.99029,0.000109627,0,0,0,0,0,0,0,0,1,0.0499614,0.900283,0.0497558,0.277705,0.277705,0
311816000,1971.85,3991.36,720,0.989952,0.99015,0.000101964,0,0,0,0,0,0,0,1,0,0.0498344,0.900277,0.0498882,0.278103,0.278103,0
235068085,-649.598,-364.584,780,0.989879,0.99003,9.50079e-05,0,0,0,0,0,0,0,0,1,0.0499106,0.900127,0.0499623,0.279027,0.279027,0
311816000,2127.14,4254.81,780,0.990061,0.98994,9.84263e-05,0,0,0,0,0,0,0,1,0,0.0512588,0.898841,0.0499004,0.277594,0.277594,0
235068085,-170.283,14.7495,840,0.990075,0.98992,9.91593e-05,0,0,0,0,0,0,0,0,1,0.0504749,0.898625,0.0509003,0.274825,0.274825,0
311816000,2281.9,4521.78,840,0.989854,0.98968,8.99594e-05,0,0,0,0,0,0,0,1,0,0.0505221,0.898803,0.0506746,0.276983,0.276983,0
235068085,246.592,418.999,900,0.990156,0.9901,0.000104025,0,0,0,1,0,0,0,0,1,0.0508611,0.898679,0.0504604,0.36177,0.36177,0
311816000,2435.89,4782.25,900,0.990286,0.98974,9.16562e-05,0,0,0,0,0,0,0,1,0,0.0494042,0.902034,0.0485622,0.36221,0.36221,0
235068085,553.94,914.307,960,0.989587,0.99009,0.000102851,0,0,0,1,0,0,0,0,1,0.0483569,0.901125,0.0505176,0.99581,0.99581,0
311816000,2579.41,5033.2,960,0.989977,0.99004,9.83489e-05,0,0,0,0,0,0,0,1,0,0.0492162,0.900307,0.0504773,0.995516,0.995516,0
235068085,810.8,1446.78,1020,0.989846,0.98992,0.000103354,0,0,0,1,0,0,0,0,1,0.0503222,0.8983,0.0513777,0.99522,0.99522,0
311816000,2734.76,5290.46,1020,0.989485,0.98982,0.000101057,0,0,0,0,0,0,0,1,0,0.0499853,0.89883,0.0511846,0.995666,0.995666,0
235068085,1061.73,2007.78,1080,0.990004,0.98982,9.88396e-05,0,0,0,0,0,0,0,0,1,0.0497209,0.899341,0.0509379,0.988565,0.988565,1
311816000,2891.57,5541.53,1080,0.989633,0.99015,9.87491e-05,0,0,0,0,0,0,0,1,0,0.049002,0.899881,0.051117,0.988033,0.988033,1
235068085,1307.96,2594.13,1140,0.989904,0.99002,9.61667e-05,0,0,0,0,0,0,0,0,1,0.0510514,0.899811,0.0491372,0.991813,0.98943,0
311816000,3042.27,5792.23,1140,0.989552,0.98985,9.77164e-05,0,0,0,0,0,0,0,1,0,0.0501202,0.900469,0.0494112,0.991262,0.988574,0
