mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,17093.4,7210.34,120,0.98015,0.98965,8.53745e-06,0,1,0,0,0,0.0522401,0.89768,0.0500801
257787000,19641,1040.62,120,0.98001,0.99016,9.26873e-06,1,0,0,0,0,0.05048,0.89909,0.05043
248375000,16873.1,7070.44,180,0.98088,0.99008,0,0,1,0,0,0,0.05014,0.90086,0.049
257787000,19278.8,1120.87,180,0.98048,0.98983,2.78062e-05,1,0,0,0,0,0.0505901,0.89912,0.0502901
248375000,16649.9,6927.25,240,0.97979,0.98999,0,0,1,0,0,0,0.05139,0.89934,0.04927
257787000,18919.3,1207.29,240,0.98,0.98997,1.85375e-05,1,0,0,0,0,0.0505193,0.898801,0.0506801
248375000,16423.6,6782.51,300,0.98,0.98945,8.53745e-06,0,1,0,0,0,0.0498501,0.90099,0.0491601
257787000,18567.3,1281.11,300,0.97918,0.9897,0,1,0,0,0,0,0.05058,0.89892,0.0505
248375000,16203.4,6639.82,360,0.97981,0.98973,0,0,1,0,0,0,0.05032,0.90017,0.04951
257787000,18193.3,1364.6,360,0.97962,0.9904,9.26873e-06,1,0,0,0,0,0.04984,0.9009,0.04926
248375000,15969,6496.09,420,0.97987,0.98969,0,0,1,0,0,0,0.05058,0.90032,0.0491
257787000,17839.1,1441.44,420,0.98005,0.98982,0,1,0,0,0,0,0.05063,0.8998,0.04957
248375000,15749.8,6353.91,480,0.979841,0.99005,8.53748e-06,0,1,0,0,0,0.0499887,0.900263,0.0497481
257787000,17468.8,1527.45,480,0.98016,0.99034,9.26871e-06,1,0,0,0,0,0.0487919,0.900138,0.0510699
248375000,15525.9,6209.97,540,0.979593,0.99011,1.70741e-05,0,1,0,0,0,0.0494002,0.900483,0.0501167
257787000,17101.1,1604.88,540,0.98042,0.98958,9.26871e-06,1,0,0,0,0,0.049402,0.902278,0.0483199
248375000,15288.2,6060.77,600,0.980692,0.99002,2.56126e-05,0,1,0,0,0,0.0507089,0.900914,0.0483773
257787000,16731.4,1686.65,600,0.97973,0.9901,1.85374e-05,1,0,0,0,0,0.050303,0.899037,0.0506599
248375000,15057.8,5915.71,660,0.979583,0.99025,8.53665e-06,0,1,0,0,0,0.0502004,0.899606,0.0501939
257787000,16354.2,1765.51,660,0.98028,0.98965,9.26868e-06,1,0,0,0,0,0.0501549,0.898695,0.0511498
248375000,14830.6,5769.62,720,0.980333,0.99013,8.53761e-06,0,1,0,0,0,0.0482208,0.902384,0.0493947
