mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
258465000,7906.6772068054,18375.2859193379,120.0000000000,0.9898407239,0.9900600000,0.0000097513,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0494349737,0.8994146053,0.0511504210,0.9999999986,0.9999999986,1
259883000,4504.4528612963,9728.2039529836,120.0000000000,0.9899987878,0.9902400000,0.0000108624,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0504648071,0.8983105110,0.0512246819,0.9999999986,0.9999999986,1
258465000,7768.5214486094,17987.4637401597,180.0000000000,0.9897522634,0.9900300000,0.0000108717,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0507925140,0.8944480834,0.0547594026,1.0000000000,1.0000000000,0
259883000,4620.7054446521,9984.7593723090,180.0000000000,0.9896001929,0.9902000000,0.0000112192,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0501422113,0.8960615831,0.0537962056,0.9999999924,0.9999999924,0
258465000,7631.4959446762,17593.9406214066,240.0000000000,0.9899201615,0.9903800000,0.0000114934,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0503457181,0.8944331493,0.0552211326,0.9999999984,0.9999999984,0
259883000,4742.0800390629,10233.1844849151,240.0000000000,0.9900363855,0.9898900000,0.0000117734,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0510129477,0.8926577411,0.0563293112,0.9999999969,0.9999999969,0
258465000,7485.6247564022,17204.8805857592,300.0000000000,0.9891113141,0.9899700000,0.0000126496,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0491968683,0.8916113482,0.0591917835,0.9999999665,0.9999999665,0
259883000,4856.3726807066,10491.7335017826,300.0000000000,0.9898263673,0.9896800000,0.0000101006,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0508247144,0.8981559124,0.0510193732,0.9999999571,0.9999999571,0
258465000,7348.7008342771,16812.6049616435,360.0000000000,0.9899610416,0.9897300000,0.0000138692,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0479768358,0.8841915831,0.0678315811,0.9999999942,0.9999999942,0
259883000,4966.6525353672,10744.0037879845,360.0000000000,0.9899051736,0.9904600000,0.0000159217,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0482798821,0.8759372028,0.0757829151,0.9999999936,0.9999999936,0
258465000,7205.7010520899,16421.7430709770,420.0000000000,0.9900420361,0.9897400000,0.0000157328,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0484264046,0.8736303436,0.0779432518,0.9999999912,0.9999999912,0
259883000,5079.9874305307,11003.9370569163,420.0000000000,0.9893292851,0.9904600000,0.0000179794,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0487930245,0.8592571662,0.0919498094,0.9999999979,0.9999999979,0
258465000,7043.1027053933,16047.7817276629,480.0000000000,0.9898897647,0.9900400000,0.0000110066,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0498848271,0.9004899606,0.0496252123,0.9999863800,0.9999863800,0
259883000,5193.2188597582,11260.1594021570,480.0000000000,0.9792418639,0.9900400000,0.0000254729,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0453249652,0.8301907477,0.1244842871,0.9999788818,0.9999788818,0
