mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.98057,0.99,1e-05,1,0,0,0,0,0.04953,0.90018,0.05029,0.9961,0.9961
244150372,-35855.5,-5810.48,540,0.98003,0.98992,1e-05,0,1,0,0,0,0.05123,0.89806,0.05071,0.95123,0.95123
219022165,-36116,-9994.7,600,0.98053,0.99032,0,1,0,0,0,0,0.04982,0.90041,0.04977,0.9962,0.99174
244150372,-35990.8,-5941.13,600,0.98059,0.99013,0,0,1,0,0,0,0.04988,0.90074,0.04938,0.95084,0.93971
219022165,-36269.5,-9754.03,660,0.98037,0.98943,2e-05,1,0,0,0,0,0.05149,0.89906,0.04945,0.99555,0.95733
244150372,-36100.1,-6083.01,660,0.9804,0.99073,2e-05,0,1,0,0,0,0.05021,0.90047,0.04932,0.95041,0.911
219022165,-36434.4,-9510.28,720,0.97945,0.9907,1e-05,1,0,0,0,0,0.04961,0.90049,0.0499,0.99599,0.96496
244150372,-36213.6,-6234.63,720,0.98049,0.98972,0,0,1,0,0,0,0.05028,0.89952,0.0502,0.95013,0.91199
219022165,-36602.2,-9265.43,780,0.98019,0.99069,0,1,0,0,0,0,0.05123,0.89902,0.04975,0.99601,0.97529
244150372,-36326.6,-6386.09,780,0.98026,0.98987,0,0,1,0,0,0,0.05002,0.90055,0.04943,0.95081,0.92606
219022165,-36765.7,-9025.02,840,0.97984,0.98937,1e-05,1,0,0,0,0,0.04984,0.90004,0.05012,0.99568,0.96386
244150372,-36445.8,-6535.2,840,0.97972,0.9903,1e-05,0,1,0,0,0,0.05003,0.90052,0.04945,0.95071,0.91238
219022165,-36920,-8789.9,900,0.98018,0.98999,1e-05,1,0,0,0,0,0.04982,0.90016,0.05002,0.99605,0.96409
244150372,-36557.5,-6680.86,900,0.9803,0.98976,0,0,1,0,0,0,0.04967,0.9,0.05033,0.95045,0.91185
219022165,-37084.6,-8550.98,960,0.97991,0.98951,1e-05,1,0,0,0,0,0.05018,0.89881,0.05101,0.99586,0.95338
244150372,-36653.2,-6840.23,960,0.98054,0.98974,1e-05,0,1,0,0,0,0.04878,0.90225,0.04897,0.94997,0.90953
219022165,-37081.8,-8285.14,1020,0.97988,0.9899,0,1,0,0,0,0,0.0506,0.89894,0.05046,0.99705,0.96043
244150372,-36756.9,-6997.21,1020,0.97954,0.99039,0,0,1,0,0,0,0.05019,0.89919,0.05062,0.96094,0.96071
219022165,-36958.3,-8022.75,1080,0.98029,0.99008,3e-05,1,0,0,0,0,0.05023,0.89934,0.05043,0.99662,0.95036
244150372,-36862.8,-7155.04,1080,0.98007,0.99018,1e-05,0,1,0,0,0,0.04928,0.89981,0.05091,0.95997,0.95056
219022165,-36826.7,-7768.89,1140,0.98021,0.98994,0,1,0,0,0,0,0.04959,0.90035,0.05006,0.99702,0.95025
244150372,-36964.5,-7312.63,1140,0.9793,0.99003,1e-05,0,1,0,0,0,0.04916,0.90152,0.04932,0.96106,0.9516
219022165,-36743.7,-7499.54,1200,0.9801,0.98997,1e-05,1,0,0,0,0,0.05052,0.89906,0.05042,0.99644,0.95029
244150372,-37062.5,-7470.77,1200,0.98008,0.99001,2e-05,0,1,0,0,0,0.04914,0.89955,0.05131,0.95958,0.95016
219022165,-36721.9,-7213.36,1260,0.97964,0.99014,1e-05,1,0,0,0,0,0.0501,0.90034,0.04956,0.99693,0.95124
244150372,-37145.7,-7575.23,1260,0.98,0.99019,0,0,1,0,0,0,0.04889,0.90072,0.05039,0.96016,0.95067
219022165,-36739.1,-6925.13,1320,0.98003,0.98997,2e-05,1,0,0,0,0,0.05029,0.89962,0.05009,0.99638,0.94986
244150372,-37225.5,-7669.94,1320,0.97931,0.98979,1e-05,0,1,0,0,0,0.04906,0.90119,0.04975,0.95927,0.95002
219022165,-36778.6,-6638.45,1380,0.9803,0.99003,0,1,0,0,0,0,0.05133,0.89949,0.04918,0.99689,0.95133
244150372,-37305.3,-7764.65,1380,0.98082,0.98972,0,0,1,0,0,0,0.0492,0.90211,0.04869,0.96013,0.95081
219022165,-36821.3,-6356.3,1440,0.98014,0.99036,2e-05,1,0,0,0,0,0.04939,0.89996,0.05065,0.99659,0.9496
244150372,-37385.1,-7859.37,1440,0.97982,0.98962,3e-05,0,1,0,0,0,0.05032,0.90094,0.04874,0.96082,0.95124
219022165,-36866.5,-6071.68,1500,0.97951,0.98959,0,1,0,0,0,0,0.05014,0.9011,0.04876,0.9967,0.94077
244150372,-37464.9,-7954.09,1500,0.98021,0.98954,1e-05,0,1,0,0,0,0.05016,0.89842,0.05142,0.95995,0.93932
