mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
219022165,-35550,-11937.9,180,0.980368,0.989529,0,0,1,0,0,0,0.0490017,0.901104,0.0498943,0.122844
244150372,-35664.5,-4943.49,180,0.980255,0.99016,9.38105e-06,1,0,0,0,0,0.0509497,0.89961,0.0494406,0.12488
219022165,-35607,-11648.5,240,0.97962,0.990378,0,0,1,0,0,0,0.0497811,0.899334,0.0508845,0.147083
244150372,-35571.2,-5106.66,240,0.980582,0.989961,8.70365e-06,1,0,0,0,0,0.0490281,0.902143,0.0488288,0.146629
219022165,-35652.6,-11360.2,300,0.980486,0.989519,1.89728e-05,0,1,0,0,0,0.0488016,0.900569,0.0506297,0.20064
244150372,-35474.8,-5270.98,300,0.980614,0.990456,0,1,0,0,0,0,0.050634,0.899374,0.0499917,0.200142
219022165,-35708.1,-11077.9,360,0.979837,0.989926,5.52698e-06,0,0,1,0,0,0.0493033,0.899361,0.0513357,0.764546
244150372,-35442.1,-5456.05,360,0.97904,0.960612,2.07088e-05,0,1,0,0,0,0.0507162,0.90246,0.046824,0.0291337
219022165,-35756.4,-10790.5,420,0.980404,0.98973,5.1236e-06,1,0,0,0,0,0.0498934,0.899931,0.0501758,0.375284
244150372,-35561.6,-5609.04,420,0.979406,0.989376,2.40036e-05,0,1,0,0,0,0.0484167,0.898688,0.052895,0.000304473
219022165,-35833.8,-10507.1,480,0.978817,0.987243,0.000101767,1,0,0,0,0,0.0513291,0.899617,0.0490541,0.00322091
244150372,-35728.4,-5680.69,480,0.970789,0.984556,4.74978e-05,0,1,0,0,0,0.0543667,0.882819,0.0628141,0.010117
219022165,-35958.2,-10242.8,540,0.978509,0.985637,7.18944e-05,1,0,0,0,0,0.0588124,0.894751,0.0464369,0.00627792
244150372,-35855.5,-5810.48,540,0.979508,0.990575,7.14936e-05,0,1,0,0,0,0.0522154,0.881621,0.0661638,0.00109849
219022165,-36116,-9994.7,600,0.979065,0.987224,5.21931e-05,1,0,0,0,0,0.0536991,0.891965,0.0543359,0.00399392
244150372,-35990.8,-5941.13,600,0.97804,0.991604,7.42032e-05,0,1,0,0,0,0.0470338,0.898675,0.0542915,0.00104524
219022165,-36269.5,-9754.03,660,0.977255,0.979336,0.000264103,1,0,0,0,0,0.0528381,0.903052,0.0441094,0.00963261
244150372,-36100.1,-6083.01,660,0.977891,0.990346,8.8263e-05,0,1,0,0,0,0.0495501,0.911064,0.0393859,0.000972056
219022165,-36434.4,-9510.28,720,0.979602,0.998787,1.6648e-06,1,0,0,0,0,0.0450261,0.954016,0.000958309,0.000874591
244150372,-36213.6,-6234.63,720,0.977513,0.987682,9.26641e-05,0,1,0,0,0,0.0330149,0.905761,0.0612244,0.00100222
219022165,-36602.2,-9265.43,780,0.992331,0.99958,5.89454e-07,1,0,0,0,0,0.000386311,0.999224,0.000389398,0.000312642
244150372,-36326.6,-6386.09,780,0.980523,0.989908,7.31978e-05,0,1,0,0,0,0.0664413,0.893965,0.0395939,0.00089544
219022165,-36765.7,-9025.02,840,0,0.94499,7.67785e-05,1,0,0,0,0,0.0485253,0.900587,0.0508876,0.0399274
244150372,-36445.8,-6535.2,840,0.980008,0.992464,8.29066e-05,0,1,0,0,0,0.0625805,0.859289,0.0781303,0.000891611
219022165,-36920,-8789.9,900,0,0.946101,7.75466e-05,1,0,0,0,0,0.0497924,0.902898,0.0473092,0.0386011
244150372,-36557.5,-6680.86,900,0.976855,0.988859,9.42002e-05,0,1,0,0,0,0.0309118,0.957961,0.0111268,0.00110913
219022165,-37084.6,-8550.98,960,0,0.952668,7.9331e-05,1,0,0,0,0,0.0494859,0.897053,0.0534609,0.0331439
244150372,-36653.2,-6840.23,960,0.975274,0.984652,9.60004e-05,0,1,0,0,0,0.0645505,0.902191,0.0332583,0.00106749
219022165,-37081.8,-8285.14,1020,0,0.938742,8.16558e-05,1,0,0,0,0,0.0497045,0.908866,0.0414299,0.149727
244150372,-36756.9,-6997.21,1020,0.00380565,0.943908,0.00389022,0,1,0,0,0,0.054918,0.906383,0.0386994,0.118444
219022165,-36958.3,-8022.75,1080,0,0.960369,7.96918e-05,1,0,0,0,0,0.0493909,0.905582,0.0450273,0.035001
244150372,-36862.8,-7155.04,1080,0.00804878,0.944109,0.00813376,0,1,0,0,0,0.0518793,0.900407,0.0477137,0.0538826
219022165,-36826.7,-7768.89,1140,0,0.966545,8.21774e-05,1,0,0,0,0,0.0457373,0.924685,0.0295772,0.0335234
244150372,-36964.5,-7312.63,1140,0,0.938529,8.39893e-05,0,1,0,0,0,0.0531321,0.920711,0.0261571,0.0484051
219022165,-36743.7,-7499.54,1200,0,0.998026,0.00010112,1,0,0,0,0,0.0425425,0.932331,0.0251263,0.00404866
244150372,-37062.5,-7470.77,1200,0,0.939624,8.60739e-05,0,1,0,0,0,0.0307953,0.939845,0.0293593,0.0522624
219022165,-36721.9,-7213.36,1260,0,0.970074,8.15625e-05,1,0,0,0,0,0.0604304,0.911959,0.0276104,0.0299948
244150372,-37145.7,-7575.23,1260,0,0.932665,9.06595e-05,0,1,0,0,0,0.0575831,0.881175,0.0612418,0.0542001
219022165,-36739.1,-6925.13,1320,0,0.960222,9.06798e-05,1,0,0,0,0,0.048866,0.92182,0.0293137,0.0398539
244150372,-37225.5,-7669.94,1320,0,0.943991,8.33509e-05,0,1,0,0,0,0.0224467,0.976356,0.00119697,0.0502912
219022165,-36778.6,-6638.45,1380,0,0.938488,9.01048e-05,1,0,0,0,0,0.0453637,0.926194,0.0284426,0.0615872
244150372,-37305.3,-7764.65,1380,0,0.940929,8.52559e-05,0,1,0,0,0,0.0276173,0.967684,0.00469843,0.0457133
219022165,-36821.3,-6356.3,1440,0,0.90809,8.82618e-05,1,0,0,0,0,0.0700145,0.871138,0.0588476,0.0623464
244150372,-37385.1,-7859.37,1440,0,0.926881,0.000103629,0,1,0,0,0,0.135605,0.821164,0.0432306,0.0613284
219022165,-36866.5,-6071.68,1500,0,0.952588,0.000109584,1,0,0,0,0,0.054799,0.873601,0.0716005,0.0435051
244150372,-37464.9,-7954.09,1500,0,0.930257,0.000114386,0,1,0,0,0,0.0101858,0.929183,0.0606317,0.0500142
