mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
244150372,-35728.4,-5680.69,480,0.94607,0.97976,0.00531747,0,0,0,0,0,1,0,0,0,0.05128,0.92541,0.0233103,0.999913,0.999913
219022165,-35958.2,-10242.8,540,0.95,0.9802,0.00522,0,0,0,1,1,0,0,0,0,0.05133,0.92851,0.02016,1,1
244150372,-35855.5,-5810.48,540,0.946779,0.98047,0.00528447,0,0,0,1,0,1,0,0,0,0.0523644,0.925884,0.0217518,0.999935,0.999135
219022165,-36116,-9994.7,600,0.949368,0.98057,0.0051593,0,0,0,0,1,0,0,0,0,0.0491626,0.929921,0.0209168,0.99997,0.9998
244150372,-35990.8,-5941.13,600,0.947443,0.97933,0.00547965,0,0,0,0,0,1,0,0,0,0.0513525,0.926356,0.0222916,0.999956,0.996851
219022165,-36269.5,-9754.03,660,0.510482,0.98054,0.0518327,0,1,0,0,1,0,0,0,0,0.488831,0.499661,0.0115083,0.999987,0.995025
244150372,-36100.1,-6083.01,660,0.946992,0.98019,0.0057296,0,1,0,1,0,1,0,0,0,0.0531136,0.945669,0.00121706,0.999921,0.99227
219022165,-36434.4,-9510.28,720,0.499973,0.98023,0.0508839,0,1,0,0,1,0,0,0,0,0.47908,0.510138,0.0107824,0.999993,0.995917
244150372,-36213.6,-6234.63,720,0.946757,0.98008,0.00583146,0,1,0,0,0,1,0,0,0,0.0529953,0.945695,0.00130998,0.99989,0.992546
219022165,-36602.2,-9265.43,780,0.513294,0.98033,0.0529408,0,1,0,0,1,0,0,0,0,0.488811,0.500033,0.0111566,0.999987,0.998114
244150372,-36326.6,-6386.09,780,0.944522,0.98021,0.00642849,0,1,0,0,0,1,0,0,0,0.0524063,0.946195,0.00139913,0.99992,0.995219
219022165,-36765.7,-9025.02,840,0.61089,0.981,0.0409103,0,1,0,0,1,0,0,0,0,0.592993,0.397262,0.00974504,0.999987,0.997821
244150372,-36445.8,-6535.2,840,0.945514,0.9795,0.0066336,0,1,0,0,0,1,0,0,0,0.0520614,0.946645,0.00129329,0.999796,0.992367
219022165,-36920,-8789.9,900,0.64259,0.98024,0.0276007,0,1,0,0,1,0,0,0,0,0.639225,0.353313,0.00746178,1,0.998708
244150372,-36557.5,-6680.86,900,0.945922,0.98058,0.00649653,0,1,0,0,0,1,0,0,0,0.0531974,0.9455,0.00130291,0.999922,0.992753
219022165,-37084.6,-8550.98,960,0.100229,0.98006,0.105222,0,1,0,0,1,0,0,0,0,0.0450753,0.934291,0.0206339,1,0.989777
