mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
255805883,12758.6,80193.7,1920,0.98017,0.98949,1.70749e-05,0,1,0,0,0,0.0504201,0.89844,0.0511401
259490000,11919.7,99431.4,1920,0.979873,0.91906,4.36178e-06,0,0,1,0,0,0.0490561,0.904706,0.0462383
255805883,12992.5,80574.1,1980,0.98025,0.98989,1.53544e-05,0,1,0,0,0,0.0497246,0.900803,0.0494719
259490000,11970.2,99307.9,1980,0.962139,0.944506,0.000696204,1,0,0,0,0,0.0860515,0.866834,0.0471142
255805883,13221.8,80963.3,2040,0.979454,0.98974,6.52976e-06,0,1,0,0,0,0.0493448,0.899687,0.0509682
259490000,12129,99182.7,2040,0.919419,0.769951,0.00287685,1,0,0,0,0,0.189434,0.776436,0.0341302
255805883,13442.8,81354.4,2100,0.9798,0.98946,1.61719e-05,0,1,0,0,0,0.0504823,0.900373,0.0491448
259490000,12402,99107.8,2100,0.824779,0.483119,0.00736934,1,0,0,0,0,0.497885,0.468778,0.0333369
255805883,13664.1,81750.5,2160,0.979699,0.98942,9.04729e-06,0,1,0,0,0,0.0505577,0.899675,0.0497676
259490000,12758,98937.7,2160,0.771124,0.245643,0.00829806,1,0,0,0,0,0.77488,0.215572,0.00954765
255805883,13880.3,82140.3,2220,0.97928,0.99003,1.92793e-05,0,1,0,0,0,0.0488108,0.900227,0.0509618
259490000,13103.6,98642.2,2220,0.0485227,0.233323,0.0492948,1,0,0,0,0,0.0446474,0.912022,0.0433302
255805883,14092.4,82549.9,2280,0.980698,0.98987,1.29759e-05,0,1,0,0,0,0.0502637,0.900372,0.0493645
259490000,13483.8,98239.6,2280,0.0275418,0.224421,0.0283517,1,0,0,0,0,0.0536619,0.907328,0.0390097
255805883,14308.8,82941.1,2340,0.980433,0.9905,5.50601e-06,0,1,0,0,0,0.0499491,0.899613,0.0504374
259490000,13795.5,97767.6,2340,0,0.19026,0.000861843,1,0,0,0,0,0.0539411,0.877743,0.0683156
255805883,14531.9,83344.7,2400,0.980269,0.99001,1.14949e-05,0,1,0,0,0,0.049721,0.899316,0.0509626
259490000,14079.6,97229.1,2400,0.974574,0.801986,0.000323489,0,0,1,0,0,0.0502509,0.949679,7.02092e-05
255805883,14748.4,83734.9,2460,0.978257,0.98992,1.49263e-05,0,1,0,0,0,0.0499464,0.895909,0.0541442
259490000,14271,96606.4,2460,0.981165,0.00113264,0.00113264,0,0,1,0,0,0.0552062,0.944727,6.64062e-05
255805883,14960.3,84131.9,2520,0.978714,0.99017,1.12955e-05,0,1,0,0,0,0.0500204,0.893609,0.0563705
259490000,14457.5,95946.8,2520,0.977536,0.727681,7.44803e-05,0,0,1,0,0,0.0548579,0.94271,0.00243192
255805883,15156.6,84536.7,2580,0.976334,0.99007,4.04622e-06,0,1,0,0,0,0.0496544,0.885616,0.0647295
259490000,14652.6,95282.1,2580,0.976599,0.71246,0.000207564,0,0,1,0,0,0.0473977,0.952602,0
255805883,15374.4,84933.4,2640,0.971864,0.99029,1.80806e-05,0,1,0,0,0,0.0483498,0.8772,0.0744501
259490000,14847,94616.3,2640,0.980194,0.710454,0.000492409,0,0,1,0,0,0.0553034,0.944666,3.01666e-05
255805883,15598.2,85339.2,2700,0.966696,0.99032,1.35201e-05,0,1,0,0,0,0.0456039,0.864817,0.0895789
259490000,15058.6,93938.2,2700,0.979609,0.728191,0.000293468,0,0,1,0,0,0.0466784,0.951002,0.00231997
255805883,15761.2,85745.3,2760,0.980011,0.99026,2.39741e-05,0,1,0,0,0,0.0456963,0.828642,0.125662
259490000,15271,93249.7,2760,0.97494,0.724079,0.000295519,0,0,1,0,0,0.0498206,0.950165,1.42779e-05
255805883,15838.5,86167.6,2820,0.977017,0.99036,2.77819e-05,0,1,0,0,0,0.0509681,0.946044,0.00298752
259490000,15553,92588.7,2820,0.984098,0.0081512,0.00098671,0,0,1,0,0,0.0561411,0.943808,5.1317e-05
255805883,15891.9,86580.8,2880,0.975963,0.99039,3.4413e-05,0,1,0,0,0,0.0534972,0.943561,0.00294166
259490000,15931.8,91938,2880,0.986707,0.00197062,0.000969803,0,0,1,0,0,0.0468639,0.953087,4.934e-05
255805883,15912.3,87013.2,2940,0.977336,0.98983,2.90786e-05,0,1,0,0,0,0.0495043,0.947714,0.00278209
259490000,16292.1,91285.8,2940,0.980572,0.00411799,0.00103685,0,0,1,0,0,0.0435998,0.956356,4.40545e-05
255805883,15942.7,87437.8,3000,0.976265,0.99029,2.92455e-05,0,1,0,0,0,0.0534568,0.943369,0.00317452
259490000,16670.6,90610.1,3000,0.980378,0.00725429,0.00106315,0,0,1,0,0,0.0503976,0.949553,4.92054e-05
255805883,15983.8,87875,3060,0.976944,0.98991,3.24832e-05,0,1,0,0,0,0.0511226,0.945898,0.00297977
259490000,17019.9,89952.4,3060,0.98362,0.00796192,0.00103393,0,0,1,0,0,0.0581743,0.941771,5.46245e-05
255805883,16083.3,88312.6,3120,0.976498,0.98988,2.97513e-05,0,1,0,0,0,0.0558253,0.941341,0.00283397
259490000,17381.8,89278.2,3120,0.976515,0.00573187,0.00107877,0,0,1,0,0,0.0563796,0.943565,5.50322e-05
255805883,16242.8,88733.1,3180,0.976236,0.9907,3.37868e-05,0,1,0,0,0,0.05333,0.943659,0.00301053
259490000,17750.9,88581.2,3180,0.976333,0.00462507,0.00102578,0,0,1,0,0,0.0513556,0.948597,4.72435e-05
255805883,16471.3,89116.5,3240,0.976443,0.98978,3.16338e-05,0,1,0,0,0,0.0515336,0.945576,0.00288988
259490000,18122.3,87900.7,3240,0.97958,0.0107399,0.00106904,0,0,1,0,0,0.0560905,0.943853,5.60845e-05
255805883,16716.5,89503,3300,0.976864,0.98989,2.7622e-05,0,1,0,0,0,0.0512903,0.945862,0.00284739
259490000,18489.9,87213.9,3300,0.987945,0.00471943,0.00106856,0,0,1,0,0,0.0588861,0.941056,5.75352e-05
