mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.94946,0.97985,0.00181876,0,0,0,0,0,1,0,0,0,0.0491601,0.900671,0.0501688,0.436772,0.436772,0
244150372,-35664.5,-4943.49,180,0.949636,0.97924,0.00218743,0,0,0,0,1,0,0,0,0,0.0499162,0.900684,0.0493997,0.435205,0.435205,0
219022165,-35607,-11648.5,240,0.950265,0.97997,0.00219311,0,0,0,0,0,1,0,0,0,0.0497796,0.899954,0.050266,0.476334,0.476334,0
244150372,-35571.2,-5106.66,240,0.949882,0.98012,0.00189737,0,0,0,0,1,0,0,0,0,0.0503448,0.898768,0.0508867,0.478686,0.478686,0
219022165,-35652.6,-11360.2,300,0.949145,0.9803,0.00200624,0,0,0,0,0,1,0,0,0,0.051217,0.897713,0.0510698,0.570603,0.570603,0
244150372,-35474.8,-5270.98,300,0.951469,0.97949,0.00190771,0,0,0,0,1,0,0,0,0,0.0506462,0.899679,0.0496752,0.569415,0.569415,0
219022165,-35708.1,-11077.9,360,0.949815,0.98018,0.00216576,0,0,0,0,0,0,1,0,0,0.0511002,0.898688,0.0502117,0.99184,0.99184,0
244150372,-35442.1,-5456.05,360,0.955684,0.332579,0.0685623,1,0,0,1,0,1,0,0,0,0.0550272,0.92571,0.0192628,0.727462,0.727462,0
219022165,-35756.4,-10790.5,420,0.95081,0.9802,0.00213414,0,0,0,0,1,0,0,0,0,0.0496399,0.900701,0.0496587,0.809283,0.809283,0
244150372,-35561.6,-5609.04,420,0.947666,0.9793,0.00204717,1,0,0,1,0,1,0,0,0,0.0505006,0.938139,0.0113607,0.802075,0.802075,0
219022165,-35833.8,-10507.1,480,0.95059,0.98019,0.00192,0,0,0,1,1,0,0,0,0,0.04978,0.89881,0.05141,0.99886,0.99886,0
244150372,-35728.4,-5680.69,480,0.948512,0.98081,0.0020288,0,0,0,1,0,1,0,0,0,0.0523757,0.945724,0.00190065,0.999881,0.999881,0
219022165,-35958.2,-10242.8,540,0.94907,0.97983,0.00191,0,0,0,1,1,0,0,0,0,0.0499,0.90013,0.04997,0.99999,0.99999,0
244150372,-35855.5,-5810.48,540,0.95079,0.97996,0.00214,0,0,0,1,0,1,0,0,0,0.05084,0.90089,0.04827,0.99901,0.99901,0
219022165,-36116,-9994.7,600,0.948534,0.97987,0.00190963,0,0,0,0,1,0,0,0,0,0.0476065,0.903263,0.0491302,0.99976,0.99976,0
244150372,-35990.8,-5941.13,600,0.950492,0.98029,0.00193981,0,0,0,0,0,1,0,0,0,0.0497944,0.899496,0.0507097,0.996917,0.996917,0
219022165,-36269.5,-9754.03,660,0.9516,0.97905,0.00180506,0,0,0,0,1,0,0,0,0,0.0497869,0.900176,0.050037,0.995035,0.995035,0
244150372,-36100.1,-6083.01,660,0.95039,0.98117,0.00212,0,0,0,1,0,1,0,0,0,0.04958,0.90019,0.05023,0.99243,0.99243,0
219022165,-36434.4,-9510.28,720,0.949528,0.97998,0.001835,0,0,0,0,1,0,0,0,0,0.0474347,0.902863,0.0497028,0.996494,0.996494,0
244150372,-36213.6,-6234.63,720,0.950225,0.98016,0.00202023,0,0,0,0,0,1,0,0,0,0.0488501,0.899397,0.0517532,0.99245,0.99245,0
219022165,-36602.2,-9265.43,780,0.949234,0.97965,0.00212502,0,0,0,0,1,0,0,0,0,0.0464596,0.903795,0.0497453,0.998152,0.998152,1
244150372,-36326.6,-6386.09,780,0.949902,0.98027,0.00247133,0,0,0,0,0,1,0,0,0,0.0492453,0.89568,0.0550744,0.995037,0.995037,0
219022165,-36765.7,-9025.02,840,0.95029,0.97968,0.00212339,0,0,0,0,1,0,0,0,0,0.0449356,0.904472,0.0505924,0.997859,0.995852,0
