mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
211237730,26726.9,-130.557,7500,0.979397,0.99024,0,1,0,0,0,0,0.0416779,0.907356,0.0509661,0.99988,0.99988
261146000,27793.7,3014.29,7500,0.980981,0.9901,5.25957e-05,0,1,0,0,0,0.0497714,0.901009,0.0492197,0.998089,0.998089
211237730,26643.9,-25.9095,7560,0.979914,0.99003,0,1,0,0,0,0,0.0429852,0.906427,0.0505878,0.999858,0.992069
261146000,27696.4,2942.38,7560,0.979784,0.99006,0,0,1,0,0,0,0.0493702,0.901743,0.0488868,0.997998,0.986784
211237730,26571,94.9437,7620,0.979934,0.98978,1.59325e-05,1,0,0,0,0,0.0405838,0.908677,0.0507393,0.999891,0.998765
261146000,27593.1,2878.2,7620,0.980593,0.99035,6.34609e-06,0,1,0,0,0,0.0498648,0.9005,0.049635,0.99813,0.994493
211237730,26493.1,207.403,7680,0.979713,0.99035,0,1,0,0,0,0,0.0428197,0.90702,0.05016,0.999931,0.983904
261146000,27494.7,2806.99,7680,0.980647,0.99,0,0,1,0,0,0,0.0491206,0.900552,0.0503271,0.998002,0.979264
211237730,26415.1,337.379,7740,0.98038,0.98987,6.74261e-06,1,0,0,0,0,0.0390527,0.910304,0.0506436,1,1
261146000,27375.1,2746.81,7740,0.979086,0.109274,0.00204159,0,1,0,0,0,0.049186,0.943355,0.00745916,0.891606,0.891606
211237730,26314.9,450.028,7800,0.980477,0.9902,0,1,0,0,0,0,0.036927,0.91215,0.0509235,1,0.999084
261146000,27260.7,2679.11,7800,0.974234,0.0908408,0.00180099,0,1,0,0,0,0.060119,0.932071,0.00781001,0.909682,0.904592
211237730,26215.4,577.873,7860,0.652566,0.99019,0.000154859,1,0,0,0,0,0.665454,0.316846,0.0177007,1,0.994238
261146000,27150.4,2620.05,7860,0.98069,0.10139,0.00140478,0,1,0,0,0,0.0528277,0.939959,0.00721342,0.899017,0.885375
211237730,26131.5,708.939,7920,0.676235,0.98997,0.000426694,1,0,0,0,0,0.688589,0.295086,0.0163251,1,0.981803
261146000,27038.1,2559.31,7920,0.978876,0.0918118,0.00212734,0,1,0,0,0,0.0539417,0.94052,0.005538,0.909941,0.881267
211237730,26037.3,843.705,7980,0.653722,0.98984,0.000123738,1,0,0,0,0,0.66717,0.315557,0.0172729,1,0.99898
261146000,26929.7,2496.31,7980,0.98205,0.114841,0.00136477,0,1,0,0,0,0.046434,0.947151,0.0064148,0.885643,0.876713
211237730,25947.5,975.498,8040,0.650443,0.98959,0.000116525,1,0,0,0,0,0.66413,0.318541,0.0173283,1,0.96876
261146000,26821,2425.74,8040,0.983006,0.102117,0.00160615,0,1,0,0,0,0.0527426,0.942246,0.0050113,0.898232,0.873752
211237730,25848,1095.03,8100,0.647165,0.98969,0.000269537,1,0,0,0,0,0.661009,0.321024,0.0179662,1,0.991214
261146000,26726,2365.34,8100,0.977402,0.110554,0.00134154,0,1,0,0,0,0.0413727,0.953467,0.00515988,0.889535,0.874045
211237730,25771.3,1223.67,8160,0.624978,0.99011,0.000381168,1,0,0,0,0,0.639558,0.341466,0.018976,1,0.990431
261146000,26625.6,2302.38,8160,0.972302,0.0832958,0.00142419,0,1,0,0,0,0.0512982,0.941127,0.00757504,0.917316,0.907818
211237730,25681.2,1352.03,8220,0.67302,0.99016,8.90883e-05,1,0,0,0,0,0.686336,0.297094,0.0165698,1,0.999403
261146000,26512.2,2244.91,8220,0.979459,0.0578699,0.00146437,0,1,0,0,0,0.0516069,0.942498,0.005895,0.942204,0.933058
211237730,25604.4,1484.67,8280,0.577205,0.9899,0.000782355,1,0,0,0,0,0.592822,0.385588,0.0215902,1,0.99722
261146000,26405.2,2188.38,8280,0.983888,0.122153,0.00136372,0,1,0,0,0,0.0476704,0.94743,0.00489934,0.87877,0.867897
211237730,25504.2,1623.82,8340,0.838492,0.99026,0.000964341,1,0,0,0,0,0.844734,0.147077,0.00818953,0.999998,0.998758
261146000,26290.8,2124.41,8340,0.980689,0.065805,0.00141096,0,1,0,0,0,0.0452455,0.947895,0.00685899,0.935093,0.923301
211237730,25437.4,1758.8,8400,0.00281828,0.98968,0.00282931,1,0,0,0,0,0.0390597,0.910979,0.0499614,1,0.986473
261146000,26179.4,2057.93,8400,0.981183,0.123443,0.00181183,0,1,0,0,0,0.0481258,0.946734,0.00514025,0.878302,0.864719
211237730,25333.6,1888.73,8460,0,0.99036,1.0917e-05,1,0,0,0,0,0.0382149,0.911272,0.0505127,1,0.986304
261146000,26068,1988.88,8460,0.98517,0.243699,0.00137712,0,1,0,0,0,0.0415569,0.955,0.00344261,0.757618,0.743164
211237730,25235.1,2027.49,8520,0,0.9897,1.08236e-05,1,0,0,0,0,0.0397512,0.908765,0.0514839,1,0.98684
261146000,25949.8,1924.01,8520,0.98291,0.00692675,0.00168989,0,1,0,0,0,0.0312272,0.962367,0.00640575,0.994699,0.982332
211237730,25132.9,2175.67,8580,0,0.9897,1.09457e-05,1,0,0,0,0,0.0381086,0.911086,0.0508057,1,0.985947
261146000,25832.8,1853.65,8580,0.989983,0.367615,0.00111808,0,1,0,0,0,0.0255635,0.969803,0.00463325,0.63229,0.62525
211237730,25012.5,2315.58,8640,0,0.98999,1.10028e-05,1,0,0,0,0,0.0385283,0.910456,0.0510159,1,0.990595
261146000,25733.7,1783.1,8640,0.986681,0.00902787,0.0011569,0,1,0,0,0,0.0717865,0.919112,0.00910186,0.992068,0.982982
211237730,24922.7,2469.01,8700,0,0.98998,1.08512e-05,1,0,0,0,0,0.0397658,0.910798,0.0494358,1,0.985735
261146000,25644.7,1713.43,8700,0.978058,0.00857366,0.00149937,0,1,0,0,0,0.0495917,0.942068,0.00834009,0.992849,0.981834
211237730,24812.2,2606.43,8760,0,0.98995,1.10391e-05,1,0,0,0,0,0.0403631,0.909863,0.0497743,1,0.991498
261146000,25548.4,1640.07,8760,0.981396,0.00812408,0.00176306,0,1,0,0,0,0.0381965,0.954157,0.00764615,0.993574,0.983006
211237730,24716.9,2749.81,8820,0,0.99021,1.10675e-05,1,0,0,0,0,0.0405563,0.908,0.0514432,1,0.978903
261146000,25436,1568.5,8820,0.977558,0.0060394,0.00221117,0,1,0,0,0,0.0279157,0.966971,0.00511293,0.99181,0.948701
211237730,24612,2889.14,8880,0,0.99028,1.12048e-05,1,0,0,0,0,0.0396305,0.90887,0.0514999,1,0.970193
261146000,25314.1,1515.34,8880,0.97144,0.00517691,0.00131482,0,1,0,0,0,0.0598219,0.935158,0.00502041,0.996064,0.956272
211237730,24511,3029.62,8940,0.00321168,0.98982,0.00322275,1,0,0,0,0,0.0388747,0.912051,0.0490741,1,0.957423
261146000,25188,1469.87,8940,0.97727,0.00862344,0.00170162,0,1,0,0,0,0.0460491,0.945685,0.00826607,0.992998,0.939685
211237730,24421.1,3160.14,9000,0,0.99014,1.11493e-05,1,0,0,0,0,0.0411822,0.906893,0.0519252,1,0.986721
261146000,25066.1,1399.66,9000,0.979061,0.00958844,0.00137181,0,1,0,0,0,0.070723,0.919975,0.00930234,0.991723,0.971451
211237730,24322.1,3275.72,9060,0.0024319,0.99001,0.00244291,1,0,0,0,0,0.0403239,0.907655,0.0520212,1,0.938005
261146000,24955.8,1340.23,9060,0.97901,0.00566752,0.00207468,0,1,0,0,0,0.0800325,0.915151,0.00481628,0.996337,0.956205
211237730,24244.8,3389.85,9120,0,0.99007,1.11868e-05,1,0,0,0,0,0.0395888,0.90919,0.0512208,1,0.890733
261146000,24833.6,1289.98,9120,0.968485,0.00332606,0.00191037,0,1,0,0,0,0.0569209,0.940336,0.00274277,0.998508,0.932247
