mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
255805883,14960.3,84131.9,2460,0.978209,0.98996,1.88673e-05,0,1,0,0,0,0.0493058,0.895429,0.0552649,0.9822,0.9822
259490000,14271,96606.4,2460,0.954842,0.98984,1.86536e-05,0.114191,0,0.885809,0,0,0.113934,0.882011,0.00405532,0.960413,0.960413
255805883,15156.6,84536.7,2520,0.975511,0.99065,0,0,1,0,0,0,0.0490522,0.886955,0.0639929,0.995037,0.99444
259490000,14457.5,95946.8,2520,0.927978,0.98997,4.43412e-05,0.112913,0,0.887087,0,0,0.17568,0.820452,0.00386811,0.985286,0.984677
255805883,15374.4,84933.4,2580,0.971229,0.98969,2.31161e-05,0,1,0,0,0,0.047644,0.876797,0.0755592,0.994883,0.987716
259490000,14652.6,95282.1,2580,0.826284,0.98954,8.06464e-05,0.49913,0,0.50087,0,0,0.432438,0.558694,0.00886818,0.96615,0.954676
255805883,15598.2,85339.2,2640,0.970009,0.98987,2.45855e-05,0,1,0,0,0,0.0495321,0.873413,0.0770553,0.99441,0.971723
259490000,14847,94616.3,2640,0.728761,0.98979,0.000164072,0.971704,0,0.0282964,0,0,0.690799,0.295294,0.0139075,0.954321,0.935556
255805883,15761.2,85745.3,2700,0.956656,0.98952,1.67273e-05,0,1,0,0,0,0.04679,0.829662,0.123548,0.997238,0.996757
259490000,15058.6,93938.2,2700,0.695369,0.99002,0.000312728,0.983081,0,0.0169191,0,0,0.710054,0.274928,0.0150182,0.999612,0.999466
255805883,15838.5,86167.6,2760,0.950391,0.98966,2.83196e-05,0,1,0,0,0,0.050797,0.946452,0.00275106,0.996399,0.987318
259490000,15271,93249.7,2760,0.616568,0.99026,0.000788071,0.992424,0,0.00757636,0,0,0.634909,0.345729,0.0193614,0.999393,0.995556
255805883,15891.9,86580.8,2820,0.950231,0.98992,1.85079e-05,0,1,0,0,0,0.0538251,0.943086,0.00308926,0.995994,0.669192
