mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,11777.1,9326.92,660,0.979654,0.99004,0,0,1,0,0,0,0.0492653,0.89952,0.0512146,0.999658,0.999658
219829000,16146.4,9946.41,660,0.979965,0.98946,0,1,0,0,0,0,0.0501423,0.900409,0.0494482,0.99999,0.99999
210445000,12038.2,9211.61,720,0.978782,0.98976,1.63387e-05,0,1,0,0,0,0.0490663,0.895508,0.055426,1,1
219829000,16079.9,9813.88,720,0.979667,0.99014,1.74673e-05,1,0,0,0,0,0.046579,0.903149,0.0502721,1,0.999859
210445000,12299.3,9096.31,780,0.979262,0.98975,2.22665e-05,0,1,0,0,0,0.048851,0.894057,0.0570921,1,1
219829000,16011.7,9678.49,780,0.980196,0.98989,8.05402e-06,1,0,0,0,0,0.0453169,0.904816,0.0498671,1,0.999659
210445000,12560.4,8981.09,840,0.977221,0.9904,1.42434e-05,0,1,0,0,0,0.0489439,0.885595,0.065461,1,1
219829000,15944.4,9545.71,840,0.979981,0.99007,3.80626e-05,1,0,0,0,0,0.0437103,0.906787,0.0495025,0.99999,0.998833
210445000,12821.4,8865.82,900,0.975175,0.99006,8.55119e-06,0,1,0,0,0,0.0489533,0.875336,0.0757108,1,0.999984
219829000,15877.8,9413.05,900,0.979737,0.98985,1.36761e-05,1,0,0,0,0,0.0424618,0.908072,0.0494661,1,0.998417
210445000,13082.6,8750.56,960,0.969703,0.99061,0,0,1,0,0,0,0.0479988,0.85961,0.0923909,1,0.999857
219829000,15809.7,9278.71,960,0.979525,0.99035,6.35152e-06,1,0,0,0,0,0.0409875,0.908998,0.0500148,1,0.997082
210445000,13343.7,8635.38,1020,0.00238099,0.98988,0.00238945,0,1,0,0,0,0.0504769,0.891951,0.0575724,1,0.999252
219829000,15745.7,9146.99,1020,0.980185,0.99035,0,1,0,0,0,0,0.0419206,0.906997,0.0510823,1,0.995746
210445000,13603.8,8518.96,1080,0,0.99011,1.08328e-05,0,1,0,0,0,0.0487028,0.892529,0.0587679,1,0.998992
219829000,15684.1,9014.24,1080,0.98016,0.98999,0,1,0,0,0,0,0.0405296,0.90891,0.05056,1,0.993019
210445000,13844.8,8352.53,1140,0,0.98971,1.00237e-05,0,1,0,0,0,0.0497473,0.891962,0.0582903,1,0.997569
219829000,15620.6,8879.58,1140,0.979846,0.99055,1.46572e-05,1,0,0,0,0,0.0399664,0.909397,0.050637,1,0.988319
210445000,14068.2,8172.64,1200,0,0.99037,1.36573e-05,0,1,0,0,0,0.0492404,0.893168,0.0575918,1,0.992329
219829000,15557.2,8751.25,1200,0.979967,0.99063,1.78709e-05,1,0,0,0,0,0.0401596,0.909281,0.0505593,1,0.983641
210445000,14291.6,7992.84,1260,0,0.99007,1.50465e-05,0,1,0,0,0,0.0501317,0.892262,0.0576067,1,0.988089
219829000,15497.7,8616.88,1260,0.980162,0.99014,4.17319e-06,1,0,0,0,0,0.0380382,0.910647,0.0513144,1,0.975453
210445000,14515,7813,1320,0,0.99003,1.33233e-05,0,1,0,0,0,0.0489907,0.892732,0.0582772,1,0.986865
219829000,15438.3,8482.56,1320,0.980199,0.99051,1.09917e-05,1,0,0,0,0,0.038314,0.911238,0.050448,1,0.976297
210445000,14732.5,7615.03,1380,0,0.99032,1.42168e-05,0,1,0,0,0,0.0485444,0.894278,0.0571779,1,0.987199
219829000,15377.6,8349.31,1380,0.979983,0.99029,3.48879e-06,1,0,0,0,0,0.0406843,0.908445,0.0508702,1,0.975606
210445000,14937.3,7408.91,1440,0,0.98982,1.36272e-05,0,1,0,0,0,0.0491373,0.894785,0.0560781,1,0.987606
219829000,15318.2,8211.99,1440,0.979274,0.98989,6.45449e-06,1,0,0,0,0,0.0404374,0.908371,0.0511916,1,0.974956
210445000,15148.3,7206.22,1500,0,0.99006,1.33972e-05,0,1,0,0,0,0.0503785,0.892351,0.0572708,1,0.975167
219829000,15252.9,8078.75,1500,0.980119,0.99024,3.12824e-06,1,0,0,0,0,0.0385122,0.911156,0.0503315,1,0.975066
210445000,15345,7007.86,1560,0,0.98969,1.32902e-05,0,1,0,0,0,0.0498787,0.893505,0.0566164,1,0.976083
219829000,15195.6,7943.39,1560,0.979846,0.99013,2.61495e-06,1,0,0,0,0,0.0408429,0.909303,0.0498541,1,0.974965
210445000,15580.8,6859.04,1620,0,0.99038,1.32512e-05,0,1,0,0,0,0.0488651,0.893555,0.0575795,1,0.975127
219829000,15130.8,7802.91,1620,0.980347,0.98975,2.92187e-06,1,0,0,0,0,0.0426177,0.906342,0.0510403,1,0.974997
210445000,15835.3,6733.13,1680,0,0.98987,1.34531e-05,0,1,0,0,0,0.0487857,0.892778,0.0584363,1,0.949874
219829000,15072.2,7667.67,1680,0.979409,0.99012,5.71132e-06,1,0,0,0,0,0.0384696,0.911435,0.0500957,1,0.949191
210445000,16122.3,6654.13,1740,0,0.99036,1.34284e-05,0,1,0,0,0,0.0503226,0.89186,0.0578176,1,0.932618
219829000,15006.3,7531.36,1740,0.980869,0.98993,1.10942e-05,1,0,0,0,0,0.0395581,0.909355,0.0510873,1,0.931488
210445000,16399.1,6700.25,1800,0,0.98987,1.33076e-05,0,1,0,0,0,0.0510645,0.891889,0.0570468,1,0.909084
219829000,14946.4,7386.79,1800,0.979253,0.98971,1.07688e-05,1,0,0,0,0,0.0408977,0.909209,0.0498937,1,0.909045
210445000,16691.5,6758.58,1860,0,0.99012,1.33652e-05,0,1,0,0,0,0.0504518,0.891922,0.0576257,1,0.847029
219829000,14882.3,7244.5,1860,0.980395,0.99078,1.3099e-05,1,0,0,0,0,0.036678,0.913166,0.0501559,0.99999,0.849393
210445000,16985.7,6828.3,1920,0,0.99032,1.32618e-05,0,1,0,0,0,0.0487071,0.893507,0.0577859,1,0.88114
219829000,14826.8,7105.95,1920,0.980695,0.9893,7.55006e-06,1,0,0,0,0,0.0434744,0.906894,0.0496313,1,0.880889
210445000,17291.5,6901.22,1980,0,0.98949,1.34143e-05,0,1,0,0,0,0.0502789,0.892591,0.0571304,1,0.877355
219829000,14759.1,6967.54,1980,0.980735,0.99041,4.96062e-06,1,0,0,0,0,0.0378303,0.911251,0.0509182,1,0.882855
