mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
211237730,26799.8,-235.976,7440,0.847345,0.84895,0.00576677,1,0,0,0,0,0.0413502,0.884824,0.0738259,0.150711,0.150711
261146000,27908.8,3081.97,7440,0.979526,0.99031,3.48709e-08,0,1,0,0,0,0.0522721,0.946613,0.00111502,0.992852,0.992852
211237730,26726.9,-130.557,7500,0.979654,0.990044,0,1,0,0,0,0,0.0346173,0.914653,0.0507301,0.999968,0.999897
261146000,27793.7,3014.29,7500,0.979175,0.99007,1.65799e-05,0,1,0,0,0,0.0551947,0.943702,0.00110307,0.997475,0.997475
211237730,26643.9,-25.9095,7560,0.980159,0.98981,7.53398e-06,1,0,0,0,0,0.0339338,0.91406,0.0520064,0.99994,0.992782
261146000,27696.4,2942.38,7560,0.979689,0.98935,1.06167e-06,0,1,0,0,0,0.0533782,0.945759,0.000863008,0.996872,0.985511
211237730,26571,94.9437,7620,0.980106,0.989944,2.58579e-05,1,0,0,0,0,0.0344067,0.914296,0.0512969,0.99997,0.998989
261146000,27593.1,2878.2,7620,0.979734,0.98951,8.05966e-06,0,1,0,0,0,0.0512059,0.947698,0.00109614,0.996748,0.992964
211237730,26493.1,207.403,7680,0.980091,0.990092,0,1,0,0,0,0,0.0337318,0.914831,0.0514376,0.999951,0.984245
261146000,27494.7,2806.99,7680,0.978736,0.99032,1.74906e-05,0,1,0,0,0,0.0556611,0.942772,0.00156704,0.996309,0.97744
211237730,26415.1,337.379,7740,0.980547,0.989752,0,1,0,0,0,0,0.0341917,0.914853,0.0509556,1,1
261146000,27375.1,2746.81,7740,0.980497,0.107129,0.00150654,0,1,0,0,0,0.066856,0.930525,0.00261862,0.892785,0.892785
211237730,26314.9,450.028,7800,0.980279,0.989759,8.22068e-06,1,0,0,0,0,0.034583,0.914597,0.0508195,1,0.998914
261146000,27260.7,2679.11,7800,0.979551,0.11017,0.00140766,0,1,0,0,0,0.0415361,0.958393,7.12244e-05,0.891218,0.887126
211237730,26215.4,577.873,7860,0.695012,0.990833,0.000199014,1,0,0,0,0,0.710965,0.274196,0.0148387,1,0.994026
261146000,27150.4,2620.05,7860,0.978316,0.0570146,0.00164074,0,1,0,0,0,0.0697294,0.929699,0.00057111,0.943019,0.934902
211237730,26131.5,708.939,7920,0.71832,0.984164,0.000207994,1,0,0,0,0,0.732609,0.253005,0.0143858,1,0.973097
261146000,27038.1,2559.31,7920,0.97662,0.0849605,0.00150247,0,1,0,0,0,0.0763662,0.921386,0.00224824,0.916528,0.896791
211237730,26037.3,843.705,7980,0.708146,0.989589,9.60165e-05,1,0,0,0,0,0.723067,0.262163,0.0147701,1,0.999181
261146000,26929.7,2496.31,7980,0.981553,0.056822,0.00144227,0,1,0,0,0,0.0380861,0.951944,0.00997006,0.944605,0.936198
211237730,25947.5,975.498,8040,0.738521,0.975303,0.000174736,1,0,0,0,0,0.750002,0.237036,0.0129615,0.99871,0.970074
261146000,26821,2425.74,8040,0.972846,0.00720095,0.00199711,0,1,0,0,0,0.0624938,0.937407,9.92663e-05,0.984307,0.964443
211237730,25848,1095.03,8100,0.724705,0.985194,0.000363935,1,0,0,0,0,0.736876,0.249364,0.0137592,1,0.997109
261146000,26726,2365.34,8100,0.977395,0.171038,0.00153753,0,1,0,0,0,0.0370585,0.962861,8.01924e-05,0.830483,0.786107
211237730,25771.3,1223.67,8160,0.662555,0.994835,0.000265611,1,0,0,0,0,0.678824,0.304502,0.0166741,1,0.997514
261146000,26625.6,2302.38,8160,0.983349,0.00236598,0.00239102,0,1,0,0,0,0.369736,0.630153,0.000110812,0.999999,0.999762
211237730,25681.2,1352.03,8220,0.701709,0.995526,0.000162992,1,0,0,0,0,0.714506,0.270658,0.0148353,1,0.999428
261146000,26512.2,2244.91,8220,0.959643,0.000933137,0.000942272,0,1,0,0,0,4.72009e-05,0.999907,4.53553e-05,0.999999,0.999992
211237730,25604.4,1484.67,8280,0.82318,0.997328,9.11025e-05,1,0,0,0,0,0.831373,0.159651,0.0089756,1,0.998892
261146000,26405.2,2188.38,8280,0.990487,0.000553521,0.000558994,0,1,0,0,0,2.78852e-05,0.999942,3.02388e-05,1,0.999992
211237730,25504.2,1623.82,8340,0.00127397,0.985405,0.00128983,1,0,0,0,0,0.0478591,0.901124,0.0510169,1,0.992327
261146000,26290.8,2124.41,8340,0.998765,0.000449302,0.000453814,0,1,0,0,0,2.31371e-05,0.999953,2.38002e-05,1,0.999994
211237730,25437.4,1758.8,8400,0,0.985342,1.5841e-05,1,0,0,0,0,0.0548665,0.89566,0.0494738,0.999984,0.986569
261146000,26179.4,2057.93,8400,0.980565,0.990163,1,0,1,0,0,0,0.0516871,0.905389,0.0429244,0.999733,0.986742
211237730,25333.6,1888.73,8460,0.00187908,0.984244,0.00189528,1,0,0,0,0,0.0450308,0.903926,0.0510433,1,0.98532
261146000,26068,1988.88,8460,0.979837,0.990259,1,0,1,0,0,0,0.0515029,0.89262,0.0558766,0.999539,0.982472
211237730,25235.1,2027.49,8520,0,0.98549,1.60099e-05,1,0,0,0,0,0.0445488,0.903786,0.0516647,1,0.985381
261146000,25949.8,1924.01,8520,0.979757,0.989855,1,0,1,0,0,0,0.0520295,0.892659,0.0553114,0.999028,0.984067
211237730,25132.9,2175.67,8580,0,0.985699,1.59337e-05,1,0,0,0,0,0.0513718,0.898831,0.0497976,1,0.985051
261146000,25832.8,1853.65,8580,0.980432,0.990196,1,0,1,0,0,0,0.0509949,0.892917,0.0560881,0.999617,0.986247
211237730,25012.5,2315.58,8640,0,0.983681,1.61105e-05,1,0,0,0,0,0.0509221,0.898781,0.0502966,1,0.991581
261146000,25733.7,1783.1,8640,0.97975,0.990249,1,0,1,0,0,0,0.0501252,0.896002,0.0538732,0.999755,0.991536
211237730,24922.7,2469.01,8700,0,0.98523,1.61725e-05,1,0,0,0,0,0.0475827,0.89991,0.0525072,1,0.985326
261146000,25644.7,1713.43,8700,0.980224,0.990045,1,0,1,0,0,0,0.0490933,0.907602,0.0433049,0.999334,0.98741
211237730,24812.2,2606.43,8760,0,0.984284,1.62688e-05,1,0,0,0,0,0.0481802,0.901935,0.0498847,1,0.991273
261146000,25548.4,1640.07,8760,0.979418,0.989705,1,0,1,0,0,0,0.0493179,0.895666,0.0550158,0.9985,0.990527
211237730,24716.9,2749.81,8820,0.000324172,0.987111,0.000340443,1,0,0,0,0,0.0604954,0.889558,0.0499469,1,0.978956
261146000,25436,1568.5,8820,0.979642,0.989878,1,0,1,0,0,0,0.0551982,0.902556,0.0422459,0.999308,0.978799
211237730,24612,2889.14,8880,0.000374451,0.986301,0.000390685,1,0,0,0,0,0.0521221,0.899358,0.0485195,1,0.974234
261146000,25314.1,1515.34,8880,0.979873,0.989673,1,0,1,0,0,0,0.0489888,0.897067,0.0539443,0.999568,0.972911
