mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,11504.3,9421.59,600,0.979343,0.99054,1.20705e-05,0,1,0,0,0,0.051939,0.946769,0.00129189,0.993723,0.993723
219829000,16194.9,10080.7,600,0.979721,0.99024,1.87656e-05,1,0,0,0,0,0.048964,0.901947,0.0490891,0.994795,0.994795
210445000,11777.1,9326.92,660,0.980436,0.984909,9.44003e-06,0,1,0,0,0,0.0496786,0.876335,0.073986,0.999797,0.999468
219829000,16146.4,9946.41,660,0.979503,0.9902,0,1,0,0,0,0,0.0500826,0.899216,0.0507015,0.99999,0.99999
210445000,12038.2,9211.61,720,0.979642,0.973723,6.27258e-05,0,1,0,0,0,0.0438151,0.810313,0.145872,1,1
219829000,16079.9,9813.88,720,0.979934,0.98981,8.05251e-06,1,0,0,0,0,0.0462804,0.903637,0.0500821,1,0.99986
210445000,12299.3,9096.31,780,0.978622,0.973313,0,0,1,0,0,0,0.0453235,0.802814,0.151862,1,1
219829000,16011.7,9678.49,780,0.979872,0.99016,7.43406e-06,1,0,0,0,0,0.0440178,0.904908,0.051074,0.99998,0.999628
210445000,12560.4,8981.09,840,0.978102,0.973876,1.72431e-05,0,1,0,0,0,0.0452118,0.78699,0.167798,1,0.999962
219829000,15944.4,9545.71,840,0.980371,0.99004,1.3657e-05,1,0,0,0,0,0.0430627,0.906167,0.0507704,1,0.998732
210445000,12821.4,8865.82,900,0.975263,0.974147,2.16833e-05,0,1,0,0,0,0.0420272,0.766397,0.191576,1,0.999857
219829000,15877.8,9413.05,900,0.980127,0.98969,6.23731e-06,1,0,0,0,0,0.0417514,0.906659,0.0515896,1,0.997903
210445000,13082.6,8750.56,960,0.00194669,0.972268,0.00197001,0,1,0,0,0,0.044986,0.84829,0.106724,1,0.999704
219829000,15809.7,9278.71,960,0.979286,0.98913,2.31042e-05,1,0,0,0,0,0.0412638,0.908297,0.0504391,1,0.996713
210445000,13343.7,8635.38,1020,0.00916541,0.970897,0.00920557,0,1,0,0,0,0.0453275,0.849174,0.105499,1,0.999517
219829000,15745.7,9146.99,1020,0.979899,0.99,5.27254e-06,1,0,0,0,0,0.0398448,0.90881,0.0513454,1,0.994096
210445000,13603.8,8518.96,1080,0,0.971189,4.32458e-05,0,1,0,0,0,0.0443226,0.848183,0.107494,1,0.998865
219829000,15684.1,9014.24,1080,0.979692,0.98984,4.90107e-06,1,0,0,0,0,0.039183,0.910161,0.0506562,1,0.990587
