mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,11504.3,9421.59,600,0.979314,0.98942,6.0264e-06,0,1,0,0,0,0.052748,0.946147,0.00110482,0.993781,0.993781
219829000,16194.9,10080.7,600,0.980109,0.99028,1.85866e-05,1,0,0,0,0,0.0514448,0.898585,0.0499701,0.994368,0.994368
210445000,11777.1,9326.92,660,0.978817,0.99,1.20082e-05,0,1,0,0,0,0.0530789,0.945605,0.00131588,0.999344,0.999306
219829000,16146.4,9946.41,660,0.979846,0.99,8.7091e-06,1,0,0,0,0,0.048706,0.900846,0.0504478,1,1
210445000,12038.2,9211.61,720,0.62836,0.645295,0.645295,0,1,0,0,0,0.0299261,0.970074,0,1,1
219829000,16079.9,9813.88,720,0.980574,0.98968,2.4169e-05,1,0,0,0,0,0.0466225,0.903129,0.0502483,1,0.99989
210445000,12299.3,9096.31,780,0.840492,0.865309,0.865309,0,1,0,0,0,0.0351339,0.905336,0.0595304,1,1
219829000,16011.7,9678.49,780,0.980563,0.99052,0,1,0,0,0,0,0.0464189,0.903177,0.0504043,1,0.999647
210445000,12560.4,8981.09,840,0.734332,0.750195,0.750477,0,1,0,0,0,0.0578932,0.875427,0.06668,1,1
219829000,15944.4,9545.71,840,0.9796,0.99008,1.36984e-05,1,0,0,0,0,0.0442545,0.905618,0.0501277,0.99999,0.998881
210445000,12821.4,8865.82,900,0.823068,0.839255,0.839435,0,1,0,0,0,0.0375772,0.932345,0.0300774,1,1
219829000,15877.8,9413.05,900,0.979358,0.9892,1.40873e-05,1,0,0,0,0,0.0428224,0.907309,0.049869,1,0.998034
210445000,13082.6,8750.56,960,0.826436,0.843162,0.843372,0,1,0,0,0,0.0738314,0.854588,0.0715806,1,0.999996
219829000,15809.7,9278.71,960,0.979844,0.99054,5.80459e-06,1,0,0,0,0,0.0411022,0.909109,0.0497889,1,0.996609
210445000,13343.7,8635.38,1020,0.695451,0.697817,0.712757,0,1,0,0,0,0.0815129,0.898826,0.0196615,1,0.999989
219829000,15745.7,9146.99,1020,0.980819,0.98996,0,1,0,0,0,0,0.0402984,0.909603,0.0500985,1,0.994382
210445000,13603.8,8518.96,1080,0.853574,0.866406,0.871052,0,1,0,0,0,0.0251131,0.930752,0.044135,1,0.99998
219829000,15684.1,9014.24,1080,0.980512,0.99027,0,1,0,0,0,0,0.040951,0.90889,0.050159,1,0.991609
210445000,13844.8,8352.53,1140,0.847085,0.858441,0.864559,0,1,0,0,0,0.0271309,0.925174,0.0476951,1,0.999954
219829000,15620.6,8879.58,1140,0.979499,0.99006,4.52921e-06,1,0,0,0,0,0.037927,0.910819,0.0512544,1,0.986322
210445000,14068.2,8172.64,1200,0.980174,0.9894,1,0,1,0,0,0,0.0243738,0.891362,0.0842644,1,0.988718
219829000,15557.2,8751.25,1200,0.980084,0.98967,8.25963e-06,1,0,0,0,0,0.0398358,0.909367,0.0507973,1,0.979952
210445000,14291.6,7992.84,1260,0.980133,0.999808,1,0,1,0,0,0,0.0010135,0.964265,0.0347219,1,0.961898
219829000,15497.7,8616.88,1260,0.978962,0.99023,1.14473e-05,1,0,0,0,0,0.0407159,0.908088,0.0511965,1,0.969475
210445000,14515,7813,1320,0.980085,0.999798,1,0,1,0,0,0,0.0928158,0.906185,0.000999377,1,0.969027
219829000,15438.3,8482.56,1320,0.98001,0.98988,1.75057e-05,1,0,0,0,0,0.0397908,0.909429,0.0507807,1,0.970329
210445000,14732.5,7615.03,1380,0.983551,0.99983,1,0,1,0,0,0,0.0417976,0.957364,0.00083799,1,0.95883
219829000,15377.6,8349.31,1380,0.9794,0.98968,6.45615e-06,1,0,0,0,0,0.0391056,0.910379,0.0505156,1,0.96976
210445000,14937.3,7408.91,1440,0.969996,0.999704,1,0,1,0,0,0,0.00149856,0.996984,0.00151703,1,0.999597
219829000,15318.2,8211.99,1440,0.979841,0.99001,1.18891e-05,1,0,0,0,0,0.0423983,0.906637,0.0509648,1,0.969371
210445000,15148.3,7206.22,1500,0.975874,0.999772,1,0,1,0,0,0,0.196351,0.802443,0.00120645,1,0.999278
219829000,15252.9,8078.75,1500,0.980208,0.98967,8.66665e-06,1,0,0,0,0,0.0389486,0.90967,0.051381,1,0.9713
210445000,15345,7007.86,1560,0.979809,0.999797,1,0,1,0,0,0,0.164324,0.834669,0.00100728,1,0.999378
219829000,15195.6,7943.39,1560,0.980172,0.99023,5.60074e-06,1,0,0,0,0,0.0395266,0.909662,0.0508113,1,0.970134
210445000,15580.8,6859.04,1620,0.982658,0.999826,1,0,1,0,0,0,0.07106,0.928064,0.000875853,1,0.99946
219829000,15130.8,7802.91,1620,0.979936,0.99028,5.47303e-06,1,0,0,0,0,0.0372794,0.911732,0.0509884,1,0.970351
210445000,15835.3,6733.13,1680,0.972763,0.909464,1,0,1,0,0,0,0.00137046,0.997263,0.00136604,1,0.998346
219829000,15072.2,7667.67,1680,0.979978,0.9897,1.05083e-05,1,0,0,0,0,0.043071,0.907015,0.0499137,1,0.939168
210445000,16122.3,6654.13,1740,0.988981,0.963533,1,0,1,0,0,0,0.0897835,0.670735,0.239481,1,0.795603
219829000,15006.3,7531.36,1740,0.979352,0.99,7.7105e-06,1,0,0,0,0,0.0401298,0.908817,0.0510536,1,0.919076
210445000,16399.1,6700.25,1800,0.978053,0.999777,1,0,1,0,0,0,0.00109072,0.99783,0.00107974,1,0.997608
219829000,14946.4,7386.79,1800,0.97934,0.98999,9.8455e-06,1,0,0,0,0,0.0471983,0.902908,0.0498937,1,0.889465
210445000,16691.5,6758.58,1860,0.983818,0.999831,1,0,1,0,0,0,0.131769,0.867399,0.000832441,1,0.931438
219829000,14882.3,7244.5,1860,0.980487,0.99009,1.21041e-05,1,0,0,0,0,0.0379266,0.912771,0.0493021,1,0.816659
210445000,16985.7,6828.3,1920,0.986322,0.999866,1,0,1,0,0,0,0.000683147,0.899469,0.099848,1,0.788543
219829000,14826.8,7105.95,1920,0.978938,0.99021,1.17351e-05,1,0,0,0,0,0.0404306,0.909062,0.0505072,1,0.856325
210445000,17291.5,6901.22,1980,0.982711,0.999819,1,0,1,0,0,0,0.00086373,0.998293,0.000843038,1,0.927141
219829000,14759.1,6967.54,1980,0.980203,0.98951,9.13765e-06,1,0,0,0,0,0.0334802,0.915008,0.0515115,1,0.856534
210445000,17579.2,6940.66,2040,0.977688,0.999773,1,0,1,0,0,0,0.0916736,0.745595,0.162731,1,0.90818
219829000,14691.3,6828.17,2040,0.979318,0.99004,6.65137e-06,1,0,0,0,0,0.0374749,0.911866,0.0506592,1,0.938499
