mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219002051,2210.77,19788.6,5160,0.949239,0.99022,0.000206681,0,0,0,0,1,0,0,0,0,0.0503094,0.900049,0.0496413,0.995237,0.995237,1
246900000,4180.28,10781.7,5160,0.950352,0.98986,0.000254892,0,0,0,0,0,1,0,0,0,0.0493693,0.899829,0.0508017,0.999101,0.999101,0
219002051,2374.32,19663.2,5220,0.949712,0.98998,0.000183357,0,0,0,0,1,0,0,0,0,0.0495223,0.901596,0.0488815,0.996578,0.995464,0
246900000,4304.09,11056.8,5220,0.950111,0.98928,0.000218889,0,0,0,0,0,1,0,0,0,0.0486961,0.89937,0.0519337,0.9995,0.99932,0
219002051,2537.77,19537.8,5280,0.950517,0.98984,0.000193689,0,0,0,0,1,0,0,0,0,0.0504989,0.900368,0.0491329,0.996665,0.994851,0
246900000,4427.03,11334.9,5280,0.949547,0.99029,0.000140921,0,0,0,0,0,1,0,0,0,0.049867,0.901293,0.0488403,0.99937,0.99918,0
219002051,2701.22,19412.5,5340,0.949491,0.98999,0.000201411,0,0,0,0,1,0,0,0,0,0.0503442,0.899725,0.049931,0.997402,0.995501,0
246900000,4549.99,11613,5340,0.949425,0.99043,0.000201146,0,0,0,0,0,1,0,0,0,0.0514302,0.898146,0.0504242,0.99939,0.998889,0
219002051,2864.78,19287.1,5400,0.94936,0.99008,0.000137903,0,0,0,0,1,0,0,0,0,0.0487291,0.901048,0.0502231,0.997582,0.992927,0
246900000,4672.97,11891.1,5400,0.949211,0.98939,0.000161445,0,0,0,0,0,1,0,0,0,0.0498133,0.900408,0.049779,0.99947,0.99791,0
219002051,3028.24,19161.8,5460,0.950477,0.99016,0.000248459,0,0,0,0,1,0,0,0,0,0.0499204,0.899863,0.0502163,0.997501,0.992911,0
246900000,4795.97,12169.1,5460,0.95092,0.99026,0.000234988,0,0,0,0,0,1,0,0,0,0.0493704,0.899615,0.0510147,0.99951,0.997439,0
219002051,3191.81,19036.5,5520,0.949939,0.99021,0.00020031,0,0,0,0,1,0,0,0,0,0.0502307,0.899522,0.0502477,0.997492,0.992479,0
246900000,4918.99,12447.2,5520,0.950157,0.98998,0.00017949,0,0,0,0,0,1,0,0,0,0.0503214,0.899252,0.0504261,0.99947,0.997219,0
219002051,3355.27,18911.2,5580,0.949678,0.98946,0.000168814,0,0,0,0,1,0,0,0,0,0.0500083,0.898724,0.0512672,0.997452,0.988688,0
246900000,5042.03,12725.3,5580,0.94934,0.9902,0.00019467,0,0,0,0,0,1,0,0,0,0.050145,0.900274,0.0495815,0.99945,0.995307,0
219002051,3518.74,18785.9,5640,0.949505,0.98969,0.000206384,0,0,0,0,1,0,0,0,0,0.0499665,0.899693,0.0503404,0.997532,0.988923,0
246900000,5165.09,13003.3,5640,0.949686,0.99057,0.000196399,0,0,0,0,0,1,0,0,0,0.0499023,0.900454,0.0496434,0.999479,0.993673,0
219002051,3682.33,18660.6,5700,0.948408,0.98971,0.000153531,0,0,0,0,1,0,0,0,0,0.0492601,0.901368,0.0493717,0.997471,0.988674,0
