mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
211237730,24416.9,-560.67,5460,0.979188,0.985717,3.18828e-05,0,1,0,0,0,0.0494452,0.880022,0.0705325,0.122506
261146000,31764.8,5705.41,5460,0.980294,0.989928,0,1,0,0,0,0,0.0351303,0.91272,0.0521496,0.124023
211237730,24570.4,-651.766,5520,0.837327,0.988513,0.00014124,0,1,0,0,0,0.0476244,0.902628,0.0497473,0.0192245
261146000,31633.2,5629.99,5520,0.979168,0.989592,1.49327e-05,1,0,0,0,0,0.034203,0.914679,0.0511181,0.12669
211237730,24724.3,-763.354,5580,0.836907,0.989534,0.000148682,0,1,0,0,0,0.0466577,0.903652,0.0496906,0.0207454
261146000,31490.3,5556.6,5580,0.979735,0.989997,1.2912e-05,1,0,0,0,0,0.0353987,0.915136,0.0494652,0.123676
211237730,24915.7,-843.403,5640,0.835269,0.987327,0,0,1,0,0,0,0.0514307,0.899391,0.0491783,0.0224061
261146000,31357.5,5465.7,5640,0.979738,0.990131,2.21821e-05,1,0,0,0,0,0.0354333,0.913984,0.0505832,0.125863
211237730,25080.7,-875.902,5700,0.977176,0.988128,0.000171236,0,1,0,0,0,0.0517821,0.89775,0.0504683,0.000274778
261146000,31211.9,5375.29,5700,0.979572,0.989594,9.54375e-06,1,0,0,0,0,0.0349688,0.914461,0.0505705,0.125707
211237730,25228.5,-907.151,5760,0.976927,0.98829,0.000169806,0,1,0,0,0,0.0489252,0.89911,0.0519644,0.000318384
261146000,31075.2,5275.04,5760,0.980345,0.989678,1.22925e-05,1,0,0,0,0,0.0351032,0.914414,0.0504824,0.125264
211237730,25403.7,-957.457,5820,0.976618,0.987726,0.000126752,0,1,0,0,0,0.0460134,0.904862,0.0491245,0.000399605
261146000,30942.1,5181.74,5820,0.979714,0.989879,7.06731e-06,1,0,0,0,0,0.0367612,0.911557,0.0516814,0.125463
211237730,25593.1,-1001.5,5880,0.978897,0.987556,0.0001339,0,1,0,0,0,0.0528597,0.900245,0.0468955,0.000348449
261146000,30813.9,5095.21,5880,0.979757,0.989911,1.19177e-05,1,0,0,0,0,0.0355228,0.914225,0.0502521,0.12711
211237730,25767.6,-1052.51,5940,0.9772,0.987737,0.000122514,0,1,0,0,0,0.0463959,0.904352,0.0492519,0.000310182
261146000,30696.9,5000.75,5940,0.980467,0.990187,7.8924e-06,1,0,0,0,0,0.0359256,0.91414,0.0499346,0.126791
211237730,25956.2,-1098.51,6000,0.978314,0.987725,0.000129791,0,1,0,0,0,0.0529844,0.897338,0.0496773,0.000305346
261146000,30560.9,4909.34,6000,0.977194,0.978241,8.7996e-05,1,0,0,0,0,0.0623865,0.883218,0.0543953,0.00157197
211237730,26124.7,-1125.81,6060,0.975762,0.987575,0.00014376,0,1,0,0,0,0.0526073,0.897451,0.0499412,0.000392114
261146000,30439.8,4808.39,6060,0.979765,0.984081,0.000129084,0,0,1,0,0,0.0727036,0.879174,0.0481225,0.000727106
211237730,26283.6,-1195.52,6120,0.977692,0.987111,0.000135693,0,1,0,0,0,0.0571937,0.893191,0.0496148,0.000363151
261146000,30302.5,4737.32,6120,0.97822,0.984062,0.000153289,0,0,1,0,0,0.0546862,0.896434,0.0488802,0.00173035
211237730,26464.9,-1248.3,6180,0.978384,0.987598,0.000141603,0,1,0,0,0,0.0539986,0.895758,0.0502433,0.000334152
261146000,30182.5,4640.82,6180,0.976844,0.985132,0.000128259,1,0,0,0,0,0.0497581,0.899848,0.0503935,0.000390419
211237730,26620,-1283.21,6240,0.981698,0.988287,0.000120438,0,1,0,0,0,0.0643095,0.890109,0.0455814,0.000325673
261146000,30063,4569.07,6240,0.972563,0.983042,0.000149631,0,0,1,0,0,0.0444784,0.904021,0.0515003,0.000820625
211237730,26779.3,-1349.51,6300,0.981586,0.987331,0.000159923,0,1,0,0,0,0.026259,0.916272,0.0574688,0.000470249
261146000,29947,4488.44,6300,0.978242,0.979921,0.000138363,1,0,0,0,0,0.0572184,0.893481,0.0493005,0.00102142
211237730,26953.9,-1413.84,6360,0.988955,0.985715,0.000145474,0,1,0,0,0,0.103627,0.845039,0.0513336,0.000380367
261146000,29834.9,4400.54,6360,0.976305,0.982174,0.00013838,0,0,1,0,0,0.0557051,0.893282,0.051013,0.000683996
211237730,27111.9,-1444.75,6420,0.996827,0.990233,0.000136297,0,1,0,0,0,0.000676202,0.955479,0.0438447,0.00016156
261146000,29710.5,4318.54,6420,0.977718,0.98042,0.000135152,0,0,1,0,0,0.0561011,0.894105,0.0497938,0.00134542
211237730,27277.7,-1491.44,6480,0.904116,0.983748,0.000155298,0,1,0,0,0,0.00102796,0.957374,0.0415979,0.00040368
261146000,29612,4229.79,6480,0.979582,0.987983,0.000145822,0,0,1,0,0,0.0342225,0.913933,0.051844,0.000471699
211237730,27458.2,-1537.17,6540,0.941233,0.875705,0.00189327,0,1,0,0,0,0.00019735,0.116025,0.883778,0.00582391
261146000,29499.9,4159.49,6540,0.97523,0.98906,0.000134765,0,0,1,0,0,0.018564,0.934044,0.047392,0.000315228
211237730,27622.5,-1568.37,6600,0.937534,0.812828,0.00282674,0,1,0,0,0,0.000387019,0.17713,0.822483,0.000742929
261146000,29396.5,4084.96,6600,0.974511,0.986185,0.000142953,0,0,1,0,0,0.00207373,0.94331,0.0546162,0.000598889
211237730,27745,-1550.57,6660,0.967338,0.709644,0.00172158,0,1,0,0,0,0.0117889,0.273809,0.714402,0.000475488
261146000,29287.5,4011.2,6660,0.976909,0.992376,0.000122633,0,0,1,0,0,6.64865e-06,0.948958,0.0510355,2.87609e-05
211237730,27753.9,-1518.42,6720,0.54219,0.399885,0.404673,1,0,0,0,0,0.000314854,0.380431,0.619254,0.847036
261146000,29198,3933.31,6720,0.0365037,0.0369062,0.0372764,0,1,0,0,0,0.00173732,0.975586,0.0226766,0.99972
211237730,27685.8,-1461.63,6780,0.45236,0.456644,0.461203,1,0,0,0,0,0.0604181,0.375918,0.563664,0.997588
261146000,29108.2,3856.2,6780,0.985534,0.0121632,0.0122873,0,1,0,0,0,0.000632254,0.984529,0.0148383,0.0255172
211237730,27607,-1362.63,6840,0.504342,0.509131,0.515746,1,0,0,0,0,0.00304406,0.483594,0.513362,1
