mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
219022165,-35550,-11937.9,180,0.980192,0.985927,2.16126e-05,0,1,0,0,0,0.0486661,0.879897,0.0714366,0.306481
244150372,-35664.5,-4943.49,180,0.97998,0.989632,1.76109e-05,1,0,0,0,0,0.0351929,0.914039,0.0507679,0.314928
219022165,-35607,-11648.5,240,0.980372,0.985817,0,0,1,0,0,0,0.0494951,0.878578,0.0719268,0.354561
244150372,-35571.2,-5106.66,240,0.980647,0.989663,1.50447e-05,1,0,0,0,0,0.0348377,0.913164,0.0519986,0.367814
219022165,-35652.6,-11360.2,300,0.97984,0.9865,5.25405e-05,0,1,0,0,0,0.0488016,0.8798,0.0713984,0.470298
244150372,-35474.8,-5270.98,300,0.979722,0.989565,1.92874e-05,1,0,0,0,0,0.0362727,0.914241,0.0494863,0.482658
219022165,-35708.1,-11077.9,360,0.979879,0.985507,1.32908e-06,0,0,1,0,0,0.0472484,0.878793,0.0739588,0.989694
244150372,-35442.1,-5456.05,360,0.976859,0.18761,0.000822915,0,1,0,0,0,0.0519577,0.934115,0.013927,0.806877
219022165,-35756.4,-10790.5,420,0.979391,0.9848,1.63085e-05,1,0,0,0,0,0.0247533,0.900729,0.0745174,0.769081
244150372,-35561.6,-5609.04,420,0.886133,0.904632,0.00500381,0,1,0,0,0,0.0770523,0.882033,0.0409143,0.0763213
219022165,-35833.8,-10507.1,480,0.813672,0.388597,0.0110949,1,0,0,0,0,0.457566,0.519495,0.0229392,0.613764
244150372,-35728.4,-5680.69,480,0.0282573,0.145242,0.0298413,0,1,0,0,0,0.0367151,0.921327,0.0419583,0.988799
219022165,-35958.2,-10242.8,540,0.698166,0.0309337,0.0256082,1,0,0,0,0,0.688511,0.294042,0.017447,1
244150372,-35855.5,-5810.48,540,0.0978943,0.107408,0.0992726,0,1,0,0,0,0.0416992,0.905687,0.052614,0.991198
219022165,-36116,-9994.7,600,0.636117,0.0251309,0.0167751,1,0,0,0,0,0.63562,0.346059,0.0183206,0.998596
244150372,-35990.8,-5941.13,600,0.0547545,0.0625193,0.0561568,0,1,0,0,0,0.0478714,0.898439,0.0536894,0.989091
219022165,-36269.5,-9754.03,660,0.0997917,0.131178,0.101064,1,0,0,0,0,0.035195,0.907253,0.057552,0.973097
244150372,-36100.1,-6083.01,660,0.0674227,0.07724,0.0687653,0,1,0,0,0,0.0479708,0.907486,0.0445433,0.982771
219022165,-36434.4,-9510.28,720,0.100757,0.119935,0.102054,1,0,0,0,0,0.051547,0.905448,0.043005,0.984424
244150372,-36213.6,-6234.63,720,0.0678739,0.077436,0.069225,0,1,0,0,0,0.0430425,0.908753,0.0482041,0.982003
219022165,-36602.2,-9265.43,780,0,0.0339238,0.00137441,1,0,0,0,0,0.0461655,0.910594,0.0432403,0.977401
244150372,-36326.6,-6386.09,780,0.0638402,0.0676912,0.0651858,0,1,0,0,0,0.0528094,0.896197,0.050994,0.992182
219022165,-36765.7,-9025.02,840,0,0.0164495,0.00132076,1,0,0,0,0,0.0413422,0.914615,0.0440427,0.996858
244150372,-36445.8,-6535.2,840,0.0649325,0.0656742,0.0662949,0,1,0,0,0,0.0471957,0.898289,0.0545149,0.984969
219022165,-36920,-8789.9,900,0,0.00138581,0.00139937,1,0,0,0,0,0.021385,0.963228,0.0153869,0.970956
244150372,-36557.5,-6680.86,900,0.0662184,0.0669117,0.0675343,0,1,0,0,0,0.0479535,0.90325,0.0487963,0.989724
219022165,-37084.6,-8550.98,960,0,0.00119462,0.00120716,1,0,0,0,0,6.04193e-05,0.930541,0.0693985,0.999988
244150372,-36653.2,-6840.23,960,0.072061,0.0729648,0.0736326,0,1,0,0,0,0.0230352,0.944358,0.0326066,0.999259
219022165,-37081.8,-8285.14,1020,0,0.989843,1,1,0,0,0,0,0.05077,0.899901,0.0493294,0.999336
244150372,-36756.9,-6997.21,1020,0.0437342,0.0447328,0.0449873,0,1,0,0,0,0.098666,0.875863,0.0254706,0.999999
219022165,-36958.3,-8022.75,1080,0,0.989818,1,1,0,0,0,0,0.0495095,0.900867,0.0496239,0.997811
244150372,-36862.8,-7155.04,1080,0.00860512,0.00108992,0.00970623,0,1,0,0,0,0.142846,0.857098,5.56696e-05,0.999997
219022165,-36826.7,-7768.89,1140,0,0.989782,1,1,0,0,0,0,0.0499525,0.899242,0.0508054,0.997927
244150372,-36964.5,-7312.63,1140,0,0.00156967,0.00158556,0,1,0,0,0,8.26892e-05,0.999837,8.07158e-05,0.999997
219022165,-36743.7,-7499.54,1200,0,0.990148,1,1,0,0,0,0,0.0501174,0.89995,0.0499329,0.998734
244150372,-37062.5,-7470.77,1200,0,0.989992,1,0,1,0,0,0,0.049033,0.899676,0.0512908,0.998815
219022165,-36721.9,-7213.36,1260,0,0.989577,1,1,0,0,0,0,0.0497911,0.899848,0.0503609,0.998042
244150372,-37145.7,-7575.23,1260,0,0.00255948,0.00258529,0,1,0,0,0,0.000125097,0.999745,0.000129944,0.999995
