mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
210445000,10683.2,10040,240,0.980183,0.985953,1.06003e-05,0,1,0,0,0,0.0481219,0.881584,0.0702938,0.121001
219829000,16460.7,10913,240,0.979793,0.990203,8.81086e-06,1,0,0,0,0,0.0353495,0.911833,0.0528174,0.125217
210445000,10730.9,9837.07,300,0.979861,0.986357,3.16077e-05,0,1,0,0,0,0.048533,0.881149,0.070318,0.120504
219829000,16413.1,10775.4,300,0.979683,0.989739,0,1,0,0,0,0,0.0335105,0.915421,0.0510686,0.125497
210445000,10779.6,9630.41,360,0.981066,0.985829,3.46205e-05,0,1,0,0,0,0.0482055,0.881831,0.0699639,0.122258
219829000,16368,10637.3,360,0.979716,0.989749,6.4596e-06,1,0,0,0,0,0.0346735,0.915022,0.0503043,0.12461
210445000,10873.2,9462.52,420,0.930634,0.943915,0.00154172,0,1,0,0,0,0.0640735,0.887298,0.0486288,0.0494945
219829000,16322.9,10499.2,420,0.979883,0.989289,2.82866e-05,1,0,0,0,0,0.018034,0.928843,0.0531235,0.970216
210445000,11047.7,9456.74,480,0.934522,0.952948,0.00274025,0,1,0,0,0,0.029625,0.923582,0.0467933,0.00903849
219829000,16277.8,10361.1,480,0.980252,0.99017,1.95279e-05,1,0,0,0,0,0.0183462,0.929893,0.0517604,0.225601
210445000,11262.6,9476.74,540,0.932913,0.940548,0.0025374,0,1,0,0,0,0.0470771,0.899739,0.0531837,0.0358444
219829000,16238,10223.9,540,0.980184,0.989458,0,1,0,0,0,0,0.0185596,0.930515,0.0509252,0.662683
210445000,11504.3,9421.59,600,0.845731,0.84493,0.00855446,0,1,0,0,0,0.0582606,0.896737,0.0450028,0.159356
219829000,16194.9,10080.7,600,0.979987,0.990102,1.79675e-05,1,0,0,0,0,0.0177135,0.930659,0.0516279,0.994106
210445000,11777.1,9326.92,660,0.573837,0.508654,0.0402097,0,1,0,0,0,0.0286203,0.920984,0.0503954,0.523827
219829000,16146.4,9946.41,660,0.980433,0.989979,1.24438e-05,1,0,0,0,0,0.0163284,0.931832,0.0518394,1
210445000,12038.2,9211.61,720,0.823177,0.831009,0.839907,0,1,0,0,0,0.0420006,0.915923,0.0420763,1
219829000,16079.9,9813.88,720,0.979688,0.989429,8.02208e-06,1,0,0,0,0,0.0177259,0.931246,0.051028,0.999774
210445000,12299.3,9096.31,780,0.852014,0.859806,0.869265,0,1,0,0,0,0.0520634,0.898446,0.0494905,1
219829000,16011.7,9678.49,780,0.980564,0.990299,9.25711e-06,1,0,0,0,0,0.0139778,0.935082,0.0509405,0.999525
210445000,12560.4,8981.09,840,0.793108,0.801313,0.809134,0,1,0,0,0,0.0377258,0.901909,0.0603653,1
219829000,15944.4,9545.71,840,0.9801,0.989435,8.03634e-06,1,0,0,0,0,0.015929,0.932584,0.0514868,0.998656
210445000,12821.4,8865.82,900,0.869632,0.878284,0.887279,0,1,0,0,0,0.0473885,0.909519,0.0430926,0.999998
219829000,15877.8,9413.05,900,0.980188,0.990221,8.6276e-06,1,0,0,0,0,0.0137452,0.932602,0.0536525,0.998023
210445000,13082.6,8750.56,960,0.980993,0.990751,1,0,1,0,0,0,0.060688,0.886894,0.0524179,0.999998
219829000,15809.7,9278.71,960,0.979317,0.989136,1.49229e-05,1,0,0,0,0,0.0141313,0.933943,0.0519252,0.996607
210445000,13343.7,8635.38,1020,0.980248,0.988997,1,0,1,0,0,0,0.056319,0.894378,0.049303,0.999991
219829000,15745.7,9146.99,1020,0.980765,0.990242,7.74549e-06,1,0,0,0,0,0.0160392,0.932044,0.0519171,0.994667
210445000,13603.8,8518.96,1080,0.979916,0.988426,1,0,1,0,0,0,0.0341517,0.909218,0.0566304,0.999978
219829000,15684.1,9014.24,1080,0.980223,0.989557,1.22843e-05,1,0,0,0,0,0.0114729,0.936272,0.0522549,0.991625
210445000,13844.8,8352.53,1140,0.977599,0.985532,1,0,1,0,0,0,0.0368278,0.916909,0.0462628,0.982391
219829000,15620.6,8879.58,1140,0.979681,0.989998,1.25622e-05,1,0,0,0,0,0.0156771,0.932247,0.0520754,0.984933
210445000,14068.2,8172.64,1200,0.981431,0.986575,1,0,1,0,0,0,0.0512584,0.88327,0.0654716,0.999859
219829000,15557.2,8751.25,1200,0.980166,0.988935,8.34569e-06,1,0,0,0,0,0.0170234,0.931608,0.0513686,0.98001
210445000,14291.6,7992.84,1260,0.979678,0.975977,1,0,1,0,0,0,0.0465985,0.905585,0.0478168,0.993854
219829000,15497.7,8616.88,1260,0.979731,0.99042,9.33054e-06,1,0,0,0,0,0.0166398,0.931507,0.0518536,0.970744
210445000,14515,7813,1320,0.980479,0.98165,1,0,1,0,0,0,0.000940919,0.888509,0.11055,0.857151
219829000,15438.3,8482.56,1320,0.980089,0.989994,7.50481e-06,1,0,0,0,0,0.0110694,0.937232,0.0516991,0.97058
210445000,14732.5,7615.03,1380,0.984931,0.999848,1,0,1,0,0,0,0.179761,0.819489,0.000750338,0.910455
219829000,15377.6,8349.31,1380,0.980215,0.989742,1.06098e-05,1,0,0,0,0,0.0167808,0.931793,0.0514267,0.970233
