mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
255805883,14748.4,83734.9,2400,0.978906,0.985163,1.12505e-05,0,1,0,0,0,0.047644,0.876828,0.0755279,1
259490000,14079.6,97229.1,2400,0.961419,0.985197,2.99735e-05,0.0689726,0,0.931027,0,0,0.100057,0.898464,0.00147883,0.999992
255805883,14960.3,84131.9,2460,0.978519,0.986011,1.70243e-05,0,1,0,0,0,0.0471261,0.873678,0.0791955,0.980312
259490000,14271,96606.4,2460,0.908151,0.98405,0.000105398,0.0553441,0,0.944656,0,0,0.0979077,0.898331,0.00376137,0.999924
255805883,15156.6,84536.7,2520,0.975423,0.985385,1.23979e-05,0,1,0,0,0,0.0473117,0.859418,0.0932706,0.993834
259490000,14457.5,95946.8,2520,0.849959,0.983703,0.000157499,0.0682739,0,0.931726,0,0,0.09053,0.903251,0.00621935,1
255805883,15374.4,84933.4,2580,0.970733,0.985686,3.02632e-05,0,1,0,0,0,0.0478228,0.843836,0.108341,0.985468
259490000,14652.6,95282.1,2580,0.464497,0.983998,0.000504781,0.42938,0,0.57062,0,0,0.0569861,0.923355,0.0196589,1
255805883,15598.2,85339.2,2640,0.970412,0.985529,1.7222e-05,0,1,0,0,0,0.045535,0.844398,0.110067,0.970263
259490000,14847,94616.3,2640,0,0.985275,2.32346e-05,0.979584,0,0.0204159,0,0,0.0499466,0.911322,0.0387309,0.999912
255805883,15761.2,85745.3,2700,0.958426,0.986044,5.61188e-05,0,1,0,0,0,0.0448792,0.782463,0.172658,0.997442
259490000,15058.6,93938.2,2700,0,0.985394,2.46885e-05,0.977379,0,0.022621,0,0,0.0505075,0.9058,0.043692,1
255805883,15838.5,86167.6,2760,0.9481,0.969941,7.29081e-05,0,1,0,0,0,0.0527257,0.941636,0.00563811,0.984676
259490000,15271,93249.7,2760,0,0.00171745,0.00173583,0.982636,0,0.0173635,0,0,0.0422056,0.913263,0.0445316,1
255805883,15891.9,86580.8,2820,0.947666,0.970295,9.91352e-05,0,1,0,0,0,0.0517115,0.94265,0.00563808,0.606507
259490000,15553,92588.7,2820,0,0.00155241,0.00156791,0.952154,0,0.0478456,0,0,0.0688378,0.889427,0.0417353,0.992282
255805883,15912.3,87013.2,2880,0.948594,0.969229,9.41054e-05,0,1,0,0,0,0.0515372,0.943016,0.00544654,0.599922
259490000,15931.8,91938,2880,0,0.00242136,0.0024446,0.901398,0,0.0986024,0,0,0.113992,0.885888,0.00011978,0.999999
255805883,15942.7,87437.8,2940,0.947911,0.970506,8.88872e-05,0,1,0,0,0,0.0499803,0.944431,0.00558881,0.709915
259490000,16292.1,91285.8,2940,0,0.990311,1,0.980292,0,0.0197079,0,0,0.0502506,0.900425,0.049324,0.999858
255805883,15983.8,87875,3000,0.948685,0.971383,8.45873e-05,0,1,0,0,0,0.0473991,0.947096,0.00550475,0.769917
259490000,16670.6,90610.1,3000,0,0.987228,1,0.97723,0,0.0227698,0,0,0.0494488,0.899933,0.0506185,1
255805883,16083.3,88312.6,3060,0.947484,0.970179,8.93112e-05,0,1,0,0,0,0.0600493,0.934394,0.00555642,0.856507
259490000,17019.9,89952.4,3060,0,0.989751,1,0.979707,0,0.0202933,0,0,0.0515872,0.899944,0.0484693,1
255805883,16242.8,88733.1,3120,0.947396,0.969761,8.75817e-05,0,1,0,0,0,0.0576748,0.936748,0.00557699,0.896637
259490000,17381.8,89278.2,3120,0,0.989938,1,0.9792,0,0.0208005,0,0,0.0506913,0.899338,0.0499703,1
255805883,16471.3,89116.5,3180,0.947015,0.970822,8.88839e-05,0,1,0,0,0,0.0509575,0.943413,0.00562931,0.895981
259490000,17750.9,88581.2,3180,0,0.990456,1,0.980441,0,0.0195585,0,0,0.0504383,0.893671,0.0558904,1
255805883,16716.5,89503,3240,0.946637,0.967964,8.70203e-05,0,1,0,0,0,0.0468872,0.947442,0.00567028,0.883945
259490000,18122.3,87900.7,3240,0,0.990064,1,0.980003,0,0.0199968,0,0,0.0479858,0.90357,0.0484439,1
255805883,16966.3,89883.7,3300,0.948997,0.970347,8.23842e-05,0,1,0,0,0,0.0569324,0.937661,0.00540682,0.889898
259490000,18489.9,87213.9,3300,0,0.989746,1,0.979844,0,0.0201558,0,0,0.0512096,0.898967,0.0498238,1
255805883,17219.8,90260.6,3360,0.947267,0.97037,8.77365e-05,0,1,0,0,0,0.0515084,0.942762,0.00572935,0.92509
259490000,18859.3,86518.2,3360,0,0.989936,1,0.979634,0,0.0203663,0,0,0.0506576,0.898999,0.0503434,1
255805883,17471,90636,3420,0.948131,0.971296,8.58435e-05,0,1,0,0,0,0.0525241,0.941944,0.00553202,0.922413
259490000,19223.4,85829.3,3420,0,0.990005,1,0.980738,0,0.0192616,0,0,0.0523303,0.899127,0.0485431,1
255805883,17729.1,91019,3480,0.948979,0.970879,8.12576e-05,0,1,0,0,0,0.0585336,0.936047,0.00541963,0.926898
259490000,19598.3,85118.3,3480,0,0.989759,1,0.980576,0,0.019424,0,0,0.0503986,0.901149,0.0484529,1
255805883,17984.8,91391.9,3540,0.948905,0.969222,8.41093e-05,0,1,0,0,0,0.0500838,0.944477,0.00543944,0.885645
259490000,19962.6,84431.7,3540,0,0.990035,1,0.979411,0,0.0205886,0,0,0.0498229,0.898721,0.051456,1
