mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
211237730,26726.9,-130.557,7500,0.98005,0.98952,9.3828e-06,0,0,1,0,0,0,0,0.0501917,0.899418,0.0503899,0.99985,0.99985
261146000,27793.7,3014.29,7500,0.97988,0.98971,0,0,0,0,1,0,0,0,0.0493831,0.899597,0.0510194,0.998295,0.998295
211237730,26643.9,-25.9095,7560,0.98003,0.99024,8.70822e-06,0,0,1,0,0,0,0,0.0506834,0.898577,0.0507398,0.99986,0.989273
261146000,27696.4,2942.38,7560,0.980011,0.98978,7.50224e-06,0,0,0,1,0,0,0,0.0503014,0.898732,0.0509671,0.99834,0.988589
211237730,26571,94.9437,7620,0.98029,0.98987,8.03539e-06,0,0,1,0,0,0,0,0.0499597,0.900481,0.0495596,0.99992,0.99894
261146000,27593.1,2878.2,7620,0.980125,0.98997,6.3449e-06,0,0,0,1,0,0,0,0.0494244,0.900011,0.0505644,0.998662,0.995193
211237730,26493.1,207.403,7680,0.97999,0.99037,0,0,0,1,0,0,0,0,0.0504598,0.900258,0.0492825,0.99993,0.982849
261146000,27494.7,2806.99,7680,0.979908,0.99031,2.14759e-05,0,0,0,1,0,0,0,0.0509153,0.898752,0.0503329,0.998827,0.983149
211237730,26415.1,337.379,7740,0.980352,0.99012,6.83701e-06,0,0,1,0,0,0,0,0.0505995,0.900317,0.0490833,0.99999,0.99999
261146000,27375.1,2746.81,7740,0.970833,0.0655059,0.00137998,1,0,0,1,0,0,0,0.0641515,0.928468,0.00738083,0.935874,0.935874
211237730,26314.9,450.028,7800,0.980036,0.99,1.8918e-05,0,0,1,0,0,0,0,0.0481803,0.902088,0.0497317,1,0.99922
261146000,27260.7,2679.11,7800,0.976391,0.0661891,0.00143125,1,0,0,1,0,0,0,0.057835,0.939511,0.00265365,0.934591,0.929473
211237730,26215.4,577.873,7860,0.706928,0.99009,0.000162226,0,0,1,0,0,0,0,0.720723,0.264337,0.0149401,0.999777,0.995282
261146000,27150.4,2620.05,7860,0.985239,0.0616575,0.00214902,1,0,0,1,0,0,0,0.0551256,0.940758,0.00411653,0.939766,0.9317
211237730,26131.5,708.939,7920,0.71397,0.99012,9.71871e-05,0,0,1,0,0,0,0,0.728189,0.257658,0.0141533,1,0.97349
261146000,27038.1,2559.31,7920,0.978553,0.0674658,0.00133379,1,0,0,1,0,0,0,0.0552154,0.938788,0.00599652,0.933477,0.910694
211237730,26037.3,843.705,7980,0.69674,0.98963,0.000232409,0,0,1,0,0,0,0,0.711325,0.273791,0.0148841,0.999996,0.999233
261146000,26929.7,2496.31,7980,0.979453,0.0452211,0.0016237,1,0,0,1,0,0,0,0.0518321,0.943878,0.00428999,0.955511,0.948933
211237730,25947.5,975.498,8040,0.714158,0.98997,4.35471e-05,0,0,1,0,0,0,0,0.728154,0.257553,0.0142929,1,0.973425
261146000,26821,2425.74,8040,0.98004,0.0452288,0.00157001,1,0,0,1,0,0,0,0.0566176,0.938341,0.00504115,0.956284,0.931231
211237730,25848,1095.03,8100,0.721093,0.98935,0.000182714,0,0,1,0,0,0,0,0.734545,0.251569,0.0138866,1,0.994137
261146000,26726,2365.34,8100,0.982132,0.09742,0.00180036,1,0,0,1,0,0,0,0.055326,0.940774,0.00389984,0.903098,0.887818
211237730,25771.3,1223.67,8160,0.707705,0.9897,0.000174549,0,0,1,0,0,0,0,0.721845,0.263448,0.0147069,1,0.995255
261146000,26625.6,2302.38,8160,0.979971,0.0793751,0.00148432,1,0,0,1,0,0,0,0.0485143,0.948063,0.00342221,0.921829,0.913647
211237730,25681.2,1352.03,8220,0.702027,0.98959,0.000236134,0,0,1,0,0,0,0,0.716324,0.268995,0.0146804,1,0.997747
261146000,26512.2,2244.91,8220,0.98164,0.0574077,0.00154087,1,0,0,1,0,0,0,0.0695014,0.925666,0.00483232,0.944085,0.935208
211237730,25604.4,1484.67,8280,0.706141,0.98992,2.93261e-06,0,0,1,0,0,0,0,0.72027,0.265016,0.0147137,1,0.976213
261146000,26405.2,2188.38,8280,0.980457,0.0817678,0.00156835,1,0,0,1,0,0,0,0.0469648,0.948672,0.00436313,0.918653,0.909444
211237730,25504.2,1623.82,8340,0,0.98985,1.07856e-05,0,0,1,0,0,0,0,0.0475122,0.901037,0.0514507,1,0.993223
261146000,26290.8,2124.41,8340,0.984338,0.00562222,0.00145786,1,0,0,1,0,0,0,0.0554948,0.939162,0.00534328,0.995325,0.980918
211237730,25437.4,1758.8,8400,0.0041617,0.98963,0.0041726,0,0,1,0,0,0,0,0.0472553,0.902838,0.0499069,1,0.989369
261146000,26179.4,2057.93,8400,0.981938,0.216989,0.00102737,1,0,0,1,0,0,0,0.0420862,0.954735,0.00317928,0.783409,0.773753
211237730,25333.6,1888.73,8460,0.00504362,0.98985,0.00505449,0,0,1,0,0,0,0,0.0534829,0.897321,0.0491966,1,0.988989
261146000,26068,1988.88,8460,0.97383,0.0040022,0.00145409,1,0,0,1,0,0,0,0.0475337,0.948754,0.00371274,0.997394,0.978901
211237730,25235.1,2027.49,8520,0,0.99013,1.07229e-05,0,0,1,0,0,0,0,0.0483974,0.902328,0.0492744,1,0.989185
261146000,25949.8,1924.01,8520,0.980999,0.00686142,0.00187612,1,0,0,1,0,0,0,0.0571194,0.936635,0.00624541,0.99496,0.985166
211237730,25132.9,2175.67,8580,0,0.98988,1.08876e-05,0,0,1,0,0,0,0,0.0488153,0.901499,0.0496853,0.999982,0.988589
261146000,25832.8,1853.65,8580,0.973994,0.00565358,0.00168155,1,0,0,1,0,0,0,0.0520152,0.94279,0.00519432,0.995981,0.981033
211237730,25012.5,2315.58,8640,0,0.9902,1.06929e-05,0,0,1,0,0,0,0,0.0472381,0.902689,0.0500728,1,0.992935
