mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.97985,0.99057,0.00112938,0,0,1,0,0,0,0,0.047842,0.901933,0.0502246,0.99999,0.99999
244150372,-35855.5,-5810.48,540,0.980106,0.98991,0.00117975,0,0,0,1,0,0,0,0.0495943,0.89765,0.0527561,0.998951,0.998951
219022165,-36116,-9994.7,600,0.980277,0.99018,0.00115085,0,0,1,0,0,0,0,0.0473557,0.902765,0.0498791,0.99998,0.999758
244150372,-35990.8,-5941.13,600,0.980246,0.98983,0.00104192,0,0,0,1,0,0,0,0.04997,0.897198,0.0528318,0.999055,0.997018
219022165,-36269.5,-9754.03,660,0.980404,0.99018,0.000957075,0,0,1,0,0,0,0,0.0458244,0.903595,0.0505801,0.999979,0.995138
244150372,-36100.1,-6083.01,660,0.979077,0.98956,0.00126643,0,1,0,1,0,0,0,0.0541608,0.944486,0.00135336,0.999181,0.992538
219022165,-36434.4,-9510.28,720,0.980304,0.9901,0.00114117,0,0,1,0,0,0,0,0.0458995,0.90457,0.0495309,0.99998,0.996142
244150372,-36213.6,-6234.63,720,0.979086,0.99026,0.00115683,0,1,0,1,0,0,0,0.0518611,0.94695,0.00118896,0.999049,0.992868
219022165,-36602.2,-9265.43,780,0.980108,0.98934,0.000833293,0,0,1,0,0,0,0,0.045019,0.904619,0.050362,0.99999,0.998313
244150372,-36326.6,-6386.09,780,0.979028,0.98987,0.00122833,0,1,0,1,0,0,0,0.0525311,0.94647,0.000998668,0.999122,0.994989
219022165,-36765.7,-9025.02,840,0.979728,0.98997,0.000923276,0,0,1,0,0,0,0,0.0452276,0.905557,0.0492151,0.999971,0.996037
244150372,-36445.8,-6535.2,840,0.979706,0.98988,0.00122819,0,1,0,1,0,0,0,0.0540587,0.944845,0.00109612,0.998979,0.992575
219022165,-36920,-8789.9,900,0.979778,0.99008,0.000938813,0,0,1,0,0,0,0,0.0436394,0.906694,0.0496662,0.999971,0.996334
244150372,-36557.5,-6680.86,900,0.979038,0.9906,0.00127284,0,1,0,1,0,0,0,0.0523685,0.94649,0.0011411,0.999053,0.992197
219022165,-37084.6,-8550.98,960,0.980494,0.98985,0.00102068,0,0,1,0,0,0,0,0.0425238,0.909022,0.0484538,0.999971,0.988648
244150372,-36653.2,-6840.23,960,0.978959,0.99027,0.00125248,0,1,0,1,0,0,0,0.0542013,0.944927,0.000871295,0.999285,0.988239
219022165,-37081.8,-8285.14,1020,0.0704507,0.99003,0.0718356,1,0,1,0,0,0,0,0.0460174,0.907119,0.0468632,1,0.999072
244150372,-36756.9,-6997.21,1020,0.905556,0.916754,0.5824,0,1,0,1,0,0,0,0.0341394,0.93726,0.0286001,0.65892,0.658786
219022165,-36958.3,-8022.75,1080,0.0636639,0.99025,0.0650503,1,0,1,0,0,0,0,0.046376,0.906447,0.0471772,1,0.998523
244150372,-36862.8,-7155.04,1080,0.906113,0.918909,0.650698,0,1,0,1,0,0,0,0.0355428,0.92945,0.0350069,0.725135,0.724242
219022165,-36826.7,-7768.89,1140,0,0.98988,0.00147381,1,0,1,0,0,0,0,0.0492266,0.900541,0.0502322,1,0.998236
244150372,-36964.5,-7312.63,1140,0.845245,0.863486,0.862389,0,1,0,1,0,0,0,0.0528132,0.901566,0.0456204,0.990301,0.989146
219022165,-36743.7,-7499.54,1200,0.0985992,0.98974,0.099977,1,0,1,0,0,0,0,0.0433094,0.912506,0.0441847,0.999984,0.999131
244150372,-37062.5,-7470.77,1200,0.868114,0.877615,0.885992,0,1,0,1,0,0,0,0.0572495,0.895244,0.0475064,0.999742,0.99917
219022165,-36721.9,-7213.36,1260,0,0.99037,0.00150583,1,0,1,0,0,0,0,0.0471635,0.901494,0.0513423,0.999981,0.998297
244150372,-37145.7,-7575.23,1260,0.873359,0.901335,0.89112,0,1,0,1,0,0,0,0.0805325,0.871107,0.048361,0.981061,0.980137
219022165,-36739.1,-6925.13,1320,0.19358,0.98996,0.194809,1,0,1,0,0,0,0,0.0394753,0.919334,0.0411905,1,0.805068
244150372,-37225.5,-7669.94,1320,0.92706,0.935865,0.945863,0,1,0,1,0,0,0,0.0459786,0.907107,0.0469148,0.99957,0.998333
219022165,-36778.6,-6638.45,1380,0,0.98975,0.00148043,1,0,1,0,0,0,0,0.0485768,0.901034,0.0503894,0.999954,0.998374
244150372,-37305.3,-7764.65,1380,0.908135,0.917036,0.926598,0,1,0,1,0,0,0,0.0448379,0.908024,0.047138,0.999764,0.998782
219022165,-36821.3,-6356.3,1440,0.355896,0.99017,0.356874,1,0,1,0,0,0,0,0.031319,0.935415,0.0332657,1,0.999089
244150372,-37385.1,-7859.37,1440,0.882026,0.890801,0.899969,0,1,0,1,0,0,0,0.0968222,0.855458,0.04772,0.999822,0.998639
219022165,-36866.5,-6071.68,1500,0,0.99054,0.00150383,1,0,1,0,0,0,0,0.0494613,0.899881,0.0506578,1,0.996838
244150372,-37464.9,-7954.09,1500,0.795291,0.802617,0.811363,0,1,0,1,0,0,0,0.0416914,0.916946,0.0413629,0.999864,0.9975
