mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-36269.5,-9754.03,660,0.95117,0.97931,0.005408,0,0,0,0,1,0,0,0,0,0.0505682,0.928896,0.0205355,0.995305,0.995305
244150372,-36100.1,-6083.01,660,0.95204,0.97932,0.00519,0,0,0,1,0,1,0,0,0,0.05099,0.92791,0.0211,0.99292,0.99292
219022165,-36434.4,-9510.28,720,0.9499,0.97943,0.00546134,0,0,0,0,1,0,0,0,0,0.0499555,0.929985,0.0200597,0.99676,0.996373
244150372,-36213.6,-6234.63,720,0.950495,0.98082,0.00520934,0,0,0,0,0,1,0,0,0,0.0527044,0.925896,0.0213999,0.994581,0.992873
219022165,-36602.2,-9265.43,780,0.949246,0.97979,0.00505923,0,0,0,0,1,0,0,0,0,0.0464505,0.933037,0.0205128,0.998224,0.998224
244150372,-36326.6,-6386.09,780,0.950757,0.98029,0.00545607,0,0,0,0,0,1,0,0,0,0.0503346,0.926561,0.0231039,0.996196,0.995134
219022165,-36765.7,-9025.02,840,0.949847,0.97954,0.00519361,0,0,0,0,1,0,0,0,0,0.0483335,0.930093,0.0215737,0.998002,0.995943
244150372,-36445.8,-6535.2,840,0.94996,0.97964,0.00523103,0,0,0,0,0,1,0,0,0,0.051364,0.926221,0.0224149,0.995965,0.992283
219022165,-36920,-8789.9,900,0.949115,0.97991,0.00480449,0,0,0,0,1,0,0,0,0,0.0465003,0.932939,0.0205605,0.998342,0.996267
244150372,-36557.5,-6680.86,900,0.950656,0.98021,0.0059333,0,0,0,0,0,1,0,0,0,0.0517587,0.924505,0.0237363,0.996526,0.992329
219022165,-37084.6,-8550.98,960,0.949802,0.97925,0.00510375,0,0,0,0,1,0,0,0,0,0.0458591,0.933941,0.0201996,0.99825,0.988738
244150372,-36653.2,-6840.23,960,0.9491,0.97966,0.00566908,0,1,0,1,0,1,0,0,0,0.0532417,0.94541,0.00134845,0.996157,0.988592
219022165,-37081.8,-8285.14,1020,0.579207,0.98016,0.0615269,1,0,0,1,1,0,0,0,0,0.548179,0.441936,0.00988541,0.995935,0.99551
244150372,-36756.9,-6997.21,1020,0.850048,0.869772,0.836249,0,1,0,0,0,1,0,0,0,0.0504505,0.927859,0.0216907,0.941961,0.941736
219022165,-36958.3,-8022.75,1080,0.585474,0.97978,0.0632292,1,0,0,1,1,0,0,0,0,0.553645,0.436248,0.0101071,0.997862,0.995525
244150372,-36862.8,-7155.04,1080,0.84236,0.870614,0.801888,0,1,0,0,0,1,0,0,0,0.0494521,0.932353,0.0181954,0.913154,0.912181
219022165,-36826.7,-7768.89,1140,0.13172,0.98078,0.138263,1,0,0,0,1,0,0,0,0,0.0522574,0.927213,0.0205295,0.999652,0.99813
244150372,-36964.5,-7312.63,1140,0.841419,0.86238,0.802426,0,1,0,0,0,1,0,0,0,0.0464631,0.935513,0.0180238,0.91773,0.916378
219022165,-36743.7,-7499.54,1200,0.105833,0.97921,0.11258,1,0,0,1,1,0,0,0,0,0.0581665,0.913282,0.0285518,0.999662,0.998941
244150372,-37062.5,-7470.77,1200,0.856497,0.883235,0.809513,0,1,0,0,0,1,0,0,0,0.0576051,0.925081,0.017314,0.909325,0.908785
219022165,-36721.9,-7213.36,1260,0.091932,0.9801,0.0987412,1,0,0,1,1,0,0,0,0,0.0526813,0.928765,0.0185536,0.999611,0.99804
244150372,-37145.7,-7575.23,1260,0.849286,0.877231,0.803234,0,1,0,0,0,1,0,0,0,0.0471416,0.932646,0.0202125,0.909512,0.908713
219022165,-36739.1,-6925.13,1320,0.158627,0.97987,0.164942,1,0,0,1,1,0,0,0,0,0.0483436,0.92356,0.0280968,0.99955,0.998257
244150372,-37225.5,-7669.94,1320,0.853594,0.881761,0.813738,0,1,0,0,0,1,0,0,0,0.066208,0.915442,0.0183504,0.915307,0.914334
219022165,-36778.6,-6638.45,1380,0.0981216,0.97977,0.104795,1,0,0,0,1,0,0,0,0,0.0527952,0.929099,0.0181061,0.999816,0.998392
244150372,-37305.3,-7764.65,1380,0.849623,0.876919,0.816192,0,1,0,0,0,1,0,0,0,0.0494805,0.932073,0.0184462,0.923129,0.92195
219022165,-36821.3,-6356.3,1440,0.116173,0.97989,0.122761,1,0,0,0,1,0,0,0,0,0.0621742,0.920257,0.0175685,0.999808,0.998532
244150372,-37385.1,-7859.37,1440,0.848537,0.878623,0.839588,0,1,0,0,0,1,0,0,0,0.0762538,0.904319,0.019427,0.944965,0.943129
219022165,-36866.5,-6071.68,1500,0.113069,0.97949,0.119722,1,0,0,0,1,0,0,0,0,0.0511769,0.93032,0.0185026,0.999573,0.997883
244150372,-37464.9,-7954.09,1500,0.849337,0.880329,0.856941,0,1,0,0,0,1,0,0,0,0.0477446,0.932277,0.0199789,0.959073,0.956807
