mmsi,times,x,y,sog,cog
230965000,2018-05-09 02:27:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:28:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:29:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:30:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:31:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:32:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:33:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:34:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:35:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:36:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:37:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:38:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:39:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:40:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:41:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:42:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:43:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:44:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:45:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:46:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:47:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:48:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:49:00,32799.1016011767,150916.944490957,NaN,NaN
230965000,2018-05-09 02:50:00,32999.8995494263,150689.142947044,12.9,313.1
230965000,2018-05-09 02:51:00,33255.6127031877,150388.411441494,12.8,312.6
230965000,2018-05-09 02:52:00,33512.4214533819,150086.605586532,12.8,312.5
230965000,2018-05-09 02:53:00,33773.1878104889,149785.762183051,12.8,312.2
230965000,2018-05-09 02:54:00,34025.0333102947,149484.217326224,12.8,312.9
230965000,2018-05-09 02:55:00,34283.7336405572,149180.611069543,12.7,312.4
230965000,2018-05-09 02:56:00,34536.3639901904,148878.04170992,12.7,312.1
230965000,2018-05-09 02:57:00,34791.4001925206,148576.670984652,12.7,312.9
230965000,2018-05-09 02:58:00,35049.3024687397,148279.933334146,12.7,313
230965000,2018-05-09 02:59:00,35300.5550504885,147986.69084788,12.6,312.2
230965000,2018-05-09 03:00:00,35548.5273932425,147691.582320228,12.6,312.8
230965000,2018-05-09 03:01:00,35808.1794256988,147395.308773272,12.5,312.6
230965000,2018-05-09 03:02:00,36052.2679727836,147096.489376311,12.4,307.1
230965000,2018-05-09 03:03:00,36228.350624104,146759.679190143,12,296.4
230965000,2018-05-09 03:04:00,36360.2417418468,146417.429496471,12,289.4
230965000,2018-05-09 03:05:00,36440.6025366461,146051.676707092,11.8,281.3
230965000,2018-05-09 03:06:00,36471.3404496353,145699.633170227,11.8,275
230965000,2018-05-09 03:07:00,36483.4923605527,145325.785357298,11.9,274.6
230965000,2018-05-09 03:08:00,36503.8028142207,144960.926388909,11.9,275
230965000,2018-05-09 03:09:00,36523.8206138676,144586.983462345,12,275.3
230965000,2018-05-09 03:10:00,36544.127808496,144220.173065845,12,275
230965000,2018-05-09 03:11:00,36564.0596812818,143841.902783422,12.1,275.8
230965000,2018-05-09 03:12:00,36591.8200366362,143472.815660284,12.1,276
230965000,2018-05-09 03:13:00,36622.8605393506,143101.001948857,12.1,276.2
230965000,2018-05-09 03:14:00,36643.3320718539,142725.586130098,12.1,274.3
230965000,2018-05-09 03:15:00,36656.1227410738,142352.5889489,12.1,274.5
230965000,2018-05-09 03:16:00,36672.581735832,141975.184545614,12.1,274.7
230965000,2018-05-09 03:17:00,36692.3567851207,141596.003250392,12.2,274.1
230965000,2018-05-09 03:18:00,36701.5039867701,141221.00698209,12.2,274.2
230965000,2018-05-09 03:19:00,36714.6183681033,140843.734485366,12.3,273.3
230965000,2018-05-09 03:20:00,36712.3369383122,140458.559133616,12.3,270.6
230965000,2018-05-09 03:21:00,36699.2833978169,140083.037991356,12.3,269.1
230965000,2018-05-09 03:22:00,36674.8586653035,139699.942167027,12.4,267.5
230965000,2018-05-09 03:23:00,36641.5904213699,139317.863646228,12.4,268.2
230965000,2018-05-09 03:24:00,36618.9368721552,138942.015494877,12.4,268.8
230965000,2018-05-09 03:25:00,36601.9740066904,138555.621018559,12.4,268.6
230965000,2018-05-09 03:26:00,36577.5376756668,138167.935764608,12.5,268.1
