mmsi,times,x,y,sog,cog
375219000,2018-02-01 15:50:00,21169.0245920699,17920.5467425669,NaN,NaN
375219000,2018-02-01 15:51:00,21040.9023274114,17789.1289804374,10.7,224.4
375219000,2018-02-01 15:52:00,20818.4541202605,17559.3549180717,10.5,225
375219000,2018-02-01 15:53:00,20593.3912983035,17339.9203098679,10.2,225.4
375219000,2018-02-01 15:54:00,20367.1544078082,17103.6398716192,10.4,225.3
375219000,2018-02-01 15:55:00,20127.5825782006,16871.2722869992,10.5,225
375219000,2018-02-01 15:56:00,19920.4059614065,16631.6212588405,10.6,230
375219000,2018-02-01 15:57:00,19704.240146019,16369.3282578855,10.7,231.9
375219000,2018-02-01 15:58:00,19515.8592253209,16115.3086569048,10.3,234
375219000,2018-02-01 15:59:00,19340.6689365046,15841.2042256243,10.3,235.5
375219000,2018-02-01 16:00:00,19172.8513755656,15567.7529136314,10.4,240
375219000,2018-02-01 16:01:00,19004.3812043654,15293.4571135104,10.3,237
375219000,2018-02-01 16:02:00,18824.2213720399,15015.533323792,10.3,238
375219000,2018-02-01 16:03:00,18656.8048624786,14744.7176004206,10.5,237
375219000,2018-02-01 16:04:00,18479.6249397344,14479.2709145329,10.5,233.6
375219000,2018-02-01 16:05:00,18279.1436275597,14233.6029945835,10,230.6
375219000,2018-02-01 16:06:00,18054.7452145235,14023.6673161054,9.6,220.6
375219000,2018-02-01 16:07:00,17854.5953868774,13833.2268501875,9.3,223
375219000,2018-02-01 16:08:00,17630.455079143,13627.3661801707,9.9,223.2
375219000,2018-02-01 16:09:00,17400.1287478982,13400.4845281067,10,225.4
375219000,2018-02-01 16:10:00,17197.6033029344,13189.9114328525,9.7,224.7
375219000,2018-02-01 16:11:00,16972.0116273854,12972.6796771331,9.9,224.6
375219000,2018-02-01 16:12:00,16751.5851560097,12764.7104790908,10,225
375219000,2018-02-01 16:13:00,16525.1175971364,12544.8417701525,9.9,225
375219000,2018-02-01 16:14:00,16326.9589759216,12326.9213242948,9.9,225
375219000,2018-02-01 16:15:00,16099.2839084142,12104.8286625387,9.6,224.6
375219000,2018-02-01 16:16:00,15894.846452083,11902.1361957602,9.7,224.4
375219000,2018-02-01 16:17:00,15670.3139912268,11680.0446318444,9.8,223.6
375219000,2018-02-01 16:18:00,15444.9182106667,11463.2318285381,9.9,225
375219000,2018-02-01 16:19:00,15233.8884112716,11241.4644087907,10,226
375219000,2018-02-01 16:20:00,15015.7544882087,11023.9346921957,9.9,226
538005655,2018-02-01 15:50:00,14961.3322671771,10671.7942407401,NaN,NaN
538005655,2018-02-01 15:51:00,15061.9264487511,10802.3045676378,10,49.8
538005655,2018-02-01 15:52:00,15268.6402047376,11042.9670882841,9.9,49.9
538005655,2018-02-01 15:53:00,15474.0009555112,11272.6522583403,10,50.2
538005655,2018-02-01 15:54:00,15682.0944481673,11518.3268301812,10.2,49.9
538005655,2018-02-01 15:55:00,15885.1660164244,11755.5092273738,10.2,49.3
538005655,2018-02-01 15:56:00,16090.0499884634,11998.0213441762,10.3,49.9
538005655,2018-02-01 15:57:00,16294.5000037219,12239.4497270065,10.3,50
538005655,2018-02-01 15:58:00,16497.4190709822,12485.2158486335,10.1,51.2
538005655,2018-02-01 15:59:00,16691.7665997603,12727.6867141934,10.2,50.7
538005655,2018-02-01 16:00:00,16889.4741621556,12971.3005474731,10.2,51.5
538005655,2018-02-01 16:01:00,17089.9835105353,13215.5873699603,10.2,51.1
538005655,2018-02-01 16:02:00,17280.9432237691,13464.0033135755,10.2,51.2
538005655,2018-02-01 16:03:00,17476.706375311,13711.9666689182,10.1,54.3
538005655,2018-02-01 16:04:00,17647.4817345068,13976.2421130926,10.1,57.6
538005655,2018-02-01 16:05:00,17816.3690078982,14237.0872026455,10.1,58.1
538005655,2018-02-01 16:06:00,17996.3029701019,14498.6939369846,10.1,52.7
538005655,2018-02-01 16:07:00,18187.6229990056,14732.3919478219,9.9,50.4
538005655,2018-02-01 16:08:00,18387.0582509441,14958.2671694872,9.7,47.4
538005655,2018-02-01 16:09:00,18590.2719185372,15178.5137067466,9.6,47.8
538005655,2018-02-01 16:10:00,18798.7069003744,15392.0667937539,9.5,46.7
538005655,2018-02-01 16:11:00,18987.3257978593,15605.1456720721,9.3,48.5
538005655,2018-02-01 16:12:00,19188.6245944697,15810.9152774566,9.2,46
538005655,2018-02-01 16:13:00,19378.8151164469,16021.4165390053,9.2,46.5
538005655,2018-02-01 16:14:00,19569.0096091184,16230.1322806525,9.1,49.1
538005655,2018-02-01 16:15:00,19762.0095503894,16441.2288515586,9.1,48.7
538005655,2018-02-01 16:16:00,19956.1295977865,16651.1234074148,9.1,47.6
538005655,2018-02-01 16:17:00,20148.595812484,16862.3576437411,9.1,45.7
538005655,2018-02-01 16:18:00,20329.8924104526,17063.6179118709,9.3,48.2
538005655,2018-02-01 16:19:00,20533.5430841567,17280.4111301539,9.2,48
538005655,2018-02-01 16:20:00,20723.1503408567,17492.3613956094,9.2,48.3
