mmsi,times,x,y,sog,cog
259540000,2019-02-04 20:57:00,0,0,NaN,NaN
259540000,2019-02-04 20:58:00,0,0,NaN,NaN
259540000,2019-02-04 20:59:00,0,0,NaN,NaN
259540000,2019-02-04 21:00:00,95.1179109552803,-183.721120496451,7.1,298.3
259540000,2019-02-04 21:01:00,200.491535827658,-376.823488556431,7.2,302.2
259540000,2019-02-04 21:02:00,311.887665924229,-562.842216392825,6.8,294.2
259540000,2019-02-04 21:03:00,397.789124846449,-756.641109214261,7,297
259540000,2019-02-04 21:04:00,495.393473920008,-947.160230233134,7,292.5
259540000,2019-02-04 21:05:00,583.206712892374,-1140.52552947959,6.9,295.1
259540000,2019-02-04 21:06:00,674.037352393906,-1336.85283482317,7.1,294.8
259540000,2019-02-04 21:07:00,755.747395203815,-1539.77122774079,7.2,295.2
259540000,2019-02-04 21:08:00,838.360378287327,-1746.60313831103,7.3,292.7
259540000,2019-02-04 21:09:00,919.867521641418,-1947.78169637047,7,293
259540000,2019-02-04 21:10:00,998.492143660082,-2154.83663449229,7.4,293.1
259540000,2019-02-04 21:11:00,1083.81140272108,-2364.43473746902,7.8,293.9
259540000,2019-02-04 21:12:00,1167.36836747135,-2587.69205685563,7.7,289
259540000,2019-02-04 21:13:00,1257.50683746466,-2808.08333760625,7.7,290.3
259540000,2019-02-04 21:14:00,1332.61794035393,-3023.30659666213,7.8,292.8
259540000,2019-02-04 21:15:00,1424.78930527856,-3248.96562941132,7.8,292.9
259540000,2019-02-04 21:16:00,1505.05251792863,-3470.28720464831,7.8,296
259540000,2019-02-04 21:17:00,1614.27457981199,-3679.86861627453,7.7,299.2
259540000,2019-02-04 21:18:00,1736.20565953089,-3890.85228041381,7.5,295.5
259540000,2019-02-04 21:19:00,1824.40271678089,-4103.22404316762,7.6,291.8
259540000,2019-02-04 21:20:00,1916.84629328519,-4318.43365500703,7.9,289.6
259540000,2019-02-04 21:21:00,2002.07498762736,-4545.10752137346,8.1,290.1
259540000,2019-02-04 21:22:00,2079.96792735256,-4773.62215653629,7.7,288.3
259540000,2019-02-04 21:23:00,2150.7419682166,-4998.98823647919,7.7,293
259540000,2019-02-04 21:24:00,2236.3379968256,-5221.65388144825,7.7,290.5
259540000,2019-02-04 21:25:00,2321.27859764044,-5444.66738176233,7.8,288.7
259540000,2019-02-04 21:26:00,2404.79090733592,-5672.78218756132,7.9,289.9
259540000,2019-02-04 21:27:00,2482.97166473734,-5901.90520427763,8.2,290.9
259540000,2019-02-04 21:28:00,2573.1953939305,-6131.95138556993,7.7,293
259540000,2019-02-04 21:29:00,2651.28372184077,-6356.48228990582,7.7,292.8
259540000,2019-02-04 21:30:00,2745.18386296735,-6571.23727408808,7.4,284
259540000,2019-02-04 21:31:00,2818.72345063877,-6791.65936439965,7.9,288.8
259540000,2019-02-04 21:32:00,2900.07332102274,-7013.1883208279,7.4,288.1
259540000,2019-02-04 21:33:00,2975.30178621278,-7230.26472767964,7.5,290.2
259540000,2019-02-04 21:34:00,3043.74790407117,-7447.22681515366,7.3,285.5
259540000,2019-02-04 21:35:00,3114.66163839344,-7667.14648888525,7.6,292.6
259540000,2019-02-04 21:36:00,3202.6265632554,-7886.43105961655,7.8,291.1
259540000,2019-02-04 21:37:00,3278.47104570262,-8109.41272138809,7.6,289.5
259540000,2019-02-04 21:38:00,3354.65009093717,-8326.6245275183,7.4,288.2
259540000,2019-02-04 21:39:00,3424.16723590203,-8547.99948646829,7.4,289.5
259540000,2019-02-04 21:40:00,3495.58631820326,-8767.69982533496,7.4,282.5
259540000,2019-02-04 21:41:00,3558.66776658776,-8988.95508566359,7.5,288.7
259540000,2019-02-04 21:42:00,3619.07725222548,-9205.33994109976,7.2,291
259540000,2019-02-04 21:43:00,3703.65235314794,-9415.54508400115,7.4,288.2
259540000,2019-02-04 21:44:00,3768.53709141226,-9630.7767831593,7.5,287.7
259540000,2019-02-04 21:45:00,3843.34831708053,-9847.04613215816,7.4,287.7
259540000,2019-02-04 21:46:00,3905.93246577504,-10068.3261268034,7.6,286.4
259540000,2019-02-04 21:47:00,3976.7738644269,-10290.884497737,7.7,286
259540000,2019-02-04 21:48:00,4041.0580419818,-10514.0460156112,7.1,288.6
259540000,2019-02-04 21:49:00,4124.02639810927,-10722.4840843622,7.1,290.3
259540000,2019-02-04 21:50:00,4197.53404796432,-10929.2173798566,7.6,287.4
259540000,2019-02-04 21:51:00,4265.96564399586,-11149.1387300565,7.4,290
259540000,2019-02-04 21:52:00,4344.84894582905,-11358.5730558163,6.8,290.8
259540000,2019-02-04 21:53:00,4418.95303531022,-11567.6567137887,7.7,287.9
259540000,2019-02-04 21:54:00,4504.11636361324,-11784.2999897219,7.6,293.1
259540000,2019-02-04 21:55:00,4580.93349903802,-11999.3560219942,7.4,290.2
259540000,2019-02-04 21:56:00,4666.52467188581,-12202.5031322014,7,293.9
259540000,2019-02-04 21:57:00,4748.1285501371,-12409.5129307848,7,288.1
259540000,2019-02-04 21:58:00,4816.05129765785,-12618.8726852868,7.1,288.3
259540000,2019-02-04 21:59:00,4881.96335369763,-12822.9481469519,7.4,290.9
259540000,2019-02-04 22:00:00,4955.02798901175,-13031.3868556555,7,284.2
259540000,2019-02-04 22:01:00,5028.08193391521,-13233.2879056546,7.1,291
259540000,2019-02-04 22:02:00,5106.7217004571,-13437.2407098673,6.7,293.5
259540000,2019-02-04 22:03:00,5192.14109397252,-13633.9203010202,7.2,291.7
259540000,2019-02-04 22:04:00,5277.48490420649,-13838.1900887109,7.2,292.6
259540000,2019-02-04 22:05:00,5370.48724642211,-14031.9177297442,6.6,288.7
259540000,2019-02-04 22:06:00,5445.00299861661,-14223.5056293635,6.5,287
259540000,2019-02-04 22:07:00,5516.61363376203,-14409.932745988,6.1,306.7
259540000,2019-02-04 22:08:00,5602.13145308441,-14589.8921862219,7.1,288.4
259540000,2019-02-04 22:09:00,5673.93664781526,-14794.2895986533,7.1,286.5
259540000,2019-02-04 22:10:00,5753.64720520625,-14995.2670216576,7,292.6
259540000,2019-02-04 22:11:00,5831.34019136733,-15190.1901044647,6.6,290
259540000,2019-02-04 22:12:00,5911.05101668745,-15386.0475937046,7,292
259540000,2019-02-04 22:13:00,5983.90117697342,-15590.9453476239,7,290.4
259540000,2019-02-04 22:14:00,6068.55721490197,-15793.1778835861,7,293.9
259540000,2019-02-04 22:15:00,6152.54645245308,-15993.2086950651,6.8,289.8
259540000,2019-02-04 22:16:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:17:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:18:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:19:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:20:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:21:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:22:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:23:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:24:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:25:00,6202.55879144112,-16133.6048082734,NaN,NaN
259540000,2019-02-04 22:26:00,6202.55879144112,-16133.6048082734,NaN,NaN
219762000,2019-02-04 20:57:00,826.446773781144,-14055.0392534463,2.3,63.1
219762000,2019-02-04 20:58:00,870.789133057226,-13995.4577700986,2.4,54.5
219762000,2019-02-04 20:59:00,911.770993273531,-13930.0655001336,2.5,56.3
219762000,2019-02-04 21:00:00,948.310844388302,-13868.136548217,2.5,55.8
219762000,2019-02-04 21:01:00,985.974363256048,-13808.8195602022,2.4,68.4
219762000,2019-02-04 21:02:00,1025.85080345318,-13744.9798781742,2.5,62.8
219762000,2019-02-04 21:03:00,1065.95646336998,-13682.745123014,2.4,57.3
219762000,2019-02-04 21:04:00,1103.38790167155,-13619.8670120762,2.3,59.4
219762000,2019-02-04 21:05:00,1147.73612186682,-13560.1161504625,2.5,44.6
219762000,2019-02-04 21:06:00,1187.85282374482,-13500.3213878679,2.3,56.1
219762000,2019-02-04 21:07:00,1225.28970011623,-13438.2193445154,2.5,62.6
219762000,2019-02-04 21:08:00,1269.63272191377,-13376.0954927301,2.6,52.3
219762000,2019-02-04 21:09:00,1302.83046088731,-13311.3359991876,2.5,58.1
219762000,2019-02-04 21:10:00,1347.18425463525,-13251.8885875922,2.4,60.2
219762000,2019-02-04 21:11:00,1388.7510725791,-13191.3820900928,2.4,55.4
219762000,2019-02-04 21:12:00,1424.7400186284,-13127.8053032627,2.4,59.2
219762000,2019-02-04 21:13:00,1457.94909483697,-13065.3082071359,2.2,55.1
219762000,2019-02-04 21:14:00,1502.28636705836,-12999.6270596361,2.5,59.6
219762000,2019-02-04 21:15:00,1535.49418980695,-12936.1221531108,2.3,58.9
219762000,2019-02-04 21:16:00,1577.05778106673,-12873.1262981905,2.3,60.3
219762000,2019-02-04 21:17:00,1601.89941627061,-12804.8970164015,2.4,64.9
219762000,2019-02-04 21:18:00,1632.32257881113,-12740.3346485234,2.4,65.2
219762000,2019-02-04 21:19:00,1657.16403509447,-12671.3347410694,2.3,68.9
219762000,2019-02-04 21:20:00,1679.22511620967,-12603.2356210704,2.4,71.7
219762000,2019-02-04 21:21:00,1709.4213629236,-12536.3001772666,2.4,67.3
219762000,2019-02-04 21:22:00,1741.6225376989,-12469.0624580752,2.5,72
219762000,2019-02-04 21:23:00,1766.4735969044,-12401.6702465108,2.4,55.4
219762000,2019-02-04 21:24:00,1789.7621760733,-12332.8577561116,2.3,74.1
219762000,2019-02-04 21:25:00,1811.82718012544,-12264.1686240073,2.4,69.2
219762000,2019-02-04 21:26:00,1833.89155652905,-12194.8861305134,2.4,78.1
219762000,2019-02-04 21:27:00,1855.95551506593,-12125.0696967218,2.4,74.8
219762000,2019-02-04 21:28:00,1878.02211074525,-12055.7293183323,2.4,76.9
219762000,2019-02-04 21:29:00,1911.23369379779,-11988.4952830634,2.3,56.6
219762000,2019-02-04 21:30:00,1944.44816322517,-11921.8564585506,2.4,61.7
219762000,2019-02-04 21:31:00,1966.52982183698,-11856.4397635801,2.4,58.1
219762000,2019-02-04 21:32:00,2010.88546908176,-11790.3049741332,2.5,62.9
219762000,2019-02-04 21:33:00,2049.67903810329,-11726.0889494012,2.4,55.9
219762000,2019-02-04 21:34:00,2085.68703962946,-11661.1099349188,2.4,62.4
219762000,2019-02-04 21:35:00,2110.54394193215,-11591.0551519776,2.4,73.6
219762000,2019-02-04 21:36:00,2132.62077266187,-11522.0785443201,2.4,69.1
219762000,2019-02-04 21:37:00,2154.6886380846,-11449.5382802858,2.4,76.7
219762000,2019-02-04 21:38:00,2185.12769153389,-11382.9158262885,2.4,68.2
219762000,2019-02-04 21:39:00,2206.97481883315,-11310.1996837541,2.4,71.5
219762000,2019-02-04 21:40:00,2220.92315833728,-11240.1797002144,2.3,72.6
219762000,2019-02-04 21:41:00,2243.0018850056,-11169.7217784468,2.3,68.1
219762000,2019-02-04 21:42:00,2265.06234299263,-11092.1954019922,3.1,69.9
219762000,2019-02-04 21:43:00,2287.13129300352,-11017.2242915361,2.5,66.4
219762000,2019-02-04 21:44:00,2316.67649173298,-10946.9266560154,2.4,67.3
219762000,2019-02-04 21:45:00,2331.2957088551,-10875.5417442972,2.5,74.6
219762000,2019-02-04 21:46:00,2364.52129266605,-10806.1865080587,2.4,65.3
219762000,2019-02-04 21:47:00,2382.60100515053,-10736.8134634366,2.3,71.4
219762000,2019-02-04 21:48:00,2408.70433457896,-10668.7266383196,2.5,68.1
219762000,2019-02-04 21:49:00,2430.80043692754,-10601.0670893724,2.3,67.9
219762000,2019-02-04 21:50:00,2464.03324783398,-10532.6662779797,2.4,65.2
219762000,2019-02-04 21:51:00,2481.33466038123,-10461.9913677466,2.3,70.7
219762000,2019-02-04 21:52:00,2502.64802113071,-10391.7819187762,2.3,74.3
219762000,2019-02-04 21:53:00,2519.17213733577,-10321.0508963361,2.3,78.5
219762000,2019-02-04 21:54:00,2530.1295351364,-10250.6316614988,2.3,75.7
219762000,2019-02-04 21:55:00,2558.57259448521,-10179.6339274234,2.4,65.7
219762000,2019-02-04 21:56:00,2583.00847466867,-10109.0630841312,2.3,69.3
219762000,2019-02-04 21:57:00,2596.42130566443,-10039.2334358896,2.4,76.6
219762000,2019-02-04 21:58:00,2626.31905964734,-9969.48218044527,2.4,80.5
219762000,2019-02-04 21:59:00,2640.62794296982,-9900.72075466698,2.5,70.1
219762000,2019-02-04 22:00:00,2673.86265575133,-9828.23076092903,2.5,70.2
219762000,2019-02-04 22:01:00,2707.10501817955,-9758.35551240808,2.4,62.8
219762000,2019-02-04 22:02:00,2740.35303311953,-9690.3227666555,2.5,54.7
219762000,2019-02-04 22:03:00,2781.06898140629,-9624.23340925836,2.5,58.7
219762000,2019-02-04 22:04:00,2829.13546379965,-9557.59333970132,2.5,61.9
219762000,2019-02-04 22:05:00,2862.39024514708,-9490.98983436937,2.6,51.7
219762000,2019-02-04 22:06:00,2906.79137919063,-9427.68748700053,2.6,54.1
219762000,2019-02-04 22:07:00,2951.19074616032,-9363.1986330447,2.6,50.5
219762000,2019-02-04 22:08:00,3006.73849497051,-9302.96183281777,2.5,52.6
219762000,2019-02-04 22:09:00,3058.94905430204,-9244.1004295809,2.5,40.6
