mmsi,times,x,y,sog,cog
636010990,2019-02-17 04:08:00,0,0,8.6,80.4
636010990,2019-02-17 04:09:00,44.5578637090501,259.578536570449,8.5,80.2
636010990,2019-02-17 04:10:00,89.1311244094755,508.739747624415,8.5,79.1
636010990,2019-02-17 04:11:00,133.724110936666,780.503206966509,8.5,80.2
636010990,2019-02-17 04:12:00,178.331588117465,1037.44678299255,8.5,79.3
636010990,2019-02-17 04:13:00,222.95526199726,1293.7897430384,8.5,80.2
636010990,2019-02-17 04:14:00,267.595064242744,1549.65108965513,8.5,80.1
636010990,2019-02-17 04:15:00,319.718322493043,1816.98525725309,8.5,79.4
636010990,2019-02-17 04:16:00,363.612717635955,2074.73877020626,8.5,81.7
636010990,2019-02-17 04:17:00,379.344898209928,2330.53979791726,8.4,89.6
636010990,2019-02-17 04:18:00,379.50397041982,2590.98909897369,8.4,90.8
636010990,2019-02-17 04:19:00,368.544059000169,2853.64742087893,8.5,90.6
636010990,2019-02-17 04:20:00,368.743116066143,3122.06915447355,8.6,88.5
636010990,2019-02-17 04:21:00,380.089484355933,3381.02251269719,8.6,89.2
636010990,2019-02-17 04:22:00,380.324861876945,3650.75225470074,8.6,89.1
636010990,2019-02-17 04:23:00,380.56916162028,3911.08248248944,8.6,89.9
636010990,2019-02-17 04:24:00,387.745321131912,4180.92399305005,8.5,89.8
636010990,2019-02-17 04:25:00,392.262247819257,4446.84114709724,8.6,88.6
636010990,2019-02-17 04:26:00,392.554511838981,4704.19606719845,8.7,88.6
636010990,2019-02-17 04:27:00,404.026503008894,4982.5372495557,8.6,90.1
636010990,2019-02-17 04:28:00,409.370143009747,5243.98969359951,8.6,88.4
636010990,2019-02-17 04:29:00,415.849121537586,5508.83085977263,8.6,92.3
636010990,2019-02-17 04:30:00,422.359245982847,5783.24904857877,8.6,88
636010990,2019-02-17 04:31:00,427.750830903694,6042.02223855501,8.6,87.4
636010990,2019-02-17 04:32:00,428.154386849761,6305.38329735326,8.3,89.5
636010990,2019-02-17 04:33:00,428.576709862884,6569.69615406928,8.4,90.3
636010990,2019-02-17 04:34:00,440.147282382209,6830.18274792722,8.3,87.8
636010990,2019-02-17 04:35:00,440.580904726341,7081.34760563907,8.2,88.8
636010990,2019-02-17 04:36:00,441.026828789621,7330.66824944027,8.3,89
636010990,2019-02-17 04:37:00,452.660394136974,7598.46908943111,8.3,89.1
636010990,2019-02-17 04:38:00,453.143070502974,7850.22802435845,8.3,89.1
636010990,2019-02-17 04:39:00,453.637531380062,8100.02376836642,8.3,90.2
636010990,2019-02-17 04:40:00,454.188213004801,8369.45094618778,8.3,88.3
636010990,2019-02-17 04:41:00,465.855404760603,8620.70999941911,8.3,88.2
636010990,2019-02-17 04:42:00,466.422406235516,8881.74836144604,8.3,88.8
636010990,2019-02-17 04:43:00,466.994579167165,9137.61111743657,8.3,89.7
636010990,2019-02-17 04:44:00,467.58244624665,9393.23586548168,8.3,88.8
636010990,2019-02-17 04:45:00,479.313627117334,9644.5506832206,8.4,89
636010990,2019-02-17 04:46:00,479.956765755934,9909.573868414,8.4,88.8
636010990,2019-02-17 04:47:00,497.983338005049,10171.2812388198,8.4,83.3
636010990,2019-02-17 04:48:00,536.929251708577,10419.0713468205,8.4,80.6
636010990,2019-02-17 04:49:00,578.821261646243,10680.1147192665,8.3,80
636010990,2019-02-17 04:50:00,623.387322381452,10935.315721024,8.3,81
636010990,2019-02-17 04:51:00,668.959687059188,11186.1063419671,8.2,80.2
636010990,2019-02-17 04:52:00,704.504138145774,11429.9004693071,8.3,80.1
636010990,2019-02-17 04:53:00,752.038262648223,11693.6427021731,8.3,80.8
636010990,2019-02-17 04:54:00,793.31762918067,11945.5598809817,8.3,80.5
636010990,2019-02-17 04:55:00,837.614789165087,12195.7972747439,8.2,81.2
636010990,2019-02-17 04:56:00,872.793226082798,12445.5220586979,8.2,80.8
636010990,2019-02-17 04:57:00,917.13850807406,12701.1619661157,8.3,81
219001518,2019-02-17 04:08:00,5275.48382289476,12242.8464632556,NaN,NaN
219001518,2019-02-17 04:09:00,5198.4770007515,12190.7914926339,3,214.6
219001518,2019-02-17 04:10:00,5111.78006530232,12138.3478179591,3.2,211
219001518,2019-02-17 04:11:00,5026.08154961471,12084.3538930712,3.3,213.8
219001518,2019-02-17 04:12:00,4951.83628851376,12023.9651027615,3.2,222.4
219001518,2019-02-17 04:13:00,4865.57185233969,11966.4027821775,3.3,210.7
219001518,2019-02-17 04:14:00,4796.80592489805,11912.8271255678,3.1,218.2
219001518,2019-02-17 04:15:00,4710.30057287559,11848.5456540619,3.4,217.9
219001518,2019-02-17 04:16:00,4629.73267658117,11795.7136435387,2.9,213.3
219001518,2019-02-17 04:17:00,4548.70837128038,11738.8990773063,3.2,219.6
219001518,2019-02-17 04:18:00,4469.01446516628,11679.7011325418,3.2,219.6
219001518,2019-02-17 04:19:00,4389.32143806871,11620.5008330177,3.2,219.6
219001518,2019-02-17 04:20:00,4309.51791610281,11561.2984988156,3.2,219.6
219001518,2019-02-17 04:21:00,4229.8266472382,11502.0934882615,3.2,219.6
219001518,2019-02-17 04:22:00,4150.13625758635,11442.8861230855,3.2,219.5
219001518,2019-02-17 04:23:00,4070.33537328013,11383.6767184263,3.2,219.5
219001518,2019-02-17 04:24:00,3990.64674225172,11324.4646424959,3.2,219.5
219001518,2019-02-17 04:25:00,3911.40714778916,11266.1999764861,3.2,219.2
219001518,2019-02-17 04:26:00,3833.28777125066,11209.950843582,3.1,218.4
219001518,2019-02-17 04:27:00,3754.61017839614,11152.9283343192,3,218.4
219001518,2019-02-17 04:28:00,3674.81507549187,11094.242289068,3.1,220
219001518,2019-02-17 04:29:00,3602.14615825321,11034.583276654,3.2,220.2
219001518,2019-02-17 04:30:00,3526.3533442347,10972.6122939611,3.3,219.2
219001518,2019-02-17 04:31:00,3448.22215720447,10910.4669747084,3.3,218.3
219001518,2019-02-17 04:32:00,3355.82903583629,10845.7420167676,3.4,217.4
219001518,2019-02-17 04:33:00,3281.70689565809,10782.6891276765,3.2,220.8
219001518,2019-02-17 04:34:00,3211.95308251706,10728.5396254233,3.2,217
219001518,2019-02-17 04:35:00,3130.03961543874,10666.6325139313,3.2,216.8
