mmsi,times,x,y,sog,cog
210434000,2018-06-02 05:54:00,28087.850028406,32096.5852130006,NaN,NaN
210434000,2018-06-02 05:55:00,28022.6528610453,31990.1285629095,8.5,237.9
210434000,2018-06-02 05:56:00,27878.5271809344,31771.817947798,8.5,238.6
210434000,2018-06-02 05:57:00,27740.4921532607,31547.4688790443,8.4,238.4
210434000,2018-06-02 05:58:00,27607.315145143,31330.6140977582,8.4,238.7
210434000,2018-06-02 05:59:00,27470.0914097555,31107.2557414651,8.4,238.6
210434000,2018-06-02 06:00:00,27334.0232246873,30887.8585639854,8.4,238.9
210434000,2018-06-02 06:01:00,27200.0973819905,30670.4233674704,8.4,239.2
210434000,2018-06-02 06:02:00,27064.2315065331,30445.0789016292,8.5,239.1
210434000,2018-06-02 06:03:00,26926.5802699792,30217.5590475918,8.5,239.2
210434000,2018-06-02 06:04:00,26793.5587345888,29997.0549738736,8.5,239.4
210434000,2018-06-02 06:05:00,26658.29390232,29772.6883658131,8.5,239.7
210434000,2018-06-02 06:06:00,26520.9193873984,29547.4768157604,8.5,239.7
210434000,2018-06-02 06:07:00,26386.3368990564,29321.626510241,8.5,239.7
210434000,2018-06-02 06:08:00,26251.6550037087,29095.7018071662,8.6,239.6
210434000,2018-06-02 06:09:00,26117.0972784148,28869.8218982771,8.6,239.5
210434000,2018-06-02 06:10:00,25982.1014619584,28643.2056052705,8.6,239.5
210434000,2018-06-02 06:11:00,25846.8933071781,28416.2739950489,8.6,239.4
210434000,2018-06-02 06:12:00,25711.6976490839,28189.32745006,8.6,239.4
210434000,2018-06-02 06:13:00,25576.5144889703,27962.3659715839,8.6,239.3
210434000,2018-06-02 06:14:00,25441.3438281291,27735.3895608989,8.6,239.3
210434000,2018-06-02 06:15:00,25306.185667856,27508.3982192855,8.6,239.3
210434000,2018-06-02 06:16:00,25170.9478178503,27284.2920166207,8.6,240.1
210434000,2018-06-02 06:17:00,25033.6772655225,27054.0229583664,8.6,240
210434000,2018-06-02 06:18:00,24900.3391900039,26827.0958978219,8.6,239.5
210434000,2018-06-02 06:19:00,24764.5628940015,26600.0491300061,8.6,239.5
210434000,2018-06-02 06:20:00,24628.9104654247,26372.9866501709,8.6,239.5
