mmsi,times,x,y,sog,cog
205453000,2018-06-09 05:38:34,0,0,16.1,290.2
205453000,2018-06-09 05:38:41,11.1376742811226,-47.5834459809053,16.1,290.2
205453000,2018-06-09 05:38:46,33.4133044373128,-95.1663656547784,16.1,290.5
205453000,2018-06-09 05:38:52,44.5516994763857,-130.853390930057,16.1,290.2
205453000,2018-06-09 05:38:59,66.828582293078,-184.383303833824,16.1,290.2
205453000,2018-06-09 05:39:16,122.524140902623,-321.179378596178,16.1,290.5
205453000,2018-06-09 05:39:22,133.665071233738,-362.812739074885,16,290.5
205453000,2018-06-09 05:39:40,189.36743727213,-505.551743891974,16,290.2
205453000,2018-06-09 05:39:46,211.648483171187,-553.13002493513,16,290.5
205453000,2018-06-09 05:39:58,245.07391329202,-642.339215231457,16,290.5
205453000,2018-06-09 05:40:05,267.355562384385,-683.968529121637,16,290.8
205453000,2018-06-09 05:40:10,278.501320914286,-731.546924825068,16,290.5
205453000,2018-06-09 05:40:17,300.78619419721,-785.070405608108,16,290.5
205453000,2018-06-09 05:40:22,311.933147586123,-832.648126653684,16,289.8
205453000,2018-06-09 05:40:33,345.363416593618,-915.905338753049,15.9,288.5
205453000,2018-06-09 05:40:40,367.650741963819,-969.426910896159,15.9,288
205453000,2018-06-09 05:40:47,378.799874224087,-1017.00333190652,15.9,287.2
205453000,2018-06-09 05:40:52,389.9480009897,-1058.63211829902,15.9,286.8
205453000,2018-06-09 05:40:59,401.099825326101,-1112.15538383869,15.8,285.8
205453000,2018-06-09 05:41:04,412.247236538362,-1147.83633811946,15.8,285
205453000,2018-06-09 05:41:11,423.398477042225,-1195.41173858574,15.8,284
205453000,2018-06-09 05:41:16,434.553968362354,-1254.88148637117,15.7,282.8
205453000,2018-06-09 05:41:23,445.706473726059,-1302.45632707876,15.7,282.2
205453000,2018-06-09 05:41:28,456.857552035629,-1344.08363197108,15.7,282
205453000,2018-06-09 05:41:34,468.011111475054,-1391.65796231431,15.7,281.5
205453000,2018-06-09 05:41:41,479.169501307779,-1451.12650808611,15.7,281
205453000,2018-06-09 05:41:46,490.32432556536,-1498.70027858083,15.7,280.5
205453000,2018-06-09 05:41:51,490.337762569536,-1534.38361616294,15.7,280
