mmsi,times,x,y,sog,cog
710428000,2019-07-09 21:04:00,0,0,4.4,69.8
710428000,2019-07-09 21:05:00,54.6883050390351,131.091670255801,4.4,67.1
710428000,2019-07-09 21:06:00,97.2405854981401,258.807122313398,4.4,72
710428000,2019-07-09 21:07:00,141.801683076294,385.98702244555,4.3,69.2
710428000,2019-07-09 21:08:00,187.590868919296,504.464231774958,4.2,67.9
710428000,2019-07-09 21:09:00,244.298793808084,624.65327145881,4.2,64.7
710428000,2019-07-09 21:10:00,299.116571092319,742.94549619244,4.3,66.5
710428000,2019-07-09 21:11:00,353.493518529712,866.679058486544,4.1,65.1
710428000,2019-07-09 21:12:00,399.405939977096,975.380014223614,4,66.3
710428000,2019-07-09 21:13:00,453.788204965372,1092.24270137531,3.9,65.5
710428000,2019-07-09 21:14:00,500.821068298001,1202.71331723928,3.9,65.5
710428000,2019-07-09 21:15:00,555.318015217196,1309.39160843627,4,63.7
710428000,2019-07-09 21:16:00,611.827083782497,1428.67063250265,4.3,63.6
710428000,2019-07-09 21:17:00,666.778170276586,1542.08860983238,4.2,64.8
710428000,2019-07-09 21:18:00,723.294261258778,1661.53854241547,4.3,65.7
710428000,2019-07-09 21:19:00,777.02873030412,1779.27032453526,4.2,66.2
710428000,2019-07-09 21:20:00,834.775856073116,1896.16863192252,4.2,63.1
710428000,2019-07-09 21:21:00,889.852010619119,2010.40220302068,4.1,66.2
710428000,2019-07-09 21:22:00,924.996638857005,2127.89760981145,3.8,74.9
710428000,2019-07-09 21:23:00,957.910747430703,2233.91317819052,3.6,72.2
710428000,2019-07-09 21:24:00,988.933528142293,2338.68554463076,3.5,72.7
710428000,2019-07-09 21:25:00,1022.40491406753,2436.17696779379,3.5,72.9
710428000,2019-07-09 21:26:00,1055.88431141481,2542.54207605804,3.4,72.6
710428000,2019-07-09 21:27:00,1081.01167915093,2646.54420137492,3.4,72.5
710428000,2019-07-09 21:28:00,1118.39243578296,2749.35323539179,3.4,72.7
710428000,2019-07-09 21:29:00,1147.9780378673,2850.2133843146,3.4,70.3
710428000,2019-07-09 21:30:00,1192.04426747684,2949.75968591636,3.4,68.7
710428000,2019-07-09 21:31:00,1226.31200477962,3049.60709973351,3.4,69.9
710428000,2019-07-09 21:32:00,1258.80024726593,3149.51337211996,3.4,68.9
710428000,2019-07-09 21:33:00,1304.43355245435,3249.46650540055,3.5,68.4
710428000,2019-07-09 21:34:00,1346.06131401399,3351.25481518683,3.6,68.2
710428000,2019-07-09 21:35:00,1380.904151152,3460.56069723707,3.8,68.6
710428000,2019-07-09 21:36:00,1435.35449190751,3572.21369812914,4,66.1
