mmsi,times,x,y,sog,cog
211688080,2019-07-17 14:48:00,9088.35595089025,9453.1088723689,NaN,NaN
211688080,2019-07-17 14:49:00,9088.35595089025,9453.1088723689,NaN,NaN
211688080,2019-07-17 14:50:00,9088.35595089025,9453.1088723689,NaN,NaN
211688080,2019-07-17 14:51:00,9208.34254540804,9419.87211000659,4.2,345.6
211688080,2019-07-17 14:52:00,9341.45554149584,9379.62565654273,4.3,343.9
211688080,2019-07-17 14:53:00,9474.23428030084,9339.14600983267,4.6,342
211688080,2019-07-17 14:54:00,9607.12468907278,9298.60961348096,4.9,340.2
211688080,2019-07-17 14:55:00,9740.57967037719,9261.20973267992,4.4,335.4
211688080,2019-07-17 14:56:00,9878.95989963716,9234.32997011687,4.6,342.2
211688080,2019-07-17 14:57:00,10017.9002123702,9208.75204574008,4.9,350.7
211688080,2019-07-17 14:58:00,10163.6296888013,9180.97181486425,4.5,355.4
211688080,2019-07-17 14:59:00,10297.42593744,9146.18259343418,4.8,350.8
211688080,2019-07-17 15:00:00,10432.7796336039,9110.44583022644,4.7,347.3
211688080,2019-07-17 15:01:00,10566.5978838968,9085.06472390607,4.7,351.6
211688080,2019-07-17 15:02:00,10700.217954784,9070.44914680413,4.1,1.6
211688080,2019-07-17 15:03:00,10831.8102946404,9045.66744606669,4.2,351
211688080,2019-07-17 15:04:00,10965.1875104396,9022.06603788838,4.1,341.6
211688080,2019-07-17 15:05:00,11080.7012099472,8979.22875005138,4.3,351.3
211688080,2019-07-17 15:06:00,11224.5928524183,8975.47570609162,4.4,357.8
211688080,2019-07-17 15:07:00,11355.6779982927,8972.57948427911,4.4,350.3
211688080,2019-07-17 15:08:00,11482.5881727538,8945.56858184995,3.7,347.2
211688080,2019-07-17 15:09:00,11588.2248321836,8918.31124040069,3.7,338.7
211688080,2019-07-17 15:10:00,11701.4746886599,8908.7166810605,3.8,348
211688080,2019-07-17 15:11:00,11817.0596904471,8897.40287775794,4,357.2
211688080,2019-07-17 15:12:00,11937.4275267577,8883.18212875045,3.5,351.5
211688080,2019-07-17 15:13:00,12061.5632544774,8860.38153456012,3.9,347.3
211688080,2019-07-17 15:14:00,12172.1215503787,8842.34180572841,3.9,355.2
211688080,2019-07-17 15:15:00,12313.0060492235,8838.48293235089,4.5,358.1
211688080,2019-07-17 15:16:00,12446.0482336378,8813.83362307946,4.6,346.8
211688080,2019-07-17 15:17:00,12572.8446214325,8785.18007515564,4.4,344.9
211688080,2019-07-17 15:18:00,12698.7493069546,8756.11651202285,4.1,343.7
211688080,2019-07-17 15:19:00,12825.0904431204,8722.79802365871,4.4,347.1
211688080,2019-07-17 15:20:00,12950.0840429201,8684.28320588117,4,338.4
211688080,2019-07-17 15:21:00,13061.0609683763,8653.42562925351,3.8,347.4
211688080,2019-07-17 15:22:00,13180.2743426464,8619.89233564604,3.9,345.9
211688080,2019-07-17 15:23:00,13307.3165843961,8601.29673283903,4,343.1
211688080,2019-07-17 15:24:00,13435.3664043908,8585.0640894466,4.2,340.4
211688080,2019-07-17 15:25:00,13547.887384741,8546.70427557794,3.5,339.9
211688080,2019-07-17 15:26:00,13661.7621420218,8516.26254920623,3.9,348.3
211688080,2019-07-17 15:27:00,13778.3191166185,8490.01251456824,3.7,349.4
211688080,2019-07-17 15:28:00,13895.1002848647,8464.35444338318,3.3,349.5
211688080,2019-07-17 15:29:00,13997.5175427512,8440.4418587791,3.8,349.4
211688080,2019-07-17 15:30:00,14120.0962914381,8417.43339323608,4.1,349.4
211688080,2019-07-17 15:31:00,14243.5624866643,8392.65184295097,4.2,346.8
211688080,2019-07-17 15:32:00,14374.1434164968,8361.35752104726,4.4,348.4
211688080,2019-07-17 15:33:00,14515.660692558,8340.14560045805,4.9,351.6
257879290,2019-07-17 14:48:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:49:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:50:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:51:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:52:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:53:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:54:00,11890.424856548,7223.49806461345,NaN,NaN
257879290,2019-07-17 14:55:00,11849.6107352299,7318.58170653982,5.6,113.9
257879290,2019-07-17 14:56:00,11773.5050723312,7480.4242399073,5.7,116.5
257879290,2019-07-17 14:57:00,11708.0847518853,7635.21668353218,5.4,113.7
257879290,2019-07-17 14:58:00,11639.777612588,7791.55710700419,5.9,107.3
257879290,2019-07-17 14:59:00,11572.6386167623,7972.1424781064,6.2,109.7
257879290,2019-07-17 15:00:00,11500.3635854591,8142.5153322336,5.8,112.2
257879290,2019-07-17 15:01:00,11430.2880033504,8295.86071599714,5.2,115.8
257879290,2019-07-17 15:02:00,11365.6732943332,8448.01734934642,5.8,114.2
257879290,2019-07-17 15:03:00,11295.5363788588,8619.17177689578,5.8,112
257879290,2019-07-17 15:04:00,11228.8674173359,8793.93163895518,6,113.1
257879290,2019-07-17 15:05:00,11166.1901008017,8957.27578705435,5.5,109.8
257879290,2019-07-17 15:06:00,11105.1916013919,9121.27171614549,5.4,113.2
257879290,2019-07-17 15:07:00,11030.3693027773,9276.78940240859,5.5,113.8
257879290,2019-07-17 15:08:00,10964.5610834327,9426.55548619469,5.2,111.7
257879290,2019-07-17 15:09:00,10897.4315816314,9580.35098061911,5.2,112
257879290,2019-07-17 15:10:00,10817.830884696,9732.99928466348,6.2,119.6
257879290,2019-07-17 15:11:00,10744.3619069159,9885.69765311478,5.3,116.2
257879290,2019-07-17 15:12:00,10664.8707526337,10032.9758866991,5.2,114.2
257879290,2019-07-17 15:13:00,10605.9882772332,10179.6160778451,5,113.8
257879290,2019-07-17 15:14:00,10529.5120846152,10325.7146509498,5.3,118
257879290,2019-07-17 15:15:00,10461.9588283998,10474.634319709,4.9,112.1
257879290,2019-07-17 15:16:00,10394.9471241331,10615.6914226439,5.1,114
257879290,2019-07-17 15:17:00,10334.1703537554,10754.0749584244,5,119.3
257879290,2019-07-17 15:18:00,10257.0316003509,10894.5774332907,4.6,115.6
257879290,2019-07-17 15:19:00,10199.9123712746,11022.9640568854,5,118.1
257879290,2019-07-17 15:20:00,10134.4441627749,11151.4368072707,4.6,117.4
257879290,2019-07-17 15:21:00,10078.6502020291,11272.9069019664,4.7,121.1
257879290,2019-07-17 15:22:00,10021.3230708005,11402.2516901837,4.6,115.7
257879290,2019-07-17 15:23:00,9958.24896072986,11545.6355030821,5.1,112.2
257879290,2019-07-17 15:24:00,9909.80822966087,11701.9352281497,5.4,110.2
257879290,2019-07-17 15:25:00,9855.24840866085,11858.4343776713,4.9,109.3
257879290,2019-07-17 15:26:00,9802.2163480472,12002.3927833636,5.1,108
257879290,2019-07-17 15:27:00,9747.72990153581,12142.5144469996,4.7,105
257879290,2019-07-17 15:28:00,9700.47550909639,12278.5952147728,4.4,115
257879290,2019-07-17 15:29:00,9645.52460314485,12409.4974473873,4.8,113.2
257879290,2019-07-17 15:30:00,9583.76172467569,12568.8197033663,5.2,111.2
257879290,2019-07-17 15:31:00,9526.81942994403,12735.9994639,5.6,106.7
257879290,2019-07-17 15:32:00,9485.4894529252,12907.0380381158,5.4,109.3
257879290,2019-07-17 15:33:00,9454.83904329344,13037.8176177624,NaN,NaN
