mmsi,times,x,y,sog,cog
209204000,2018-08-19 13:13:00,0,0,NaN,NaN
209204000,2018-08-19 13:14:00,9.80356618701363,-145.66027754088,6,272.5
209204000,2018-08-19 13:15:00,11.1511900605531,-332.937666265445,6,272.5
209204000,2018-08-19 13:16:00,22.3083656639619,-519.50022712205,6,272.8
209204000,2018-08-19 13:17:00,33.4744385818631,-707.488621823183,6,273
209204000,2018-08-19 13:18:00,33.5117107348564,-894.765017861116,6,271.5
209204000,2018-08-19 13:19:00,33.5575201155335,-1081.387430144,6.1,270.6
209204000,2018-08-19 13:20:00,33.61410360939,-1274.7280080274,6.1,269
209204000,2018-08-19 13:21:00,31.1133598205831,-1454.27645295644,6.1,268.4
209204000,2018-08-19 13:22:00,22.6117233659599,-1646.84776682284,6.1,268.5
209204000,2018-08-19 13:23:00,22.6926988955841,-1834.12466176058,6.1,268.2
209204000,2018-08-19 13:24:00,11.647957264569,-2027.3524584813,6.2,268.2
209204000,2018-08-19 13:25:00,8.96391730025963,-2217.60405077138,6.2,268.2
209204000,2018-08-19 13:26:00,0.721120197881748,-2409.46446961764,6.2,268.2
209204000,2018-08-19 13:27:00,-8.73807075277745,-2600.67248089727,6.1,268.2
209204000,2018-08-19 13:28:00,-10.167835276167,-2793.89724995766,6.1,268.5
209204000,2018-08-19 13:29:00,-19.5006510975654,-2980.70703883949,6.1,268.5
209204000,2018-08-19 13:30:00,-21.030428967218,-3165.19287140248,6.1,268.6
209204000,2018-08-19 13:31:00,-20.8735097572256,-3358.83331502348,6.1,268.8
209204000,2018-08-19 13:32:00,-31.8484674484701,-3548.20290457645,6.1,269
209204000,2018-08-19 13:33:00,-31.6847100253018,-3729.35856871451,6.1,268.8
209204000,2018-08-19 13:34:00,-31.497173520425,-3926.56674113279,6.2,268.8
209204000,2018-08-19 13:35:00,-42.4532572113257,-4108.26883326294,6.2,269
209204000,2018-08-19 13:36:00,-42.2458218229863,-4306.72605796979,6.2,269
209204000,2018-08-19 13:37:00,-42.0407644044078,-4494.30319971169,6.2,269
209204000,2018-08-19 13:38:00,-52.9642407866387,-4682.0121897172,6.2,268.8
209204000,2018-08-19 13:39:00,-52.7348589780056,-4875.23796029991,6.2,268.7
209204000,2018-08-19 13:40:00,-59.068173049735,-5067.75853884313,6.2,268.9
209204000,2018-08-19 13:41:00,-63.3942238897692,-5255.16404575486,6.2,269.2
209204000,2018-08-19 13:42:00,-72.6113671424977,-5443.0522225098,6.2,267.1
209204000,2018-08-19 13:43:00,-83.5894907868906,-5639.68357509698,6.3,267
209204000,2018-08-19 13:44:00,-96.0019923960476,-5838.99356896242,6.4,266.2
209204000,2018-08-19 13:45:00,-106.845120836292,-6038.48082571778,6.5,266
209204000,2018-08-19 13:46:00,-117.662503271844,-6248.19543047781,6.6,265.5
209204000,2018-08-19 13:47:00,-142.617087791923,-6455.67455800961,6.7,265
209204000,2018-08-19 13:48:00,-158.755931739438,-6667.06577541006,6.8,264.8
209204000,2018-08-19 13:49:00,-176.337021442998,-6875.25055394746,6.8,264.1
209204000,2018-08-19 13:50:00,-194.239373503346,-7084.62687208011,6.7,266.5
209204000,2018-08-19 13:51:00,-193.872177088975,-7290.28568748781,6.6,270.3
209204000,2018-08-19 13:52:00,-159.873029185414,-7488.6282579342,6.6,277.5
209204000,2018-08-19 13:53:00,-122.171839210291,-7695.81927609207,6.7,280.7
209204000,2018-08-19 13:54:00,-83.5590666276329,-7908.05830747936,6.9,281.2
209204000,2018-08-19 13:55:00,-38.0372296895727,-8116.65266486541,6.9,282
209204000,2018-08-19 13:56:00,16.4127164589898,-8328.79106862692,7,282.4
209204000,2018-08-19 13:57:00,60.7289781725648,-8536.30796316102,7,282.3
209204000,2018-08-19 13:58:00,106.743992477203,-8751.84264787683,7.1,281.1
209204000,2018-08-19 13:59:00,132.504596513669,-8969.26056546688,7.1,276.9
209204000,2018-08-19 14:00:00,91.2061009367114,-9176.42465320397,6.7,260.9
209204000,2018-08-19 14:01:00,29.5138491626647,-9373.77134811801,6.7,252.8
209204000,2018-08-19 14:02:00,-40.6308753393038,-9572.09548734061,6.8,250.6
209204000,2018-08-19 14:03:00,-115.10550540106,-9772.04237103218,6.9,250.4
209204000,2018-08-19 14:04:00,-184.440075705348,-9974.77839888328,7,249.9
209204000,2018-08-19 14:05:00,-262.247471076426,-10170.1701346209,7,249.8
209204000,2018-08-19 14:06:00,-340.246372523201,-10374.013075543,7,249.9
209204000,2018-08-19 14:07:00,-405.649708126233,-10577.830854622,7,250.1
209204000,2018-08-19 14:08:00,-475.61477346527,-10779.5269243907,7,250.2
209204000,2018-08-19 14:09:00,-550.026945123573,-10980.4097043166,7,249.9
209204000,2018-08-19 14:10:00,-627.984784174406,-11184.2829395106,7,249.3
209204000,2018-08-19 14:11:00,-705.617338058993,-11381.3842757181,7,249.2
209204000,2018-08-19 14:12:00,-787.443517587994,-11588.5549485575,7,248.8
209204000,2018-08-19 14:13:00,-860.129179332193,-11794.7558396209,7,249
636092000,2018-08-19 13:13:00,-2252.13042369905,-24675.2803766115,NaN,NaN
636092000,2018-08-19 13:14:00,-2205.88573608026,-24349.7780721204,12.2,81.1
636092000,2018-08-19 13:15:00,-2153.65724858355,-23977.3721890834,12.2,81.4
636092000,2018-08-19 13:16:00,-2099.26186856832,-23607.7594233384,12.2,81.4
636092000,2018-08-19 13:17:00,-2039.69091587209,-23241.3392817396,12.2,81
636092000,2018-08-19 13:18:00,-1981.07621407837,-22857.5663422202,12.2,80.7
636092000,2018-08-19 13:19:00,-1919.68526929162,-22485.7455163773,12.2,80.8
636092000,2018-08-19 13:20:00,-1864.52296187087,-22109.2119304905,12.2,81.3
636092000,2018-08-19 13:21:00,-1808.52015781775,-21737.4429352232,12.2,81
636092000,2018-08-19 13:22:00,-1755.01618921768,-21371.0510714114,12.2,81.1
636092000,2018-08-19 13:23:00,-1690.82373138203,-20997.594883797,12.2,80.9
636092000,2018-08-19 13:24:00,-1636.07974354377,-20620.9874067961,12.2,81.1
636092000,2018-08-19 13:25:00,-1572.15183508147,-20247.5560824491,12.2,81.2
636092000,2018-08-19 13:26:00,-1517.30834155605,-19876.917644044,12.2,80.7
636092000,2018-08-19 13:27:00,-1452.62215653147,-19507.8477374176,12.2,80.6
636092000,2018-08-19 13:28:00,-1398.99982864237,-19147.1690227352,12.1,80.4
636092000,2018-08-19 13:29:00,-1359.55804225828,-18771.8761148143,12.1,84.5
636092000,2018-08-19 13:30:00,-1337.3130838645,-18403.44941434,12.1,86.7
636092000,2018-08-19 13:31:00,-1325.56923302966,-18020.3840151172,12.2,88
636092000,2018-08-19 13:32:00,-1316.41681106642,-17647.6214063081,12.1,88.2
636092000,2018-08-19 13:33:00,-1299.4506105744,-17270.9019727255,12.1,88.4
636092000,2018-08-19 13:34:00,-1289.902922773,-16896.1796918543,12.2,88.3
636092000,2018-08-19 13:35:00,-1280.35280944289,-16513.5494990324,12.2,88.4
636092000,2018-08-19 13:36:00,-1270.75513788271,-16133.7163932886,12.2,88.9
636092000,2018-08-19 13:37:00,-1272.21821884717,-15764.3363436972,12.2,89.1
636092000,2018-08-19 13:38:00,-1262.54623789276,-15385.4575179727,12.3,89.4
636092000,2018-08-19 13:39:00,-1263.96772854528,-15008.822556855,12.2,89.2
636092000,2018-08-19 13:40:00,-1254.22401025234,-14630.1249085585,12.2,88.9
636092000,2018-08-19 13:41:00,-1255.57421803559,-14253.6690411206,12.1,89.4
636092000,2018-08-19 13:42:00,-1256.88513061422,-13878.4024345463,12.1,89.5
636092000,2018-08-19 13:43:00,-1247.01375834285,-13506.0718957084,12.1,90.1
636092000,2018-08-19 13:44:00,-1248.25887572409,-13129.6165635619,12.1,90.1
636092000,2018-08-19 13:45:00,-1249.47011588481,-12752.7447695802,12.1,90.4
636092000,2018-08-19 13:46:00,-1250.62084926642,-12384.0799111908,12.1,90.3
636092000,2018-08-19 13:47:00,-1251.76000477625,-12007.980945185,12.1,89.3
636092000,2018-08-19 13:48:00,-1252.86162592647,-11632.71443703,12,89.6
636092000,2018-08-19 13:49:00,-1253.89333738734,-11269.9368544037,12,89.5
636092000,2018-08-19 13:50:00,-1254.92456585887,-10895.2647907595,11.9,89.7
636092000,2018-08-19 13:51:00,-1244.7524736482,-10532.4578241359,11.8,89.6
