mmsi,times,x,y,sog,cog
219001211,2019-08-26 04:43:00,0,0,NaN,NaN
219001211,2019-08-26 04:44:00,-66.2601723390745,-64.8322554158385,4.1,226.9
219001211,2019-08-26 04:45:00,-150.893129641641,-158.300488511147,4.1,228.4
219001211,2019-08-26 04:46:00,-236.303519889928,-251.409379993928,4.1,227.8
219001211,2019-08-26 04:47:00,-325.943461298957,-345.854315211265,4.1,228
219001211,2019-08-26 04:48:00,-414.245388754131,-435.520594120477,4,226.2
219001211,2019-08-26 04:49:00,-503.547987926823,-522.284880101914,4,223.6
219001211,2019-08-26 04:50:00,-585.164880608074,-608.143656243664,4,224.8
219001211,2019-08-26 04:51:00,-673.015935568438,-696.00480002267,4,226.2
219001211,2019-08-26 04:52:00,-759.417318450261,-784.293218065962,4.1,226.1
219001211,2019-08-26 04:53:00,-848.712722229043,-870.224655799977,4,223.8
219001211,2019-08-26 04:54:00,-938.340371060906,-956.341527482079,3.9,225.1
219001211,2019-08-26 04:55:00,-1023.84588256676,-1042.15835433002,3.9,224
219001211,2019-08-26 04:56:00,-1116.81501419667,-1112.72224201453,3.7,216.2
219001211,2019-08-26 04:57:00,-1216.6872160393,-1183.89679515095,3.9,215.7
219001211,2019-08-26 04:58:00,-1309.43141380144,-1253.67991474391,3.9,215.4
219001211,2019-08-26 04:59:00,-1409.07934534318,-1322.01508292286,3.9,214.5
219001211,2019-08-26 05:00:00,-1508.05787649639,-1390.59554347839,4,215.4
219001211,2019-08-26 05:01:00,-1609.48488089423,-1460.14906540142,4,214.7
219001211,2019-08-26 05:02:00,-1718.03830600521,-1528.55802802265,4.1,216.7
219001211,2019-08-26 05:03:00,-1817.90191335965,-1603.20490550094,4,216.9
219001211,2019-08-26 05:04:00,-1917.09684421044,-1675.73546780557,4,216.7
219001211,2019-08-26 05:05:00,-2010.27698156872,-1748.14584077462,4,214.5
219001211,2019-08-26 05:06:00,-2117.48946557024,-1816.02333199733,3.9,215.8
219001211,2019-08-26 05:07:00,-2217.12805467264,-1884.20371981274,3.9,215.2
219001211,2019-08-26 05:08:00,-2318.65808659788,-1953.59963495129,3.9,214.1
219001211,2019-08-26 05:09:00,-2417.40439663983,-2019.90858703097,3.9,214.3
219001211,2019-08-26 05:10:00,-2518.70911833706,-2089.85621513792,3.9,215.7
219001211,2019-08-26 05:11:00,-2619.23569953527,-2154.83998003204,4,212.4
219001211,2019-08-26 05:12:00,-2719.42806813542,-2218.13067454896,4,210.8
219001211,2019-08-26 05:13:00,-2830.75508452018,-2282.46035526898,4,211.7
