mmsi,times,x,y,sog,cog
211707870,2018-09-01 09:50:00,13181.3777777384,11532.1269391033,NaN,NaN
211707870,2018-09-01 09:51:00,13161.8525018795,11481.5909210346,2,251.1
211707870,2018-09-01 09:52:00,13138.9433094859,11415.9335715805,2.4,251.4
211707870,2018-09-01 09:53:00,13116.5808408311,11346.3139535379,2.5,251.3
211707870,2018-09-01 09:54:00,13093.8817855947,11275.3942167373,2.3,251.7
211707870,2018-09-01 09:55:00,13071.8678285875,11210.0275885288,2.4,254.3
211707870,2018-09-01 09:56:00,13049.5297082172,11147.8528146614,2.1,255.1
211707870,2018-09-01 09:57:00,13038.5689411543,11091.3789516221,2,253.5
211707870,2018-09-01 09:58:00,13015.8101590203,11037.5380291126,1.8,248.9
211707870,2018-09-01 09:59:00,12993.0626601027,10987.5383383004,1.8,242.7
211707870,2018-09-01 10:00:00,12979.2292047274,10938.6957790985,1.7,246.6
211707870,2018-09-01 10:01:00,12959.491900798,10889.3370303793,1.8,246.2
211707870,2018-09-01 10:02:00,12925.8030899109,10828.9627131625,2.4,242.6
211707870,2018-09-01 10:03:00,12903.6954056751,10767.4331097877,2.3,249.9
211707870,2018-09-01 10:04:00,12869.766693053,10699.9646609091,2.6,248.2
211707870,2018-09-01 10:05:00,12837.0476120852,10626.2263946693,2.9,245.8
211707870,2018-09-01 10:06:00,12804.9933200052,10550.6528031838,2.8,244.5
211707870,2018-09-01 10:07:00,12769.3720479441,10473.4323075597,2.9,244.4
211707870,2018-09-01 10:08:00,12735.4324599721,10399.8708509462,2.2,248.7
211707870,2018-09-01 10:09:00,12713.2086986966,10333.962130511,2.1,250.3
211707870,2018-09-01 10:10:00,12690.8892253767,10273.72750404,1.9,250.7
211707870,2018-09-01 10:11:00,12669.0232676578,10216.2692408886,2.1,249.8
211707870,2018-09-01 10:12:00,12645.9191712909,10153.3753035051,2,251
211707870,2018-09-01 10:13:00,12631.7372920125,10094.8323127325,1.8,253.8
211707870,2018-09-01 10:14:00,12612.3301444862,10039.7304999751,1.6,255.6
211707870,2018-09-01 10:15:00,12609.1784976604,9982.04571851251,2,265
211707870,2018-09-01 10:16:00,12597.8918571052,9922.25305245746,1.9,270.6
211707870,2018-09-01 10:17:00,12597.7304316098,9856.99431234591,2,269.1
211707870,2018-09-01 10:18:00,12597.5751388511,9793.8044599639,1.9,270.3
211707870,2018-09-01 10:19:00,12597.4112076423,9726.65415472559,2.1,270.9
211707870,2018-09-01 10:20:00,12597.2452625297,9658.20339949984,2.2,269
211707870,2018-09-01 10:21:00,12597.0765197293,9588.0975269326,2.2,268.6
211707870,2018-09-01 10:22:00,12596.9071769007,9517.22320470582,2.3,268.6
211707870,2018-09-01 10:23:00,12588.8258523919,9444.0622441656,2.5,268.2
211707870,2018-09-01 10:24:00,12585.4100034921,9365.03798608754,2.6,268.5
211707870,2018-09-01 10:25:00,12577.0867394688,9282.4191903646,2.5,265.7
211707870,2018-09-01 10:26:00,12573.8973846321,9203.6304990322,2.3,267.4
211707870,2018-09-01 10:27:00,12573.738503453,9134.35177089488,1.9,268.1
211707870,2018-09-01 10:28:00,12573.5983878727,9072.816651656,2,269.2
211707870,2018-09-01 10:29:00,12573.4544235943,9009.15351361404,1.8,271.9
211707870,2018-09-01 10:30:00,12573.3081668384,8944.01258355784,2,270.7
211707870,2018-09-01 10:31:00,12573.1632339839,8878.98987330541,1.9,272.4
211707870,2018-09-01 10:32:00,12580.9455362592,8822.28441835692,1.6,277.1
211707870,2018-09-01 10:33:00,12584.0431475315,8762.10188175229,1.9,279.9
211707870,2018-09-01 10:34:00,12591.367316751,8698.83642944027,2,273.9
211707870,2018-09-01 10:35:00,12594.8982516712,8632.1509482017,2.1,274.4
211707870,2018-09-01 10:36:00,12594.7635848219,8569.55214605954,2,270.8
211707870,2018-09-01 10:37:00,12594.6438646117,8513.51468896645,1.7,275.1
211707870,2018-09-01 10:38:00,12594.5366878679,8463.03368659364,1.5,280.1
211707870,2018-09-01 10:39:00,12605.5779676587,8417.31721531283,1.3,284.6
211707870,2018-09-01 10:40:00,12605.5173398314,8388.4710068889,NaN,NaN
512007171,2018-09-01 09:50:00,10495.7786661034,5724.9838399093,NaN,NaN
512007171,2018-09-01 09:51:00,10561.0395118478,5874.2226214803,6.6,67
512007171,2018-09-01 09:52:00,10639.5110042252,6064.83486445343,6.6,68.6
512007171,2018-09-01 09:53:00,10718.2129539679,6254.55218895113,6.7,67
512007171,2018-09-01 09:54:00,10795.3613877903,6442.25386870041,6.7,68.2
512007171,2018-09-01 09:55:00,10873.8634991406,6634.97270736326,6.8,68.9
512007171,2018-09-01 09:56:00,10947.4694575387,6824.85383977059,6.6,68.7
512007171,2018-09-01 09:57:00,11019.3076900504,7017.74697177884,6.7,70.4
512007171,2018-09-01 09:58:00,11097.396411058,7212.86898431903,6.7,70.8
512007171,2018-09-01 09:59:00,11163.451241573,7400.08193043881,6.8,69.1
512007171,2018-09-01 10:00:00,11242.8922352324,7593.64948365657,6.3,68.8
512007171,2018-09-01 10:01:00,11315.850977537,7770.90200441385,6.2,68.2
512007171,2018-09-01 10:02:00,11388.8188742373,7948.79847380796,6.2,68.5
512007171,2018-09-01 10:03:00,11462.0085555491,8122.31252122764,6,67.8
512007171,2018-09-01 10:04:00,11534.5357901631,8294.9938237811,5.9,67.4
512007171,2018-09-01 10:05:00,11612.3153630037,8472.4469502137,6.1,66.7
512007171,2018-09-01 10:06:00,11681.6225468643,8642.69827847752,6.1,66.8
512007171,2018-09-01 10:07:00,11750.9324241756,8810.87437126314,6,66.9
512007171,2018-09-01 10:08:00,11825.1575483634,8982.40360361055,5.9,67.9
512007171,2018-09-01 10:09:00,11902.2735331003,9148.53977140817,6.1,67.8
512007171,2018-09-01 10:10:00,11970.0534088747,9320.13042840583,6.1,68.3
512007171,2018-09-01 10:11:00,12037.5041354011,9490.71102825924,6,66.6
512007171,2018-09-01 10:12:00,12114.9850986092,9660.84779320786,5.9,67.3
512007171,2018-09-01 10:13:00,12181.1058497694,9828.16829133173,6,67.3
512007171,2018-09-01 10:14:00,12260.6194300247,10003.6669484588,6,67.6
512007171,2018-09-01 10:15:00,12327.3117240458,10171.0924879099,6,67.9
512007171,2018-09-01 10:16:00,12394.700858441,10346.845808172,6,68.6
512007171,2018-09-01 10:17:00,12463.7629374916,10520.5198389911,6.1,67.9
512007171,2018-09-01 10:18:00,12529.809572724,10688.28470333,6.1,69.7
512007171,2018-09-01 10:19:00,12598.1177746574,10865.9686410289,6.1,69.2
512007171,2018-09-01 10:20:00,12665.6434628537,11039.7473908938,6,70.8
512007171,2018-09-01 10:21:00,12732.7335216121,11214.3490475984,6,71.2
512007171,2018-09-01 10:22:00,12787.2346399045,11385.138698103,6,69.1
512007171,2018-09-01 10:23:00,12855.5774196753,11564.0405344524,6.1,70.7
512007171,2018-09-01 10:24:00,12921.9201215926,11741.8191279038,6.1,71.1
512007171,2018-09-01 10:25:00,12979.144676168,11921.9242000109,6.2,72.1
512007171,2018-09-01 10:26:00,13039.3775552041,12099.7099229902,6.3,72.1
512007171,2018-09-01 10:27:00,13103.1978475534,12282.5031400422,6.3,70.9
512007171,2018-09-01 10:28:00,13158.4257706617,12457.3975180714,6.2,71.3
512007171,2018-09-01 10:29:00,13217.022279635,12638.4821997538,6.1,70.1
512007171,2018-09-01 10:30:00,13284.7553746156,12818.1138241507,6.2,72.7
512007171,2018-09-01 10:31:00,13340.6890299075,12997.3049979676,6.3,72.3
512007171,2018-09-01 10:32:00,13401.316354844,13178.8396888239,6.2,71
512007171,2018-09-01 10:33:00,13457.273890357,13360.3254324745,6.2,73.3
512007171,2018-09-01 10:34:00,13513.347642653,13540.8010619889,6.1,72.2
512007171,2018-09-01 10:35:00,13569.8862144619,13724.5204196829,6.2,72.6
512007171,2018-09-01 10:36:00,13625.9698385291,13903.0947940016,6.2,72.2
512007171,2018-09-01 10:37:00,13687.4025482171,14080.2270209589,6.1,69.4
512007171,2018-09-01 10:38:00,13754.2944763915,14255.6205851597,6.2,68.8
512007171,2018-09-01 10:39:00,13829.215389413,14431.5702129096,5.9,69.8
512007171,2018-09-01 10:40:00,13881.8034265036,14559.1979399979,NaN,NaN
