mmsi,times,x,y,sog,cog
740339000,2018-09-09 14:12:00,0,0,NaN,NaN
740339000,2018-09-09 14:13:00,-10.5786060289406,-126.926908022134,7.4,265.6
740339000,2018-09-09 14:14:00,-29.8325442557347,-357.67782058032,7.4,265
740339000,2018-09-09 14:15:00,-52.3030800925818,-588.609602890102,7.5,264.3
740339000,2018-09-09 14:16:00,-79.5488474303952,-822.574135698228,7.7,263.3
740339000,2018-09-09 14:17:00,-107.559384127228,-1061.23435619454,7.9,261.7
740339000,2018-09-09 14:18:00,-144.242313091377,-1301.97960368624,7.9,261.5
740339000,2018-09-09 14:19:00,-185.9227112178,-1542.67177240403,7.9,260.9
740339000,2018-09-09 14:20:00,-235.940539145468,-1786.22375487518,8,260
740339000,2018-09-09 14:21:00,-285.943607670003,-2029.78180028145,8.1,259
740339000,2018-09-09 14:22:00,-335.931916235808,-2273.34590732987,8.2,258.1
740339000,2018-09-09 14:23:00,-387.798388852552,-2517.63006572454,8.3,257.7
740339000,2018-09-09 14:24:00,-444.324607883544,-2766.49764497633,8.3,258
740339000,2018-09-09 14:25:00,-504.394858436483,-3021.4339231331,8.3,258.1
740339000,2018-09-09 14:26:00,-564.337610957219,-3276.31833023121,8.3,258.1
740339000,2018-09-09 14:27:00,-624.264198586099,-3531.21034271849,8.4,258.2
740339000,2018-09-09 14:28:00,-684.285939332473,-3786.16946881792,8.4,258.2
740339000,2018-09-09 14:29:00,-744.180191206015,-4041.07669553018,8.4,258.3
740339000,2018-09-09 14:30:00,-804.169587171576,-4296.05104874429,8.4,258.4
740339000,2018-09-09 14:31:00,-864.03150037314,-4550.97348368622,8.5,258.4
740339000,2018-09-09 14:32:00,-923.988548638577,-4805.96305801726,8.5,258.5
740339000,2018-09-09 14:33:00,-983.818120249439,-5060.90069519215,8.5,258.5
740339000,2018-09-09 14:34:00,-1043.74281789707,-5315.90548464209,8.5,258.6
740339000,2018-09-09 14:35:00,-1103.54004500106,-5570.8583180531,8.6,258.6
740339000,2018-09-09 14:36:00,-1163.32110065443,-5825.81874336367,8.6,258.7
740339000,2018-09-09 14:37:00,-1223.19726879592,-6080.8463402719,8.6,258.7
740339000,2018-09-09 14:38:00,-1282.94597557176,-6335.82195282231,8.6,258.8
740339000,2018-09-09 14:39:00,-1342.78978580196,-6590.86474985051,8.6,258.8
740339000,2018-09-09 14:40:00,-1402.50614078629,-6845.85554364177,8.7,258.9
740339000,2018-09-09 14:41:00,-1462.31759019011,-7100.91353478942,8.7,259
740339000,2018-09-09 14:42:00,-1511.64029184148,-7357.8019052051,8.7,262.8
740339000,2018-09-09 14:43:00,-1530.51377853147,-7629.19626831196,8.8,267.2
740339000,2018-09-09 14:44:00,-1540.35310949762,-7897.78285619513,8.8,270.2
740339000,2018-09-09 14:45:00,-1539.80775416942,-8170.7466384599,8.8,269.5
740339000,2018-09-09 14:46:00,-1539.25135444636,-8440.145322006,8.7,270.6
740339000,2018-09-09 14:47:00,-1537.67299382249,-8710.25479099221,8.7,271.4
740339000,2018-09-09 14:48:00,-1532.28458795015,-8982.6728911243,8.7,271.1
740339000,2018-09-09 14:49:00,-1526.87759088541,-9255.1497021899,8.6,270.8
740339000,2018-09-09 14:50:00,-1525.69505055213,-9523.12012192341,8.4,271.4
740339000,2018-09-09 14:51:00,-1513.9311628916,-9784.05343968972,8.4,271.7
740339000,2018-09-09 14:52:00,-1509.04782833824,-10048.0921832113,8.4,271.8
740339000,2018-09-09 14:53:00,-1501.16122331319,-10303.8636584911,8.3,272.9
740339000,2018-09-09 14:54:00,-1492.92282326618,-10560.1680280158,8.4,271.2
740339000,2018-09-09 14:55:00,-1488.99873269171,-10821.2958035173,8.4,270.4
740339000,2018-09-09 14:56:00,-1488.28180488258,-11084.5115784757,8.4,271.4
740339000,2018-09-09 14:57:00,-1487.56927007863,-11340.0625417506,8.4,270.1
740339000,2018-09-09 14:58:00,-1486.81427122044,-11604.7041833853,8.5,269.6
740339000,2018-09-09 14:59:00,-1486.06131755262,-11862.7505122824,8.4,269.4
740339000,2018-09-09 15:00:00,-1485.2815954363,-12124.1835183272,8.4,269.1
740339000,2018-09-09 15:01:00,-1493.06982957723,-12382.6720277514,8.3,269.7
740339000,2018-09-09 15:02:00,-1494.8524565647,-12633.1214082595,8.3,268.9
740339000,2018-09-09 15:03:00,-1494.32976893342,-12798.4186984824,NaN,NaN
220620000,2018-09-09 14:12:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:13:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:14:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:15:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:16:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:17:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:18:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:19:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:20:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:21:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:22:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:23:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:24:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:25:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:26:00,-2699.71240679699,-22401.6925466151,NaN,NaN
220620000,2018-09-09 14:27:00,-2699.77031771935,-22391.2915498639,10.2,90
220620000,2018-09-09 14:28:00,-2701.53558572426,-22071.8916969686,10.2,89
220620000,2018-09-09 14:29:00,-2692.07777630462,-21763.6050642364,10.2,89
220620000,2018-09-09 14:30:00,-2693.78084599364,-21446.5236507159,10.2,89
220620000,2018-09-09 14:31:00,-2695.42145087992,-21136.5741604811,10.1,90
220620000,2018-09-09 14:32:00,-2697.07570861447,-20819.3735133594,10.1,91
220620000,2018-09-09 14:33:00,-2700.65421503197,-20513.0593847765,10.1,91
220620000,2018-09-09 14:34:00,-2711.37428212124,-20199.4107026384,10.2,90.8
220620000,2018-09-09 14:35:00,-2712.94905622253,-19883.3379079719,10.2,90.8
220620000,2018-09-09 14:36:00,-2715.58525527193,-19572.9166440143,10.2,90
220620000,2018-09-09 14:37:00,-2727.13239058525,-19257.3074406449,10.2,90.7
220620000,2018-09-09 14:38:00,-2728.63509682552,-18940.8172249537,10.2,90.5
220620000,2018-09-09 14:39:00,-2731.99221057298,-18627.3667870878,10.2,91
220620000,2018-09-09 14:40:00,-2742.702317497,-18308.0652860995,10.2,91
220620000,2018-09-09 14:41:00,-2744.10002685182,-17998.3493077536,10.1,90.1
220620000,2018-09-09 14:42:00,-2745.50211116537,-17682.2141918807,10.2,90
220620000,2018-09-09 14:43:00,-2746.84110806939,-17374.9347547678,10.1,91
220620000,2018-09-09 14:44:00,-2759.29674467051,-17067.0486304605,10,91.7
220620000,2018-09-09 14:45:00,-2771.73030109652,-16758.8040489086,10,92
220620000,2018-09-09 14:46:00,-2776.03063202619,-16445.4723607294,10,92
220620000,2018-09-09 14:47:00,-2796.53084457829,-16141.2395104322,9.9,92
220620000,2018-09-09 14:48:00,-2808.89696519546,-15832.0978599166,10,92
220620000,2018-09-09 14:49:00,-2817.4333576529,-15527.9323992168,10,92.7
220620000,2018-09-09 14:50:00,-2831.85832250499,-15221.4700160098,10,93
220620000,2018-09-09 14:51:00,-2845.81466516876,-14914.9444023025,9.9,93
220620000,2018-09-09 14:52:00,-2860.53417228849,-14606.5175671066,10,93
220620000,2018-09-09 14:53:00,-2881.477518452,-14295.1388322527,10,93
220620000,2018-09-09 14:54:00,-2893.69204758262,-13988.7788943659,10.1,92.8
220620000,2018-09-09 14:55:00,-2912.57880676804,-13678.5764227915,10.1,92.6
220620000,2018-09-09 14:56:00,-2929.20942892756,-13369.7901987606,10.1,92.8
220620000,2018-09-09 14:57:00,-2941.38319853721,-13054.2705085287,10.1,92
220620000,2018-09-09 14:58:00,-2942.37733196094,-12744.2414444371,10.1,91
220620000,2018-09-09 14:59:00,-2953.6215122719,-12425.3281963668,10.1,90
220620000,2018-09-09 15:00:00,-2944.32328515812,-12114.435147421,10.2,89
220620000,2018-09-09 15:01:00,-2938.90644105148,-11801.058616425,10.1,87.4
220620000,2018-09-09 15:02:00,-2912.73537649406,-11492.6165996097,10.1,85
220620000,2018-09-09 15:03:00,-2880.18689298394,-11186.1224191565,10,84
