mmsi,time,traj_id,x,y,prob
257029700,120,0,6557.36,2474.96,0.252723
257029700,120,0,6763.87,2809.33,0.252723
257029700,120,0,6970.38,3143.7,0.252723
257029700,120,1,6486.81,2509.33,0.249426
257029700,120,1,6658.91,2862.64,0.249426
257029700,120,1,6848.45,3206.91,0.249426
257029700,120,2,6619.67,2427.27,0.249712
257029700,120,2,6858.53,2739.35,0.249712
257029700,120,2,7081.5,3062.98,0.249712
257029700,120,3,6410.85,2528.99,0.122911
257029700,120,3,6546.81,2897.72,0.122911
257029700,120,3,6718.91,3251.03,0.122911
257029700,120,4,6671.27,2368.15,0.00606167
257029700,120,4,6940.09,2654.83,0.00606167
257029700,120,4,7178.95,2966.91,0.00606167
257029700,120,5,6332.49,2533.17,0.116775
257029700,120,5,6430.97,2913.63,0.116775
257029700,120,5,6585.19,3275.1,0.116775
257029700,120,6,6710.09,2299.96,0.00239154
257029700,120,6,7006.19,2558.36,0.00239154
257029700,120,6,7260.35,2858.12,0.00239154
257060530,120,0,4059.62,588.26,0.131406
257060530,120,0,4708.73,1082.75,0.131406
257060530,120,0,5357.84,1577.23,0.131406
257060530,120,1,3948.44,707.361,0.159169
257060530,120,1,4544.94,1264.18,0.159169
257060530,120,1,5168.52,1790.49,0.159169
257060530,120,2,4144.92,449.446,0.151665
257060530,120,2,4840.15,876.66,0.151665
257060530,120,2,5513.16,1338.09,0.151665
257060530,120,3,3815.82,802,0.123172
257060530,120,3,4353.75,1415.59,0.123172
257060530,120,3,4950.25,1972.41,0.123172
257060530,120,4,4200.95,296.452,0.0558867
257060530,120,4,4935.35,652.124,0.0558867
257060530,120,4,5630.58,1079.34,0.0558867
257060530,120,5,3667.04,868.404,0.141013
257060530,120,5,4141.02,1532.63,0.141013
257060530,120,5,4708.95,2118.56,0.141013
257060530,120,6,4225.46,135.378,0.237687
257060530,120,6,4991.7,415.955,0.237687
257060530,120,6,5707.41,807.888,0.237687
257029700,180,0,6774.95,2811.22,0.240604
257029700,180,0,6981.04,3142.32,0.240604
257029700,180,0,7187.14,3473.42,0.240604
257029700,180,1,6705.07,2845.56,0.238233
257029700,180,1,6877.07,3195.58,0.238233
257029700,180,1,7066.36,3536.57,0.238233
257029700,180,2,6836.63,2763.68,0.238721
257029700,180,2,7074.74,3072.55,0.238721
257029700,180,2,7297.12,3392.93,0.238721
257029700,180,3,6629.75,2865.34,0.125492
257029700,180,3,6765.95,3230.78,0.125492
257029700,180,3,6937.96,3580.8,0.125492
257029700,180,4,6887.62,2704.83,0.0211848
257029700,180,4,7155.38,2988.38,0.0211848
257029700,180,4,7393.5,3297.25,0.0211848
257029700,180,5,6552,2869.76,0.118697
257029700,180,5,6651.04,3246.97,0.118697
257029700,180,5,6805.34,3605.15,0.118697
257029700,180,6,6925.91,2637.02,0.0170681
257029700,180,6,7220.64,2892.43,0.0170681
257029700,180,6,7473.9,3189.01,0.0170681
257060530,180,0,4796.09,1040.81,0.121528
257060530,180,0,5468.61,1513.47,0.121528
257060530,180,0,6141.13,1986.12,0.121528
257060530,180,1,4688.78,1165,0.12441
257060530,180,1,5310.75,1702.43,0.12441
257060530,180,1,5958.81,2208.11,0.12441
257060530,180,2,4876.58,897.783,0.144853
257060530,180,2,5592.93,1300.94,0.144853
257060530,180,2,6288.23,1739.39,0.144853
257060530,180,3,4558.94,1265.39,0.0791243
257060530,180,3,5124.15,1862.24,0.0791243
257060530,180,3,5746.12,2399.67,0.0791243
257060530,180,4,4927.06,741.612,0.215349
257060530,180,4,5680.08,1071.24,0.215349
257060530,180,4,6396.42,1474.39,0.215349
257060530,180,5,4411.74,1337.99,0.110102
257060530,180,5,4914.54,1988.28,0.110102
257060530,180,5,5508.88,2556.12,0.110102
257060530,180,6,4945.5,578.525,0.204634
257060530,180,6,5727.66,831.326,0.204634
257060530,180,6,6463.26,1198.17,0.204634
257029700,240,0,7096.05,3018.14,0.122615
257029700,240,0,7361.76,3256.56,0.122615
257029700,240,0,7627.48,3494.97,0.122615
257029700,240,1,7043.38,3066.18,0.197736
257029700,240,1,7283.97,3329.93,0.197736
257029700,240,1,7537.44,3581.33,0.197736
257029700,240,2,7138.11,2960.6,0.158275
257029700,240,2,7426.31,3171.3,0.158275
257029700,240,2,7703.61,3396.13,0.158275
257029700,240,3,6982.23,3102.8,0.197897
257029700,240,3,7195.28,3389.25,0.197897
257029700,240,3,7435.87,3653,0.197897
257029700,240,4,7167.91,2895.84,0.0767713
257029700,240,4,7475.7,3076.72,0.0767713
257029700,240,4,7763.9,3287.42,0.0767713
257029700,240,5,6915.01,3126.53,0.169161
257029700,240,5,7098.41,3432.83,0.169161
257029700,240,5,7325.52,3708.28,0.169161
257029700,240,6,7184.25,2826.46,0.0775441
257029700,240,6,7508.56,2975.7,0.0775441
257029700,240,6,7806.93,3171.73,0.0775441
257060530,240,0,5516.29,1534.32,0.126652
257060530,240,0,6205.03,2025.59,0.126652
257060530,240,0,6893.77,2516.87,0.126652
257060530,240,1,5404.96,1661.35,0.113443
257060530,240,1,6041.21,2218.93,0.113443
257060530,240,1,6704.54,2744.02,0.113443
257060530,240,2,5600.16,1387.69,0.139001
257060530,240,2,6334.51,1807.75,0.139001
257060530,240,2,7046.94,2263.99,0.139001
257060530,240,3,5270.61,1763.74,0.0639147
257060530,240,3,5848.02,2382.06,0.0639147
257060530,240,3,6484.27,2939.64,0.0639147
257060530,240,4,5653.23,1227.33,0.24309
257060530,240,4,6425.84,1571.98,0.24309
257060530,240,4,7160.19,1992.04,0.24309
257060530,240,5,5118.59,1837.4,0.0828664
257060530,240,5,5631.39,2510.27,0.0828664
257060530,240,5,6238.99,3098.95,0.0828664
257060530,240,6,5673.38,1059.61,0.231032
257060530,240,6,6476.54,1325.41,0.231032
257060530,240,6,7230.97,1708.24,0.231032
257029700,300,0,7370.67,3187.83,0.180667
257029700,300,0,7641.46,3386.75,0.180667
257029700,300,0,7912.25,3585.66,0.180667
257029700,300,1,7325.75,3237.66,0.16671
257029700,300,1,7575.33,3462.62,0.16671
257029700,300,1,7835.84,3674.82,0.16671
257029700,300,2,7404.79,3130.07,0.144265
257029700,300,2,7694.08,3300.96,0.144265
257029700,300,2,7974.48,3486.09,0.144265
257029700,300,3,7271.83,3277.58,0.156053
257029700,300,3,7497.7,3526.33,0.156053
257029700,300,3,7747.28,3751.29,0.156053
257029700,300,4,7426.75,3066.68,0.120562
257029700,300,4,7731.66,3207.83,0.120562
257029700,300,4,8020.96,3378.72,0.120562
257029700,300,5,7211.05,3305.99,0.152859
257029700,300,5,7410.96,3576.05,0.152859
257029700,300,5,7648.99,3813.19,0.152859
257029700,300,6,7435.68,3000.19,0.0788845
257029700,300,6,7753.17,3110.2,0.0788845
257029700,300,6,8050.64,3266.41,0.0788845
257060530,300,0,6295.47,1952.12,0.184998
257060530,300,0,7026.27,2372.35,0.184998
257060530,300,0,7757.06,2792.57,0.184998
257060530,300,1,6197.42,2088.93,0.124947
257060530,300,1,6882.61,2580.02,0.124947
257060530,300,1,7591.49,3036.24,0.124947
257060530,300,2,6364.39,1798.56,0.186982
257060530,300,2,7133.49,2143.73,0.186982
257060530,300,2,7884.37,2526.9,0.186982
257060530,300,3,6074.14,2203.54,0.0233116
257060530,300,3,6706.88,2760.57,0.0233116
257060530,300,3,7392.07,3251.65,0.0233116
257060530,300,4,6401.43,1634.37,0.18364
257060530,300,4,7201.14,1901.03,0.18364
257060530,300,4,7970.24,2246.2,0.18364
257060530,300,5,5930.55,2291.36,0.121597
257060530,300,5,6504.52,2908.78,0.121597
257060530,300,5,7164.31,3433.5,0.121597
257060530,300,6,6405.11,1466.09,0.174525
257060530,300,6,7227.44,1651.58,0.174525
257060530,300,6,8012.83,1957.88,0.174525
257029700,360,0,7673.6,3416.26,0.158503
257029700,360,0,7953.92,3627.5,0.158503
257029700,360,0,8234.24,3838.73,0.158503
257029700,360,1,7626.05,3467.74,0.172322
257029700,360,1,7883.88,3705.91,0.172322
257029700,360,1,8153.29,3930.89,0.172322
257029700,360,2,7709.98,3356.36,0.135928
257029700,360,2,8009.99,3538.55,0.135928
257029700,360,2,8300.52,3735.52,0.135928
257029700,360,3,7569.21,3508.75,0.127019
257029700,360,3,7801.98,3771.47,0.127019
257029700,360,3,8059.81,4009.63,0.127019
257029700,360,4,7733.73,3290.42,0.140048
257029700,360,4,8050.43,3441.76,0.140048
257029700,360,4,8350.44,3623.95,0.140048
257029700,360,5,7505.36,3537.65,0.140518
257029700,360,5,7710.74,3822.29,0.140518
257029700,360,5,7956.35,4073.04,0.140518
257029700,360,6,7743.91,3221.08,0.125662
257029700,360,6,8074.14,3340.05,0.125662
257029700,360,6,8382.88,3507.02,0.125662
257060530,360,0,6997.35,2400.34,0.182348
257060530,360,0,7698.21,2846.83,0.182348
257060530,360,0,8399.07,3293.33,0.182348
257060530,360,1,6894.67,2530.68,0.128635
257060530,360,1,7547.46,3044.91,0.128635
257060530,360,1,8225.12,3525.88,0.128635
257060530,360,2,7072.08,2252.2,0.192513
257060530,360,2,7814.02,2626.5,0.192513
257060530,360,2,8536.31,3037.41,0.192513
257060530,360,3,6768.15,2638.02,0.0308048
257060530,360,3,7366.33,3214.85,0.0308048
