mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
219022165,-35550,-11937.9,180,0.970396,0.98972,0.0011256,0,0,0,0,1,0,0,0,0.0605003,0.868501,0.0709992,0.434837,0.434837,0,0
244150372,-35664.5,-4943.49,180,0.970291,0.99037,0.0010428,0,0,0,1,0,0,0,0,0.0589712,0.870977,0.070052,0.433331,0.433331,0,0
219022165,-35607,-11648.5,240,0.969876,0.99003,0.00100253,0,0,0,0,1,0,0,0,0.0595962,0.870425,0.0699786,0.478819,0.478819,0,0
244150372,-35571.2,-5106.66,240,0.968661,0.99014,0.00110767,0,0,0,1,0,0,0,0,0.0591236,0.87128,0.0695969,0.478346,0.478346,0,0
219022165,-35652.6,-11360.2,300,0.969084,0.99005,0.000913101,0,0,0,0,1,0,0,0,0.0598013,0.87043,0.0697685,0.574719,0.574719,0,0
244150372,-35474.8,-5270.98,300,0.969747,0.9901,0.00116367,0,0,0,1,0,0,0,0,0.0585711,0.871291,0.0701378,0.572777,0.572777,0,0
219022165,-35708.1,-11077.9,360,0.970214,0.9901,0.00100781,0,0,0,0,0,1,0,0,0.061398,0.869211,0.0693905,0.992463,0.992463,0,0
244150372,-35442.1,-5456.05,360,0.965903,0.503657,0.0593855,1,0,0,0,1,0,0,0,0.0559883,0.906444,0.0375678,0.547686,0.547686,1,0
219022165,-35756.4,-10790.5,420,0.970282,0.98971,0.000928812,0,0,0,1,0,0,0,0,0.0604132,0.868632,0.0709548,0.810909,0.810909,0,0
244150372,-35561.6,-5609.04,420,0.860795,0.99024,0.00492507,1,0,0,0,1,0,0,0,0.0624201,0.869094,0.0684861,0.116544,0.116544,1,0
219022165,-35833.8,-10507.1,480,0.969338,0.98965,0.00107226,0,0,0,1,0,0,0,0,0.0599243,0.870776,0.0692999,0.998893,0.998893,1,0
244150372,-35728.4,-5680.69,480,0.968147,0.98959,0.00108315,0,0,0,0,1,0,0,0,0.0583495,0.866601,0.0750491,0.999859,0.999859,1,0
219022165,-35958.2,-10242.8,540,0.969559,0.99024,0.000968891,0,0,0,1,0,0,0,0,0.0585903,0.871254,0.0701561,0.99996,0.99996,1,1
244150372,-35855.5,-5810.48,540,0.969544,0.98939,0.00106083,0,0,0,0,1,0,0,0,0.058574,0.869715,0.0717107,0.998954,0.998954,1,0
219022165,-36116,-9994.7,600,0.969263,0.9898,0.00108285,0,0,0,1,0,0,0,0,0.0582297,0.870368,0.0714024,0.99994,0.999729,0,0
244150372,-35990.8,-5941.13,600,0.970241,0.98989,0.0011,0,0,0,0,1,0,0,0,0.0590037,0.869191,0.0718058,0.999135,0.996866,0,0
219022165,-36269.5,-9754.03,660,0.97112,0.99051,0.000947241,0,0,0,1,0,0,0,0,0.0572013,0.872238,0.0705606,0.99995,0.995277,0,0
244150372,-36100.1,-6083.01,660,0.967438,0.98985,0.00122348,0,1,0,0,1,0,0,0,0.0634009,0.934045,0.00255387,0.999106,0.992807,1,0
219022165,-36434.4,-9510.28,720,0.969788,0.98974,0.000892811,0,0,0,1,0,0,0,0,0.0557903,0.87365,0.0705592,0.99999,0.996356,0,0
244150372,-36213.6,-6234.63,720,0.968291,0.99033,0.00117583,0,1,0,0,1,0,0,0,0.0648332,0.932682,0.0024853,0.998862,0.992151,0,0
219022165,-36602.2,-9265.43,780,0.97022,0.98958,0.00088377,0,0,0,1,0,0,0,0,0.053773,0.874629,0.0715982,0.99997,0.998186,0,0
244150372,-36326.6,-6386.09,780,0.967995,0.98997,0.00131196,0,1,0,0,1,0,0,0,0.0640128,0.93353,0.00245739,0.999093,0.995073,0,0
219022165,-36765.7,-9025.02,840,0.970197,0.99036,0.000812822,0,0,0,1,0,0,0,0,0.0521915,0.87718,0.0706285,0.99999,0.996229,0,0
244150372,-36445.8,-6535.2,840,0.967324,0.98993,0.00130093,0,1,0,0,1,0,0,0,0.0640894,0.933217,0.00269331,0.998996,0.992508,0,0
219022165,-36920,-8789.9,900,0.970259,0.9895,0.000975361,0,0,0,1,0,0,0,0,0.0523357,0.876245,0.0714189,0.999961,0.996264,0,0
244150372,-36557.5,-6680.86,900,0.967948,0.99025,0.00127789,0,1,0,0,1,0,0,0,0.0644963,0.933025,0.00247851,0.999063,0.992692,0,0
219022165,-37084.6,-8550.98,960,0.970655,0.99008,0.00101663,0,0,0,1,0,0,0,0,0.0526324,0.877188,0.0701799,0.99999,0.989236,0,0
