mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.94943,0.98025,0.00207076,0,0,0,0,0,1,0,0,0,0.0493411,0.901201,0.0494575,0.433574,0.433574,0
244150372,-35664.5,-4943.49,180,0.950263,0.98059,0.00208714,0,0,0,0,1,0,0,0,0,0.0500681,0.897803,0.0521289,0.433758,0.433758,0
219022165,-35607,-11648.5,240,0.948699,0.98048,0.00196096,0,0,0,0,0,1,0,0,0,0.0500565,0.900231,0.049712,0.558577,0.477439,0
244150372,-35571.2,-5106.66,240,0.949939,0.97898,0.00199141,0,0,0,0,1,0,0,0,0,0.0484664,0.901026,0.0505077,0.995771,0.995019,0
219022165,-35652.6,-11360.2,300,0.949345,0.98034,0.00182156,0,0,0,0,0,1,0,0,0,0.0498433,0.901237,0.0489198,0.67226,0.571546,0
244150372,-35474.8,-5270.98,300,0.950162,0.97997,0.00194805,0,0,0,0,1,0,0,0,0,0.0507823,0.89975,0.049468,0.999989,0.999637,0
219022165,-35708.1,-11077.9,360,0.948662,0.97947,0.00212079,0,0,0,0,0,0,1,0,0,0.0487696,0.899714,0.0515163,0.994564,0.992689,0
244150372,-35442.1,-5456.05,360,0.95166,0.0884882,0.0903601,1,0,0,1,0,1,0,0,0,0.0576377,0.934718,0.00764479,1,1,0
219022165,-35756.4,-10790.5,420,0.950427,0.97965,0.00211926,0,0,0,0,1,0,0,0,0,0.049819,0.898173,0.0520079,0.994539,0.810726,0
244150372,-35561.6,-5609.04,420,0.953448,0.0970746,0.0985218,1,0,0,1,0,1,0,0,0,0.0454783,0.951212,0.00331009,1,0.999942,0
219022165,-35833.8,-10507.1,480,0.807052,0.602284,0.45861,0,1,0,1,1,0,0,0,0,0.266154,0.692149,0.0416963,0.84565,0.84565,0
244150372,-35728.4,-5680.69,480,0.941979,0.100966,0.10324,1,0,0,1,0,1,0,0,0,0.0472457,0.947796,0.00495856,1,1,0
219022165,-35958.2,-10242.8,540,0.7841,0.567232,0.544472,0,1,0,1,1,0,0,0,0,0.293843,0.66755,0.0386074,0.984989,0.984989,0
244150372,-35855.5,-5810.48,540,0.952459,0.0896247,0.0917474,1,0,0,1,0,1,0,0,0,0.0611121,0.933903,0.00498446,1,1,0
219022165,-36116,-9994.7,600,0.782594,0.533346,0.546819,0,1,0,0,1,0,0,0,0,0.301494,0.662818,0.0356872,0.999299,0.99871,0
