mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
211200040,4880.37,13777.1,120,0.99908,0.98994,0.00016,0,0,0,1,0,0,1,0,0,0.04924,0.83129,0.11947,0.99832,0.99832,0
259351000,6442.35,6197.6,120,0.99908,0.99004,0.000157274,0,0,0,0,0,0,1,0,0,0.0498721,0.832019,0.118109,0.998139,0.998139,0
211200040,4895.66,13557.9,180,0.999112,0.99041,0.000236984,0,0,0,1,0,0,1,0,0,0.0569435,0.942891,0.000165071,0.999643,0.99961,0
259351000,6427.84,6390.15,180,0.999,0.98966,0.000164507,0,0,0,0,0,0,1,0,0,0.0494814,0.830763,0.119756,0.99985,0.99985,0
211200040,4924.11,13342.1,240,0.99889,0.99078,0.000313051,0,0,0,1,0,0,1,0,0,0.05763,0.942228,0.000142428,0.999824,0.975737,0
259351000,6420.68,6576.95,240,0.99913,0.98936,0.000151426,0,0,0,0,0,0,1,0,0,0.050867,0.826964,0.122169,0.99983,0.976478,0
211200040,4967.58,13149.5,300,0.32113,0.98981,0.164437,0,0,0,0,0,0,1,0,0,0.0609482,0.884817,0.0542353,0.843204,0.835068,0
259351000,6409.86,6767.36,300,0.99908,0.9895,0.000234294,0,0,0,0,0,0,1,0,0,0.0496566,0.831236,0.119108,0.99977,0.992137,0
211200040,5021.79,12968.8,360,0.33922,0.99017,0.155922,0,0,0,1,0,0,1,0,0,0.0534509,0.874125,0.0724238,0.831012,0.830723,0
259351000,6399.03,6947.59,360,0.413926,0.98952,0.219087,0,0,0,0,0,0,1,0,0,0.0496841,0.792915,0.157401,0.804818,0.804723,0
211200040,5065.74,12780.9,420,0.307808,0.98977,0.175813,0,0,0,0,0,0,1,0,0,0.0595801,0.871319,0.0691006,0.97949,0.979457,0
259351000,6377.07,7125.18,420,0.452569,0.99023,0.187708,0,0,0,0,0,0,1,0,0,0.0377356,0.837864,0.124401,0.928591,0.928591,0
211200040,5087.43,12598.7,480,0.341644,0.98999,0.174626,1,0,0,1,0,0,1,0,0,0.0436222,0.878725,0.0776529,0.94091,0.781809,0
259351000,6355.12,7307.33,480,0.410556,0.98975,0.205018,0,0,0,0,0,0,1,0,0,0.0556259,0.82736,0.117015,0.934848,0.741113,0
211200040,5109.45,12408.5,540,0.289707,0.98988,0.167775,1,0,0,1,0,0,1,0,0,0.0560177,0.890342,0.0536402,0.922026,0.857106,0
259351000,6330.72,7482.15,540,0.387742,0.99035,0.213054,0,0,0,0,0,0,1,0,0,0.0548263,0.817628,0.127546,0.888977,0.805535,0
211200040,5120.38,12197.3,600,0.212098,0.99023,0.212293,1,0,0,0,0,0,1,0,0,0.0542453,0.892092,0.0536626,0.999943,0.971423,0
259351000,6307.89,7662.41,600,0.355005,0.98982,0.203897,0,0,0,0,0,0,1,0,0,0.0571374,0.819691,0.123172,0.914914,0.826483,0
211200040,5119.31,11987.5,660,0.160932,0.98984,0.161155,1,0,1,0,0,0,1,0,0,0.0440438,0.894831,0.0611255,0.999911,0.971823,0
259351000,6278.17,7845.47,660,0.363811,0.98992,0.206479,0,0,0,0,0,0,1,0,0,0.0334139,0.818577,0.148009,0.946321,0.807728,0
211200040,5140.59,11765.6,720,0,0.9899,0.000244752,1,0,1,0,0,0,1,0,0,0.0544671,0.876404,0.0691293,0.99991,0.949466,0
259351000,6267.4,8030.86,720,0.411152,0.98985,0.229449,0,0,0,1,0,0,1,0,0,0.0579043,0.822745,0.11935,0.923149,0.775394,0
211200040,5162.24,11549.9,780,0.979068,0.764848,0.979521,1,1,1,1,0,0,1,0,0,0.00106254,0.995843,0.00309426,0.999769,0.999605,0
259351000,6245.5,8215.51,780,0.407391,0.99035,0.220207,0,0,0,1,0,0,1,0,0,0.0794951,0.784551,0.135954,0.924048,0.806364,0
211200040,5172.77,11339.7,840,0.973897,0.974768,0.974523,1,1,1,1,0,0,1,0,0,0.00178444,0.997397,0.000818646,0.999749,0.999301,0
259351000,6223.61,8400.04,840,0.402549,0.98973,0.19213,0,0,0,0,0,0,1,0,0,0.0419189,0.848782,0.109299,0.874367,0.770358,0
211200040,5172.16,11122.3,900,0.951631,0.953546,0.95285,1,1,1,1,0,0,1,0,0,0.478242,0.520011,0.00174662,0.999291,0.997957,0
259351000,6201.72,8581.14,900,0.33727,0.98971,0.199721,0,0,0,0,0,0,1,0,0,0.0386017,0.838118,0.123281,0.874255,0.841255,0
211200040,5171.54,10895.3,960,0.96245,0.932176,0.963319,1,1,0,1,0,0,1,0,0,0.00228363,0.993017,0.00469962,1,0.997741,0
259351000,6179.84,8765.43,960,0.455224,0.99017,0.229832,0,0,0,0,0,0,1,0,0,0.0871608,0.824464,0.0883752,0.888594,0.714493,0
211200040,5170.94,10672.4,1020,0.913605,0.867248,0.915931,1,1,0,1,0,0,1,0,0,0.0542551,0.945465,0.000279813,1,0.997215,0
259351000,6157.98,8950.68,1020,0.324705,0.99007,0.324905,0,0,0,0,0,0,1,0,0,0.0588368,0.770069,0.171094,0.999886,0.983329,0
