mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.98029,0.99901,0.00102,0,0,0,1,1,0,0,0,0,0.0506,0.89875,0.05065,0.9991,0.9991
244150372,-35855.5,-5810.48,540,0.98013,0.99892,0.00111,0,0,0,1,0,1,0,0,0,0.05016,0.90018,0.04966,0.99896,0.99896
219022165,-36116,-9994.7,600,0.979428,0.99903,0.00107319,0,0,0,0,1,0,0,0,0,0.0483245,0.90077,0.0509057,0.998939,0.996426
244150372,-35990.8,-5941.13,600,0.978999,0.99894,0.00101595,0,0,0,0,0,1,0,0,0,0.0491502,0.899389,0.0514609,0.999995,0.999988
219022165,-36269.5,-9754.03,660,0.712918,0.99892,0.0158767,1,0,0,0,1,0,0,0,0,0.701189,0.283382,0.0154294,0.989041,0.982074
244150372,-36100.1,-6083.01,660,0.979126,0.99908,0.00114746,1,0,0,1,0,1,0,0,0,0.0513861,0.947694,0.000919806,1,0.999978
219022165,-36434.4,-9510.28,720,0.719575,0.99883,0.0159349,1,0,0,0,1,0,0,0,0,0.706437,0.278633,0.0149301,0.987626,0.982093
244150372,-36213.6,-6234.63,720,0.978695,0.9991,0.00126902,1,0,0,0,0,1,0,0,0,0.0526996,0.946263,0.00103709,1,0.999996
219022165,-36602.2,-9265.43,780,0.708979,0.99886,0.0155023,1,0,0,0,1,0,0,0,0,0.697704,0.28739,0.014906,0.991849,0.987758
244150372,-36326.6,-6386.09,780,0.978507,0.99913,0.00128713,1,0,0,0,0,1,0,0,0,0.0522016,0.946648,0.00115044,1,1
219022165,-36765.7,-9025.02,840,0.678012,0.9991,0.0151542,1,0,0,0,1,0,0,0,0,0.679992,0.304055,0.0159526,0.999832,0.982773
244150372,-36445.8,-6535.2,840,0.979343,0.99901,0.0013227,1,0,0,0,0,1,0,0,0,0.05197,0.947108,0.00092238,1,0.999996
219022165,-36920,-8789.9,900,0.794831,0.99922,0.0104031,1,0,0,0,1,0,0,0,0,0.796003,0.19384,0.0101573,0.999927,0.998469
244150372,-36557.5,-6680.86,900,0.97884,0.99898,0.00131566,1,0,0,0,0,1,0,0,0,0.0522465,0.946698,0.00105524,1,0.999999
219022165,-37084.6,-8550.98,960,0.0732588,0.99878,0.0743879,1,0,0,0,1,0,0,0,0,0.118018,0.835405,0.0465766,0.999748,0.989102
244150372,-36653.2,-6840.23,960,0.978422,0.99914,0.00130788,1,0,0,1,0,1,0,0,0,0.050681,0.948189,0.00112971,1,0.99999
219022165,-37081.8,-8285.14,1020,0.981762,0.993848,0.992307,1,1,0,1,1,0,0,0,0,0.0010757,0.9984,0.000524724,0.998448,0.99844
244150372,-36756.9,-6997.21,1020,0.973814,0.993036,0.993945,1,0,0,0,0,1,0,0,0,0.0504369,0.896613,0.0529498,1,1
219022165,-36958.3,-8022.75,1080,0.9766,0.991953,0.990237,1,1,0,1,1,0,0,0,0,0.00184126,0.997476,0.000682401,0.99827,0.997547
244150372,-36862.8,-7155.04,1080,0.979778,0.999201,1,1,0,0,0,0,1,0,0,0,0.04984,0.898459,0.0517012,1,1
219022165,-36826.7,-7768.89,1140,0.91713,0.984889,0.98495,1,1,0,0,1,0,0,0,0,0.920525,0.0761517,0.00332297,0.999993,0.999874
244150372,-36964.5,-7312.63,1140,0.980049,0.999028,1,1,0,0,0,0,1,0,0,0,0.0518195,0.900329,0.0478511,1,1
219022165,-36743.7,-7499.54,1200,0.982085,0.992916,0.990229,1,1,0,1,1,0,0,0,0,0.000406,0.999193,0.00040109,0.997305,0.997297
244150372,-37062.5,-7470.77,1200,0.979961,0.999063,1,1,0,0,0,0,1,0,0,0,0.0494837,0.900957,0.0495597,1,1
219022165,-36721.9,-7213.36,1260,0.972997,0.994337,0.987811,1,1,0,1,1,0,0,0,0,0.000746854,0.998502,0.000751443,0.993459,0.993432
244150372,-37145.7,-7575.23,1260,0.980054,0.999032,1,1,0,0,0,0,1,0,0,0,0.049487,0.902531,0.0479823,1,1
219022165,-36739.1,-6925.13,1320,0.977496,0.992462,0.992476,1,1,0,1,1,0,0,0,0,0.000752584,0.998501,0.000746833,1,0.999972
244150372,-37225.5,-7669.94,1320,0.980111,0.999102,1,1,0,0,0,0,1,0,0,0,0.0496027,0.900374,0.0500233,1,1
219022165,-36778.6,-6638.45,1380,0,0.411115,0.411477,1,1,0,0,1,0,0,0,0,0.0204813,0.9591,0.0204184,0.999994,0.999309
244150372,-37305.3,-7764.65,1380,0.979795,0.998864,1,1,0,0,0,0,1,0,0,0,0.0498037,0.899257,0.0509394,1,1
219022165,-36821.3,-6356.3,1440,0,0.999117,1,1,1,0,0,1,0,0,0,0,0.0499559,0.898675,0.0513692,0.999961,0.997954
244150372,-37385.1,-7859.37,1440,0.980102,0.998971,1,1,0,0,0,0,1,0,0,0,0.0488887,0.898763,0.0523486,1,1
219022165,-36866.5,-6071.68,1500,0.959197,0.974052,0.974065,1,1,0,0,1,0,0,0,0,0.00513497,0.994129,0.000736203,1,0.999958
244150372,-37464.9,-7954.09,1500,0.980112,0.998998,1,1,0,0,0,0,1,0,0,0,0.0497293,0.895896,0.0543751,1,1
