mmsi,x,y,time,CR_PS,CR_SS,HO,OT_en,OT_ing
258465000,7906.68,18375.3,120,0,0,1,0,0
259883000,4504.45,9728.2,120,0,0,1,0,0
258465000,7768.52,17987.5,180,0,0,1,0,0
259883000,4620.71,9984.76,180,0,0,1,0,0
258465000,7631.5,17593.9,240,0,0,1,0,0
259883000,4742.08,10233.2,240,0,0,1,0,0
258465000,7485.62,17204.9,300,0,0,1,0,0
259883000,4856.37,10491.7,300,0,0,1,0,0
258465000,7348.7,16812.6,360,0,0,1,0,0
259883000,4966.65,10744,360,0,0,1,0,0
258465000,7205.7,16421.7,420,0,0,1,0,0
259883000,5079.99,11003.9,420,0,0,1,0,0
258465000,7043.1,16047.8,480,0,0,1,0,0
259883000,5193.22,11260.2,480,0,0,1,0,0
258465000,6825.88,15687.4,540,0,0,1,0,0
259883000,5292.53,11514.4,540,0,0,1,0,0
258465000,6627.28,15342.3,600,0,0,1,0,0
259883000,5394.81,11781.5,600,0.959222,0,0.0407776,0,0
258465000,6414.62,14985.5,660,0,0,1,0,0
259883000,5482.93,12044.5,660,0.914376,0,0.085624,0,0
258465000,6213.49,14633.3,720,0,0,1,0,0
259883000,5560.94,12307.8,720,0.983894,0,0.0161059,0,0
258465000,6080.27,14250.3,780,0,0,1,0,0
259883000,5608.6,12587.2,780,0,0,1,0,0
258465000,6034.51,13849.4,840,0,0,1,0,0
259883000,5652.36,12860.9,840,0,1,0,0,0
258465000,6002.13,13439.7,900,1,0,0,0,0
259883000,5709.99,13140.3,900,0,0,1,0,0
258465000,5962.8,13031.2,960,0,0,0,1,0
259883000,5790.24,13411.6,960,0,0,1,0,0
258465000,5920.88,12632.7,1020,0,0,0,1,0
259883000,5891.64,13673.2,1020,0,0,1,0,0
258465000,5870.6,12222.8,1080,0,0,0,1,0
259883000,5993.08,13936.3,1080,0,0,1,0,0
258465000,5745.17,11851.4,1140,0,0,1,0,0
259883000,6096.56,14203.3,1140,0,0,0,1,0
258465000,5561.96,11490.5,1200,0,0,1,0,0
259883000,6218.28,14457.8,1200,0,0,0,1,0
258465000,5375.47,11132.9,1260,0,0,1,0,0
259883000,6332.92,14717.6,1260,0,0,0,1,0
258465000,5202.82,10771.6,1320,0,0,1,0,0
259883000,6454.68,14971,1320,0,0,0,1,0
258465000,5024.98,10412.6,1380,0,0,1,0,0
259883000,6580.51,15232.3,1380,0,0,0,1,0
258465000,4842.93,10045.7,1440,0,0,1,0,0
259883000,6702.31,15486.2,1440,0,0,0,1,0
258465000,4666.84,9687.74,1500,0,0,1,0,0
259883000,6824.14,15740.7,1500,0,0,0,1,0
258465000,4480.16,9312.32,1560,0,0,1,0,0
259883000,6950.04,16004.9,1560,0,0,0,1,0
258465000,4299.92,8953.38,1620,0,0,1,0,0
259883000,7071.45,16257.4,1620,0,0,0,1,0
258465000,4110.33,8584.3,1680,0,0,1,0,0
259883000,7188.58,16519.3,1680,0,0,0,1,0
258465000,3933.86,8227.44,1740,0,0,1,0,0
259883000,7299.44,16770.6,1740,0,0,0,1,0
258465000,3751.83,7861.76,1800,0,0,1,0,0
259883000,7425.28,17028.2,1800,0,0,0,1,0
