mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
257062170,8935.91,3862.57,0.719076,13.5,3660,0.989756,0,0,0.99021,0,0,0,1,0.999875,0.902312,1,1,0.0521372,0.00424029,0.00694024,0.932416,0.00426581,0.0490785,0.901275,0.0496463,0.000156821,0.970323,1.08998e-05,0,0.982305,0.946467,0.981696,0.93702,0,0,-0,-0,45,45,13.32,13.32,
259299000,8968.33,144.636,4.80315,0.6,3660,0.990337,0,0,0.98972,1.99317e-05,0,0,1,0.999877,0.904047,1,1,0.00652193,0.00641376,0.00703163,0.973304,0.00672871,0.0503631,0.899781,0.0498564,0.000175726,0.966386,0,0,0.981366,0.206934,0.974643,0.931928,0,0,-0,-0,-85,-85,0.36,0.36,
257062170,9264.52,4139.4,0.701622,13.4,3720,0.99001,0,0,0.98927,0,0,0,1,0.999921,0.903088,1,1,0.0516417,0.00452281,0.00609563,0.932502,0.0052378,0.0498063,0.900575,0.0496186,0.000217828,0.969275,0,0,0.981755,0.946922,0.981313,0.935534,0,0,-0,-0,45,45,13.32,13.32,
259299000,8968.33,145.534,4.36856,0.6,3720,0.989836,0,0,0.989454,0,0.964438,0,0.035562,0.999871,0.903997,1,1,0.00684565,0.00725065,0.0069065,0.971477,0.00752048,0.0501518,0.898321,0.0515273,0.000175789,0.964438,9.87216e-06,0,0.98234,0.947263,0.982239,0.93055,0.964438,0,-0,-0,-85.7112,-85,0.36,0.36,
257062170,9563.62,4399.48,0.696386,13.3,3780,0.990117,0,0,0.989618,1.70966e-05,0.481834,0,0.518166,0.99993,0.903111,1,1,0.04912,0.00759291,0.00492811,0.927775,0.0105836,0.0482417,0.902595,0.0491636,0.000161567,0.963722,1.13605e-05,0,0.981732,0.948257,0.960913,0.93072,0.481834,0,-0,-0,44.6372,45,13.32,13.32,
259299000,8968.33,146.377,3.93572,0.5,3780,0.990252,0,0,0.989514,0,0.967412,0,0.0325877,0.999912,0.905794,1,1,0.00637437,0.00684876,0.00643455,0.974331,0.00601124,0.0501956,0.900295,0.0495098,0.00017394,0.967412,0,0,0.982085,0.947613,0.981776,0.932535,0.967412,0,-0,-0,-86.6294,-85,0.36,0.36,
257062170,9890.7,4665.1,0.659734,13.4,3840,0.989979,0,0,0.99011,0,0.722075,0,0.520193,0.999929,0.903724,1,1,0.0494481,0.00839973,0.00713577,0.928513,0.00650358,0.0495826,0.900207,0.0502103,0.000179391,0.965408,0,0,0.982601,0.947066,0.960563,0.932289,0.479807,0,-0,-0,44.6541,45,13.32,13.32,
259299000,8973.9,164.576,0.631809,3.1,3840,0.989857,0,0,0.990015,1.69655e-05,0.964613,0.964613,0.035387,0.999894,0.90335,1,1,0.00837815,0.00661683,0.00654242,0.971362,0.0071002,0.0492813,0.899266,0.0514524,0.000210844,0.964613,0,0,0.981754,0.94667,0.969169,0.931617,0,0.964613,-0,-0.964613,-80.7536,-85,0.461915,0.36,
257062170,10211.2,4909.24,0.651008,13.5,3900,0.990041,0,0,0.989738,3.33363e-06,0.844622,0,0.516371,0.999949,0.905056,1,1,0.0520486,0.00638352,0.00601051,0.926341,0.00921628,0.0497906,0.901509,0.0486999,0.000187508,0.963739,1.14123e-05,0,0.982542,0.946809,0.960942,0.930084,0.483629,0,-0,-0,44.6374,45,13.32,13.32,
259299000,9032.41,398.682,1.41197,8.2,3900,0.989867,0,0,0.989942,2.28126e-05,0.964537,0.964537,0.0354635,0.999902,0.903681,1,1,0.0094823,0.00627136,0.00571612,0.971375,0.00715522,0.0496442,0.89975,0.0506054,0.000258652,0.964537,3.4404e-05,0,0.981982,0.494037,0.973059,0.93342,0,0.964537,-0,-0.964537,-78.9712,-85,0.640871,0.36,
257062170,10547.7,5165.77,0.668461,13.4,3960,0.989835,0,0,0.989803,6.04988e-06,0.908035,0,0.515773,0.999924,0.906624,1,1,0.0506762,0.00698882,0.00678026,0.930254,0.00530102,0.0487168,0.901413,0.0498699,0.000110034,0.967793,0,0.000171784,0.982674,0.946538,0.960366,0.933658,0.484227,0,-0,-0,44.6779,45,13.32,13.32,
259299000,9029.69,795.905,1.66155,24,3960,0.99017,0,0,0.989666,6.89644e-06,0.964486,0.964486,0.0355144,0.999978,0.903475,1,1,0.00693281,0.00764321,0.0050292,0.971259,0.00913608,0.0502003,0.898415,0.0513847,0,0.964486,0,0.000285815,0.982141,0.947171,0.982049,0.930222,0,0.964486,-0,-0.964486,-78.6074,-85,0.973689,0.36,
257062170,10867.2,5417.4,0.649262,13.2,4020,0.990059,0,0,0.990068,2.03285e-05,0.937159,0,0.524174,0.999927,0.903598,1,1,0.0497538,0.00644834,0.00603577,0.930716,0.00704603,0.0501015,0.89805,0.0518485,0.0188393,0.966577,0.00210356,0.00107566,0.982038,0.946827,0.95483,0.932236,0.475826,0,-0,-0,44.6658,45,13.32,13.32,
259299000,9101.2,1735.68,1.27409,31.2,4020,0.990211,0,0,0.990259,1.81982e-05,0.966233,0.966233,0.0337669,0.999904,0.903104,1,1,0.006687,0.00629454,0.0073627,0.973135,0.00652125,0.0501139,0.901392,0.0484943,0.00136394,0.966233,0.000671492,0.00132594,0.981434,0.722183,0.97976,0.931883,0,0.966233,-0,-0.966233,-79.5973,-85,0.943491,0.36,
257062170,11185.6,5656.13,0.645772,13,4080,0.989527,0,0,0.990528,3.61596e-05,0.902729,0,0.955991,0.999961,0.903359,1,1,0.0510798,0.0113875,0.0114338,0.912261,0.0138383,0.0806406,0.870609,0.0487506,0.987151,0.942877,0.102271,0.00102394,0.878455,0.947623,0.869564,0.886715,0.0440092,0,-0,-0,44.3202,45,13.32,13.32,
259299000,9381.46,2623.94,1.03498,30.8,4080,0.991939,0,0,0.979377,0.000179944,0.209456,0.188578,0.790544,0.999971,0.898664,1,1,0.112872,0.146862,0.186424,0.337844,0.215997,0.0465755,0.85045,0.102974,0.778914,0.209456,0.438373,0.000316364,0.874132,0,0.71659,0.47828,0.0208782,0.188578,-0,-0.188578,29.0166,55,14.3814,17.64,
257062170,11505.6,5896,0.645772,12.9,4140,0.991617,0,0,0.989997,6.80801e-05,0.84804,0,0.986895,0.999951,0.90317,1,1,0.0410375,0.00243212,0.0034175,0.951371,0.00174195,0.0287859,0.920891,0.0503227,1,0.988082,0.0319034,0.000421997,0.182895,0.947003,0.185798,0.964539,0.0131045,0,-0,-0,43.7443,45,13.3114,13.32,
259299000,9947.5,3412.79,0.93026,30.9,4140,0.999248,0,0,0.977299,0.00118752,0.010294,0.010294,0.989706,0.999975,0.90156,1,1,0.0597031,0.0869401,0.0454978,0.0849835,0.722875,0.118138,0.87807,0.00379236,1,0.714494,0.777198,2.51771e-05,0.795437,0.0660212,0.772689,0.132044,0,0.010294,-0,-0.010294,53.5588,55,17.4621,17.64,
257062170,11821.4,6143.41,0.677188,13.1,4200,0.990415,0,0,0.990006,8.75984e-05,0.764199,0,0.975345,0.999842,0.903519,1,1,0.0357915,0.000398249,0.000791559,0.96262,0.000398764,0.0497021,0.901949,0.0483487,0.999916,0.997309,0.045407,0.000214543,0.344108,0.791802,0.344444,0.949108,0.0246555,0,-0,-0,42.8667,45,13.3081,13.32,
259299000,10497,4171.1,0.947714,30.9,4200,0.998486,0,0,0.845614,0.00331225,0.0403671,0.0403671,0.959633,1,0.990153,1,1,0,0,0,0.0736078,0.926392,0.374817,0.506161,0.119022,1,0.966759,0.842289,0,0.975944,0,0.975944,0.151795,0,0.0403671,-0,-0.0403671,49.3486,55,16.9425,17.64,
257062170,12129.7,6400.72,0.685914,13.2,4260,0.988334,0,0,0.989625,5.67085e-05,0.758957,0,0.978965,0.999829,0.900084,1,1,0.0360418,0,0,0.963958,0,0.0407989,0.909936,0.0492654,1,0.999989,0.0368896,0,0.193542,0.493023,0.193542,0.959201,0.0210349,0,-0,-0,42.84,45,13.3054,13.32,
259299000,11073.6,4948.13,0.928515,30.9,4260,0.999976,0,0,0.988363,0.00175566,0.0133901,0.0133901,0.98661,1,0.99786,1,1,0,0,0,0.0135737,0.986426,0.0119034,0.988097,0,1,0.999816,0.996283,0,0.998379,0,0.998379,0.00167038,0,0.0133901,-0,-0.0133901,53.1254,55,17.4086,17.64,
257062170,12433.6,6677.25,0.883137,13.3,4320,0.990005,0,0,0.990751,0.000155883,0.966151,0.00383395,0.996166,0.999605,0.903179,1,1,0.0473144,0,0,0.952686,0,0.00428347,0.943356,0.0523603,1,1,0.00419757,0,0.0453535,0,0.0453535,0.995717,0,0.00383395,-0,-0,44.9676,45,13.3198,13.32,
259299000,11713.3,5660.1,0.808087,30.7,4320,0.999169,0,0,0.996798,0.000477687,0.0036795,0.0036795,0.996321,1,0.999169,1,1,0,0,0,0.00369751,0.996302,0.00320181,0.000495707,0.996302,1,0.999982,0.00237102,0,0.00321983,0,0.00321983,0.996798,0,0.0036795,-0,-0.0036795,54.4847,55,17.5764,17.64,
257062170,12697.2,7003.97,0.904081,13.3,4380,0.986089,0,0,0.991292,0.000375169,0.964373,0.00386119,0.996488,1,0.902898,1,1,0.0462948,0,0,0.953705,0,0.00358898,0.948975,0.0474365,1,1,0.003225,0,0.0544217,0,0.0544217,0.996411,0,0.00351222,-0,-0,44.972,45,13.3199,13.32,
259299000,12360.5,6337.42,0.820305,30.9,4380,1,0,0,0.397107,0.397107,1,1,0,1,1,1,1,0,0,0,1,0,0.602893,0.379381,0.0177259,1,1,0.602893,0,0.620619,0,0.620619,0.397107,0,1,-0,-1,-85,-85,0.36,0.36,
257062170,12899.9,7343.56,1.10479,13.5,4440,1,0,0,0.803461,0.10131,0.291275,1,0,1,0.898139,1,1,0.00808914,0,0,0.991911,0,0.904954,0.0917102,0.00333578,1,1,0.807017,0,0.534012,0,0.534012,0.095046,0,1,-0,-0,37.9263,35,13.2657,13.32,
259299000,12971,7092.89,0.951204,31,4440,1,0,0,1,1,1,1,0,1,0.997678,1,1,0,0,0,1,0,0.191875,0.808125,0,1,1,0,0,0,0,0,0.808125,0,1,-0,-1,-85,-85,0.36,0.36,
257062170,13079.9,7734.5,1.20777,13.5,4500,0.981291,0,0,0.986713,1,0.958337,1,0,1,0.90671,1,1,0.0332911,0,0,0.966709,0,0.0504171,0.886329,0.0632537,1,1,0,0,0,0.171185,0,0.949583,0,1,-0,-0,44.5834,45,13.3133,13.32,
259299000,13455.3,7900.79,1.03847,31.2,4500,1,0,0,1,1,1,1,0,1,0.88275,1,1,0,0,0,1,0,0.0029856,0.997014,0,1,1,0,0,0,0,0,0.997014,0,1,-0,-1,-85,-85,0.36,0.36,
