mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
210803000,7663.23,14559.3,1.06989,11.6,4560,0.979334,0,0,0.98997,0.00107384,0,0,1,0.99991,1,1,1,0.152776,0.156289,0.383815,0.153338,0.153782,0.0506407,0.89897,0.0503896,1,0.230536,0.673951,0.996684,0,0.946194,0,0.325271,0,0,-0,-0,65,65,11.88,11.88,
305049000,13408.8,27133.1,4.38252,11.1,4560,0.980902,0,0,0.98954,0.00101499,0,0,1,0.999832,1,1,1,0.151681,0.154594,0.38811,0.154169,0.151447,0.0505554,0.90054,0.0489041,1,0.233048,0.675917,0.995765,0,0.946185,0.366976,0.323281,0,0,-0,-0,-105,-105,11.16,11.16,
210803000,7823.35,14888.5,1.18857,11.4,4620,0.980279,0,0,0.98983,0.000968294,0,0,1,0.999924,1,1,1,0.117583,0.119506,0.523823,0.118444,0.120645,0.0503143,0.899429,0.0502567,0.989916,0.403966,0.73079,0.996244,0.83502,0.719045,0.776091,0.262648,0,0,-0,-0,65,65,11.4509,11.16,
305049000,13286.3,26800.1,4.37729,11.1,4620,0.980345,0,0,0.98943,0.00115579,0,0,1,0.999841,1,1,1,0.118612,0.119473,0.52659,0.11862,0.116705,0.0499138,0.900303,0.0497828,0.990529,0.407453,0.730447,0.995703,0.837646,0.947213,0.89556,0.263014,0,0,-0,-0,-105,-105,11.16,11.16,
210803000,7955.97,15212.3,1.17286,11.6,4680,0.980962,0,0,0.98961,0.00110046,0,0,1,0.999854,1,1,1,0.0454072,0.0469349,0.816039,0.0451212,0.0464976,0.0515681,0.898877,0.0495548,0.999924,0.768295,0.86762,0.985536,0.750334,0.492031,0.544059,0.131179,0,0,-0,-0,65,65,11.88,11.88,
305049000,13174.9,26485,4.35983,11.1,4680,0.980281,0,0,0.983109,0.00150749,0.00656787,0,0.993432,0.999832,1,1,1,0.0742547,0.0755206,0.698318,0.077547,0.0743602,0.0495989,0.899014,0.0513872,0.999881,0.623059,0.809402,0.977594,0.75299,0.948624,0.891164,0.188909,0.00656787,0,-0,-0,-108.769,-105,11.16,11.16,
210803000,8095.13,15549.6,1.19904,11.6,4740,0.980451,0,0,0.98975,0.00121228,0,0,1,0.999896,1,1,1,0.0235413,0.0229629,0.906894,0.0228861,0.0237155,0.050206,0.898392,0.0514023,0.97659,0.883967,0.891761,0.936807,0.896097,0.836778,0.843147,0.0927294,0,0,-0,-0,65,65,11.88,11.88,
305049000,13059.3,26152,4.43663,11,4740,0.979233,0,0,0.99076,0.000952533,0,0,1,0.999982,1,1,1,0.0223101,0.0227396,0.907902,0.0234302,0.0236178,0.0492391,0.902025,0.0487356,0.97755,0.88577,0.896177,0.931255,0.892666,0.949493,0.943968,0.0901149,0,0,-0,-0,-105,-105,11.16,11.16,
210803000,8205.8,15883.6,1.27235,11.6,4800,0.979105,0,0,0.989679,0.00120208,0,0.451963,0.548037,0.999933,1,1,1,0.00939395,0.00930606,0.961231,0.0108688,0.00920022,0.0530276,0.918713,0.0282589,0.937005,0.951656,0.91083,0.830417,0.898242,0.973827,0.971916,0.0460619,0,0.451963,-0,-0,65.4834,65,11.88,11.88,
305049000,12989.9,25824.9,4.56753,11,4800,0.978785,0,0,0.990145,0.00103723,0,0.451624,0.548376,0.999888,1,1,1,0.0097933,0.00963507,0.960698,0.0103163,0.0095572,0.0523089,0.920069,0.0276219,0.936174,0.951083,0.910693,0.828914,0.895651,0.973726,0.97191,0.0455838,0,0.451624,-0,-0,-104.511,-105,11.16,11.16,
210803000,8313.43,16231.3,1.27409,11.7,4860,0.978152,0,0,0.989916,0.00118333,0,0.695581,0.535656,0.999931,1,1,1,0.00064864,0.000763741,0.996537,0.000949926,0.00110072,0.0522713,0.931157,0.0165721,0.935303,0.995756,0.920844,0.756906,0.89666,0.980461,0.980308,0.0180146,0,0.464344,-0,-0,65.4916,65,11.88,11.88,
305049000,12931.6,25486.4,4.52913,11.1,4860,0.978427,0,0,0.990057,0.00102709,0.0217409,0.452237,0.978259,0.999925,1,1,1,0.000711051,0.000883161,0.996875,0.00058903,0.000942126,0.0507268,0.921043,0.0282298,0.938617,0.996104,0.912412,0.753947,0.897229,0.965951,0.965906,0.0294251,0.0217409,0,-0,-0,-104.573,-105,11.16,11.16,
210803000,8420.19,16577.9,1.28282,11.8,4920,0.97815,0,0,0.989755,0.00128284,0,0.694313,0.536039,0.999892,1,1,1,0.000263746,0.000239659,0.999084,0.000191751,0.000220956,0.0509405,0.932832,0.0162273,0.935917,0.998958,0.921519,0.559034,0.89535,0.98446,0.984392,0.0166348,0,0.463961,-0,-0,65.4886,65,11.88,11.88,
305049000,12863.7,25157.9,4.51168,11.1,4920,0.979316,0,0,0.989617,0.000998332,0.0229644,0.451834,0.977036,0.999857,1,1,1,6.99862e-05,0.00019157,0.999545,0.000117101,7.63202e-05,0.0514722,0.9194,0.0291276,0.938202,0.99938,0.911324,0.562319,0.895764,0.973658,0.973662,0.0293147,0.0229644,0,-0,-0,-104.534,-105,11.16,11.16,
210803000,8523.91,16934.7,1.26362,11.9,4980,0.979014,0,0,0.990272,0.00114884,0,0.69717,0.534568,0.999909,1,1,1,0,0,1,0,0,0.0511721,0.932034,0.0167939,0.932784,0.999996,0.918535,0.351821,0.895393,0.987789,0.987789,0.0167939,0,0.465432,-0,-0,65.5187,65,11.88,11.88,
305049000,12803.9,24812.6,4.54135,11.1,4980,0.977709,0,0,0.989877,0.000988683,0,0.694699,0.536134,0.99984,1,1,1,0,0,0.999976,2.38147e-05,0,0.050954,0.930307,0.0187392,0.935899,0.999973,0.919795,0.349147,0.895282,0.987298,0.987322,0.018763,0,0.463866,-0,-0,-104.518,-105,11.16,11.16,
210803000,8636.31,17283,1.27584,11.9,5040,0.977532,0,0,0.989428,0.00113508,0,0.822722,0.528815,0.999885,1,1,1,0,0,1,0,0,0.0518125,0.938071,0.010116,0.932264,1,0.923915,0.257758,0.896847,0.990976,0.990976,0.010116,0,0.471185,-0,-0,65.5155,65,11.88,11.88,
305049000,12737,24473.2,4.52389,11.2,5040,0.978658,0,0,0.98971,0.00105647,0.0244801,0.696986,0.97552,0.999961,1,1,1,0,0,1,0,0,0.0522855,0.929869,0.0178452,0.934503,1,0.91915,0.261394,0.895589,0.987595,0.987595,0.0178452,0.0244801,0,-0,-0,-104.507,-105,11.16,11.16,
210803000,8743.28,17632,1.27584,12,5100,0.97616,0,0,0.989741,0.00115542,0,0.886038,0.525695,0.999899,1,1,1,0,0,1,0,0,0.0504222,0.941904,0.00767428,0.933808,1,0.928254,0.12162,0.897265,0.99377,0.99377,0.00767428,0,0.474305,-0,-0,65.5071,65,11.88,11.88,
305049000,12667.1,24129,4.52564,11.2,5100,0.978163,0,0,0.990123,0.00120889,0.0364688,0.700279,0.975251,0.999948,1,1,1,0,0,1,0,0,0.0516927,0.930582,0.0177254,0.935386,1,0.920203,0.124477,0.897927,0.991596,0.991596,0.0177254,0.0247495,0,-0,-0,-104.507,-105,11.16,11.16,
210803000,8848.55,17990.4,1.27758,12,5160,0.978623,0,0,0.990184,0.00120385,0,0.884976,0.525481,0.999898,1,1,1,0,0,1,0,0,0.051113,0.941051,0.00783646,0.93259,1,0.92684,0.0760448,0.896187,0.994921,0.994921,0.00783646,0,0.474519,-0,-0,65.5124,65,11.88,11.88,
305049000,12599.3,23799.3,4.52913,11.2,5160,0.978087,0,0,0.990454,0.00118093,0.0365613,0.696616,0.975934,0.999931,1,1,1,0,0,1,0,0,0.0538727,0.928825,0.0173025,0.934672,1,0.919531,0.0765262,0.895172,0.992411,0.992411,0.0173025,0.024066,0,-0,-0,-104.512,-105,11.16,11.16,
210803000,8971.32,18346.4,1.24791,12.1,5220,0.977952,0,0,0.989998,0.00113163,0,0.885666,0.52446,0.999818,1,1,1,0,0,1,0,0,0.0507489,0.942102,0.00714888,0.932786,1,0.927962,0.0243593,0.895462,0.995739,0.995739,0.00714888,0,0.47554,-0,-0,65.5289,65,11.88,11.88,
305049000,12529.4,23455.6,4.4663,11.2,5220,0.977103,0,0,0.990216,0.00112201,0.0374471,0.697243,0.975426,0.999886,1,1,1,0,0,1,0,0,0.0506063,0.931131,0.0182627,0.935712,1,0.919543,0.0251413,0.893108,0.994396,0.994396,0.0182627,0.024574,0,-0,-0,-104.503,-105,11.16,11.16,
210803000,9086.74,18696.9,1.24617,12.1,5280,0.978513,0,0,0.98953,0.00112182,0,0.915674,0.525332,0.999886,1,1,1,0,0,1,0,0,0.0524371,0.941572,0.00599055,0.933988,1,0.929954,0.0124705,0.895155,0.995185,0.995185,0.00599055,0,0.474668,-0,-0,65.5219,65,11.88,11.88,
305049000,12437.6,23116.4,4.45583,11.2,5280,0.978119,0,0,0.99005,0.0010162,0.0428225,0.699016,0.975583,0.999858,1,1,1,0,0,1,0,0,0.0517677,0.93134,0.0168928,0.935229,1,0.920608,0.0138272,0.895428,0.994757,0.994757,0.0168928,0.0244166,0,-0,-0,-104.505,-105,11.16,11.16,
210803000,9208.71,19056.9,1.24791,12.2,5340,0.976554,0,0,0.989698,0.00114608,0,0.931949,0.527775,0.999871,1,1,1,0,0,1,0,0,0.0524492,0.941765,0.00578606,0.936611,1,0.93336,0.00259807,0.897165,0.996204,0.996204,0.00578606,0,0.472225,-0,-0,65.5297,65,11.88,11.88,
305049000,12344.4,22786.5,4.40347,11.2,5340,0.977204,0,0,0.989552,0.00116632,0.0428014,0.701078,0.977014,0.999942,1,1,1,0,0,1,0,0,0.0526057,0.929782,0.0176119,0.937995,1,0.921999,0.00263373,0.894248,0.995426,0.995426,0.0176119,0.0229862,0,-0,-0,-104.537,-105,11.16,11.16,
