mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
219347000,7140.81,5613.96,1.76278,9.87648,3720,0.989704,0,0,0.99041,1.2216e-05,0,0,1,0.999964,0,1,1,0.172302,0.0469392,0.688968,0.0474542,0.0443367,0.0513037,0.897794,0.0509023,0.999237,0.768404,0,0.990357,0.775303,0.948785,0.89622,0.248356,0,0,-0,-0,105,105,9.72,9.72,
271002639,6510.35,17817.6,4.69494,6.58432,3720,0.990273,0,0,0.99001,1.22897e-05,0,0,1,0.999963,0,1,1,0.0474259,0.173293,0.683758,0.0476353,0.0478873,0.0512509,0.89858,0.0501695,0.999092,0.761538,0,0.996226,0.774043,0.858795,0.245371,0.135433,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,7028.85,6199.39,1.75406,9.87648,3780,0.990753,0,0,0.99006,0,0,0,1,0.999969,0,1,1,0.226487,0.00770627,0.747072,0.00873899,0.00999559,0.0481795,0.90055,0.0512708,0.999907,0.955405,0,0.963405,0.650437,0.946842,0.873987,0.263156,0,0,-0,-0,105,105,9.72,9.72,
271002639,6497.48,17421.6,4.67574,6.58432,3780,0.989962,0,0,0.99007,1.04981e-05,0,0,1,0.999979,0,1,1,0.00767402,0.228985,0.745615,0.00747341,0.0102525,0.0504091,0.898802,0.050789,0.999936,0.956511,0,0.991552,0.655498,0.89195,0.170005,0.0648707,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,6919.3,6780.22,1.75231,9.92792,3840,0.990436,0,0,0.99027,9.84786e-06,0,0,1,0.99997,0,1,1,0.226584,0.00246137,0.770955,0,0,0.0493017,0.899982,0.050716,0.99992,0.996025,0,0.899,0.561539,0.950448,0.862148,0.254717,0,0,-0,-0,105,105,9.72,9.72,
271002639,6475.74,17026,4.67399,6.63576,3840,0.989267,0,0,0.99,1.06757e-05,0,0,1,0.999945,0,1,1,0,0.236253,0.758438,0,0.00530889,0.0500959,0.895391,0.0545129,0.999945,0.993135,0,0.977264,0.566325,0.852213,0.139215,0.0545129,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,6819.21,7371.33,1.7366,9.87648,3900,0.990739,0,0,0.988349,0,0.00109618,0,0.998904,0.999977,0,1,1,0.225919,0,0.774081,0,0,0.0496037,0.900518,0.0498787,0.999964,0.999948,0,0.774198,0.457318,0.955964,0.844781,0.254976,0.00109618,0,-0,-0,104.999,105,9.72,9.72,
271002639,6471.84,16626.1,4.67923,6.63576,3900,0.989466,0,0,0.9901,3.41743e-05,0,0,1,0.999962,0,1,1,0,0.245701,0.754299,0,0,0.05024,0.887855,0.0619047,0.999987,0.999921,0,0.957237,0.474075,0.746502,0.127773,0.0619047,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,6710.72,7950.74,1.75755,9.92792,3960,0.989724,0,0,0.989126,1.10888e-05,0.00107696,1.17325e-05,0.999988,0.999962,0,1,1,0.22972,0,0.77028,0,0,0.0484451,0.900067,0.0514884,0.999989,1,0,0.48739,0.726862,0.96648,0.917176,0.260146,0,1.17325e-05,-0,-0,104.998,105,9.72,9.72,
271002639,6459.06,16225.3,4.69145,6.63576,3960,0.98594,0,0,0.98978,0,0,0,1,0.999896,0,1,1,0,0.313904,0.686096,0,0,0.0471144,0.864206,0.08868,0.999982,1,0,0.83052,0.759932,0.425059,0.26126,0.08868,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,6602.46,8544.96,1.76278,9.92792,4020,0.989203,0,0,0.988623,1.10957e-05,0.0008122,0,1,0.999954,0,1,1,0.230878,0,0.769122,0,0,0.046216,0.902058,0.0517261,0.999977,1,0,0.286154,0.726011,0.973985,0.924041,0.262299,0,0,-0,-0,104.998,105,9.72,9.72,
271002639,6457.48,15828.7,4.69319,6.58432,4020,0.981034,0,0,0.99008,0,0,0,1,0.999828,0,1,1,0,0.407901,0.592099,0,0,0.0474153,0.833119,0.119465,0.999976,1,0,0.665986,0.793823,0.140876,0.361265,0.119465,0,0,-0,-0,-95,-95,6.84,6.84,
219347000,6499.95,9134.27,1.76453,9.97936,4080,0.990083,0,0,0.989034,2.31686e-05,0.00109373,0,1,0.999977,0,1,1,0.234226,0,0.765774,0,0,0.0464768,0.902301,0.0512227,0.999988,1,0,0.0874729,0.924844,0.982368,0.976935,0.26537,0,0,-0,-0,104.998,105,9.72,9.72,
271002639,6520.79,15439.3,4.88343,6.63576,4080,0.981028,0,0,0.990077,1.50794e-05,0,0.112204,0.887796,0.999876,0,1,1,0,0.412467,0.587533,0,0,0.04772,0.844694,0.107586,0.99995,1,0,0.200206,0.943612,0.947113,0.955439,0.107586,0,0.112204,-0,-0,-95,-95,6.84,6.84,
219347000,6391.28,9716.5,1.7558,9.97936,4140,0.989362,0,0,0.988566,1.22189e-05,0.00112401,9.19588e-05,0.999974,0.999911,0,1,1,0.234567,0,0.765433,0,0,0.046954,0.899154,0.0538924,0.999985,1,0,0.0290031,0.92609,0.98384,0.979471,0.268173,0,2.61345e-05,-0,-0,104.998,105,9.72,9.72,
